ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: demo-151-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 42

0000 0001 0002 0002 0002 0002 0002 0002 0002 0002 0003 0004 0001 0002 0002 0002 0002 0002 0002 0002 0002 0005 0001 0002 0002 0002 0002 0002 0002 0002 0002 0002
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 000C 000D 000E 000B 0008 0009 000A 000B 0008 0009 000A 0006 000F 0009 000A 000B 0008 0009 000A 000B 0008 0009
0006 000E 000B 0008 0009 000A 000B 0008 0009 000A 000C 000D 0010 000A 000B 0008 0009 000A 000B 0008 0009 0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008
0006 0010 000A 000B 0008 0009 000A 000B 0008 0009 000C 000D 000F 0009 000A 000B 0008 0009 000A 000B 0008 0006 000E 000B 0008 0009 000A 000B 0008 0009 000A 000B
0006 000F 0009 000A 000B 0008 0009 000A 000B 0008 000C 000D 0007 0008 0009 000A 000B 0008 0009 000A 000B 0006 0010 000A 000B 0008 0009 000A 000B 0008 0009 000A
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 000C 000D 000E 000B 0008 0009 000A 000B 0008 0009 000A 0006 000F 0009 000A 000B 0008 0009 000A 000B 0008 0009
0006 0011 0012 0013 0014 0015 0012 0013 0014 0015 0016 000D 0017 0015 0012 0013 0014 0015 0012 0013 0014 0018 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008
0019 001A 001A 001A 001A 001A 001A 001A 001A 001A 001B 001C 001A 001A 001A 001A 001A 001A 001A 001A 001A 001D 000E 000B 0008 0009 000A 000B 0008 0009 000A 000B
001E 001F 0020 0020 0020 0020 0020 0020 0020 0020 0021 0022 001F 0020 0020 0020 0020 0020 0020 0020 0020 0023 0010 000A 000B 0008 0009 000A 000B 0008 0009 000A
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 000C 000D 000E 000B 0008 0009 000A 000B 0008 0009 000A 0006 000F 0009 000A 000B 0008 0009 000A 000B 0008 0009
0006 000E 000B 0008 0009 000A 000B 0008 0009 000A 000C 000D 0010 000A 000B 0008 0009 000A 000B 0008 0009 0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008
0006 0010 000A 000B 0008 0009 000A 000B 0008 0009 000C 000D 000F 0009 000A 000B 0008 0009 000A 000B 0008 0006 000E 000B 0008 0009 000A 000B 0008 0009 000A 000B
0006 000F 0009 000A 000B 0008 0009 000A 000B 0008 000C 000D 0007 0008 0009 000A 000B 0008 0009 000A 000B 0006 0010 000A 000B 0008 0009 000A 000B 0008 0009 000A
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 000C 000D 000E 000B 0008 0009 000A 000B 0008 0009 000A 0006 000F 0009 000A 000B 0008 0009 000A 000B 0008 0009
0006 0011 0012 0013 0014 0015 0012 0013 0014 0015 0016 000D 0017 0015 0012 0013 0014 0015 0012 0013 0014 0018 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008
0024 0001 0002 0002 0002 0002 0002 0002 0002 0002 0025 0026 0002 0002 0002 0002 0002 0002 0002 0002 0002 0027 0028 000B 0008 0009 000A 000B 0008 0009 000A 000B
0006 000F 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009
0006 000E 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008
0006 0010 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B
