level,unique_playfield_tiles,unique_motion_object_tiles,occupied_motion_object_cells,connected_motion_object_groups,packed_motion_object_atlas_tiles
demo-150,43,73,137,12,512
demo-151,42,111,126,2,512
level-001,27,89,204,19,480
level-002,31,86,129,14,384
level-003,37,56,130,27,352
level-004,40,148,254,25,800
level-005,43,80,175,18,480
level-006,47,101,179,21,704
level-007,35,84,131,21,416
level-008,47,114,260,26,832
level-009,29,215,461,17,1568
level-010,62,332,471,19,1920
level-011,91,227,375,12,1280
level-012,74,222,297,17,1088
level-013,75,116,193,18,672
level-014,45,253,329,23,992
level-015,62,323,468,20,1824
level-016,55,291,507,10,1312
level-017,55,347,565,4,1408
level-018,52,310,515,14,1600
level-019,49,152,300,28,864
level-020,55,248,388,28,1312
level-021,65,359,541,4,1760
level-022,61,348,507,16,2176
level-023,81,88,132,15,480
level-024,55,225,400,14,1472
level-025,59,250,560,18,1600
level-026,69,196,353,19,1312
level-027,23,144,503,2,1120
level-028,53,341,527,6,1376
level-029,47,205,429,6,1728
level-030,59,437,637,2,1120
level-031,62,325,478,19,1888
level-032,51,204,427,15,1344
level-033,83,236,465,22,928
level-034,44,125,208,20,800
level-035,46,187,399,29,1344
level-036,59,197,372,23,1440
level-037,52,300,513,17,1792
level-038,56,381,586,7,1408
level-039,55,380,557,12,1472
level-040,47,165,439,18,1536
level-041,48,207,403,25,1568
level-042,50,173,264,19,768
level-043,46,223,448,17,1408
level-044,54,184,351,20,992
level-045,63,354,496,17,2112
level-046,19,132,365,22,1088
level-047,37,163,563,11,1504
level-048,57,188,360,34,1536
level-049,45,227,438,13,1344
level-050,47,169,326,34,864
level-051,60,198,388,26,1216
level-052,26,150,331,17,608
level-053,91,204,354,22,1216
level-054,67,180,381,19,1600
level-055,67,204,455,23,1632
level-056,57,226,455,18,1344
level-057,29,184,425,27,2304
level-058,55,104,246,32,736
level-059,58,163,281,24,864
level-060,46,259,453,16,1376
level-061,61,210,361,25,1056
level-062,51,117,228,25,736
level-063,51,117,286,27,800
level-064,35,277,522,13,1312
level-065,58,127,264,28,640
level-066,50,165,339,24,1216
level-067,36,87,171,30,448
level-068,52,106,222,26,640
level-069,47,214,516,19,2080
level-070,18,153,505,17,1216
level-071,18,203,505,6,1120
level-072,52,221,487,27,1664
level-073,48,293,497,10,1536
level-074,58,308,605,8,1216
level-075,10,126,333,26,832
level-076,48,235,383,19,960
level-077,54,115,281,26,1728
level-078,47,272,479,16,1856
level-079,19,187,481,7,2080
level-080,37,227,486,11,1568
level-081,64,168,262,19,736
level-082,31,126,292,13,992
level-083,81,179,311,25,736
level-084,45,192,310,18,1024
level-085,57,152,385,23,1344
level-086,56,122,211,22,704
level-087,46,90,188,28,352
level-088,54,228,472,18,1664
level-089,36,188,409,22,1792
level-090,36,107,309,19,1248
level-091,40,132,373,32,1184
level-092,49,202,391,17,1248
level-093,38,170,440,24,2144
level-094,63,219,349,22,1216
level-095,62,218,336,17,1504
level-096,74,135,196,14,608
level-097,59,100,126,20,320
level-098,43,191,441,25,1696
level-099,59,144,293,13,832
level-100,32,72,316,31,1632
level-101,56,134,269,15,960
level-102,53,207,374,19,1344
level-103,63,131,252,28,736
level-104,58,222,410,27,1376
level-105,65,312,551,8,1248
level-106,48,185,397,21,1376
level-107,60,128,211,28,512
level-108,45,144,289,14,928
level-109,47,157,285,26,960
level-110,39,208,426,16,1408
level-111,48,197,375,17,1088
level-112,40,123,314,21,672
level-113,38,107,242,13,800
level-114,32,99,302,13,1120
treasure-room-01,43,55,271,32,672
treasure-room-02,48,62,279,31,800
treasure-room-03,58,96,483,23,1600
treasure-room-04,51,79,284,29,832
treasure-room-05,63,98,408,28,1408
treasure-room-06,49,73,438,37,1216
treasure-room-07,53,76,312,18,1184
treasure-room-08,54,93,417,19,1120
treasure-room-09,51,76,324,33,800
treasure-room-10,45,69,415,27,1536
treasure-room-11,54,98,395,24,1440
