ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-008.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 832
UNIQUE_PIXEL_TILES: 114
CONNECTED_OBJECT_GROUPS: 26

0000 0000 0000 0000 0000 0025 0026 0027 0028 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 002C 002D 002E 002F 0030 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0045 0046 0047 0048 0049 004A 004B 0000 0000 0000 0000 0000 0000 0000 0000 0000 004C 004D 004E 004F 0050 0000 0000 0000 0000 0000 0000
0060 0000 0000 0000 0000 0065 0000 0000 0000 0069 006A 006B 0000 0031 0032 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0034 0035
0080 0081 0082 0083 0000 0085 0000 0000 0000 0000 0000 0000 0000 0051 0052 0053 0000 0000 0000 0000 0000 0000 0039 003A 0000 0000 0000 0000 0000 0000 0054 0055
0000 00A1 00A2 00A3 0000 00A5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0056 0057 0058 0059 005A 005B 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 00C3 00C4 00C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0076 0077 0078 0000 007A 007B 007C 007D 0000 0000 0000 0000 0000
0000 0000 0000 00E3 00E4 00E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 009C 009D 009E 0000 0000 0000 0000
0100 0101 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00BD 00BE 00BF 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0102 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0104 0105 0106 0000 0000 0000 0000 0000 0107 0108
0122 0123 0000 0000 0000 0000 0000 010B 010C 010D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0124 0125 0126 0000 0000 0000 0000 0000 0127 0128
0142 0143 0000 0000 0000 0129 012A 012B 012C 012D 0000 0000 0000 0000 010F 0110 0111 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0148
0000 0000 0000 0000 0000 0149 014A 014B 014C 014D 014E 0000 0000 0000 012F 0130 0131 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 016C 016D 016E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0112 0113 0000 0000 0000 0000 0000 0000
0000 0000 011C 011D 011E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0132 0133 0134 0135 0136 0000 0000 0000
0000 0000 013C 013D 013E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0155 0156 0157 0158 0159
015A 015B 0000 0000 0000 0000 0000 0000 0000 0000 01C5 01C6 0000 0000 0000 0000 01C9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0178 0179
017A 017B 017C 0000 0000 0000 0000 0000 0000 0000 01E5 01E6 01E7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 019B 019C 019D 019E 0000 0000 0000 0203 0204 0205 0206 0207 0208 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 01BD 01BE 01BF 0000 0000 0223 0224 0225 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0243 0244 0245 0000 0000 0000 0000 0000 0000 0000 01CA 01CB 01CC 0000 01CD 01CE 01CF 01D0 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0263 0264 0265 0000 0000 0000 0000 0000 0000 0000 01EA 01EB 01EC 0000 01ED 01EE 01EF 01F0 0000 0000 0000 0000 0000 0000
01D5 01D6 0000 0000 0000 0280 0281 0282 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 020E 020F 0210 0000 0000 0213 0214 0000 0000
01F5 01F6 01F7 0000 0000 02A0 02A1 02A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 022E 022F 0230 0231 0232 0233 0000 0000 0000
0000 0216 0217 0218 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0251 0252 0253 0254 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 01D9 01DA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0272 0273 0274 0000 0000
01DB 01DC 01DD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C5 02C6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01FB 01FC 01FD 0000 0000 0000 0000 0000 0000 0000 02E0 02E1 02E2 0000 02E4 02E5 02E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0300 0301 0302 0303 0304 0305 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C7 02C8 02C9 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0323 0324 0325 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E7 02E8 02E9 0000 0000
02CA 02CB 0000 0000 0000 0000 0000 02CE 02CF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02D0 0000 0000 0000 0000 0000 0000 0000 0000 0308 0309 0000 02D1
02EA 02EB 02EC 0000 0000 0000 02ED 02EE 02EF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0327 0328 0329 0000 02F1
