ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-009.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1568
UNIQUE_PIXEL_TILES: 215
CONNECTED_OBJECT_GROUPS: 17

0020 0021 0022 0000 0000 0000 0000 0037 0038 0039 0000 0000 002C 002D 002E 002F 0030 0000 0000 0240 0241 0242 0243 0244 0245 0246 0247 0248 0249 0000 0000 0000
0040 0041 0042 0000 0000 0000 0000 0057 0058 0059 0000 0000 004C 004D 004E 004F 0050 0000 0000 0260 0261 0262 0263 0264 0265 0266 0267 0268 0269 0000 0000 0000
0060 0061 0062 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 006D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0080 0081 0082 0000 0000 0000 0086 0000 0088 0089 008A 0000 008C 008D 008E 008F 0090 0091 0092 0093 0094 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A0 0000 0000 0000 0000 0000 00A6 00A7 00A8 00A9 00AA 00AB 00AC 00AD 00AE 00AF 00B0 00B1 00B2 00B3 00B4 00B5 00B6 0000 024A 024B 024C 024D 024E 0000 024F 0250
00C0 00C1 00C2 00C3 00C4 00C5 00C6 00C7 00C8 00C9 0000 0000 00CC 00CD 00CE 00CF 00D0 00D1 00D2 00D3 00D4 00D5 00D6 0000 026A 026B 026C 026D 026E 0000 026F 0270
0000 00E1 00E2 00E3 00E4 00E5 00E6 00E7 00E8 00E9 00EA 00EB 00EC 00ED 00EE 00EF 00F0 00F1 00F2 00F3 00F4 00F5 00F6 0000 0000 0000 0000 028D 0000 0000 0000 0000
0100 0101 0102 0000 0000 0105 0106 0107 0108 0109 010A 010B 010C 010D 0000 0000 0000 0000 0000 0000 0114 0115 0116 0000 0000 0000 0000 02AD 0000 0000 0000 0000
0120 0121 0122 0123 0000 0125 0126 0127 0000 0000 0000 012B 012C 012D 012E 012F 0130 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0140 0141 0142 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 014E 014F 0150 0000 0000 0000 0253 0254 0255 0256 0257 0258 0259 025A 025B 025C 025D 025E
0160 0161 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 016C 016D 016E 0000 0000 0000 0271 0272 0273 0274 0275 0276 0277 0278 0279 027A 027B 027C 027D 027E
0180 0181 0182 0000 0000 02C0 02C1 02C2 0000 0000 0000 0000 018C 018D 018E 0000 0000 0000 0291 0292 0293 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01A0 01A1 01A2 01A3 0000 02E0 02E1 02E2 02E3 02E4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01C0 01C1 01C2 0000 0000 0000 0000 0302 0303 0304 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01E0 01E1 01E2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C5 02C6 02C7 0000 0000 0000 0000 0000 0000 0000 02CA 02CB 02CC 02CD 02CE 02CF 02D0 02D1
0200 0201 0202 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E5 02E6 02E7 0000 0000 0000 0000 0000 02E8 02E9 02EA 02EB 02EC 02ED 02EE 02EF 02F0 02F1
0220 0221 0222 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0308 0309 030A 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 02D4 02D5 02D6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 02F2 02F3 02F4 02F5 02F6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0312 0313 0314 0315 0316 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0340 0000 0000 0000 0000 0000 0000 0334 0335 0336 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 034C 034D 034E 0000 034F 0350
0360 0361 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04C5 0000 0000 04C8 04C9 04CA 0000 036A 036B 036C 036D 036E 0000 036F 0370
0000 0381 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04E2 04E3 04E4 0000 04E6 04E7 04E8 04E9 04EA 0000 038A 038B 038C 0000 0000 0000 0000 0000
0000 03A1 0000 0000 0000 0000 0000 04D6 04D7 04D8 0000 0000 0500 0501 0502 0503 0504 0000 0506 0507 0508 0509 050A 0000 0000 0000 0000 0000 0000 0000 0000 0000
03C0 03C1 03C2 0000 0000 04F4 04F5 04F6 04F7 04F8 0000 0000 0520 0521 0522 0000 0000 0000 0000 0000 0528 0529 052A 0000 0000 0000 0000 0000 0000 0000 0000 0000
03E0 03E1 03E2 0000 0000 0514 0515 0516 0000 0000 0000 0000 0000 0541 0542 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 054E 054F 0550 0000 0000 0000
0400 0401 0402 0000 0000 0000 0000 0000 0000 0000 0000 0000 0560 0561 0562 0000 0000 0000 0000 0000 0568 0569 056A 056B 056C 056D 056E 056F 0570 0000 0000 0000
0420 0421 0422 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0582 0583 0584 0585 0586 0587 0588 0589 058A 058B 058C 058D 058E 0000 0590 0591 0592 0000
0440 0441 0442 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 05A2 05A3 05A4 05A5 05A6 05A7 05A8 05A9 05AA 05AB 05AC 05AD 05AE 05AF 05B0 05B1 05B2 05B3
0460 0461 0462 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 05C8 05C9 05CA 05CB 05CC 05CD 05CE 0000 0000 0000 0000 0000
0480 0481 0482 0483 0484 0485 0486 0487 0488 0489 0000 0000 04D9 04DA 04DB 0000 0000 0000 0000 0000 05E8 05E9 05EA 05EB 05EC 05ED 05EE 0000 0000 0000 0000 04DD
04A0 04A1 04A2 04A3 04A4 04A5 04A6 04A7 04A8 04A9 0000 0000 04F9 04FA 04FB 0000 0000 0000 0000 0000 0000 0609 060A 060B 060C 060D 060E 060F 0000 0000 04FC 04FD
