ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-011.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1280
UNIQUE_PIXEL_TILES: 227
CONNECTED_OBJECT_GROUPS: 12

0000 0000 0000 0000 0000 0000 0000 0020 0021 0022 0023 0024 0025 0026 0027 0028 0029 002A 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0040 0041 0042 0043 0044 0045 0046 0047 0048 0049 004A 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0055 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 006E 006F 0070 0071 0072 0073 0074 0075 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 008E 008F 0090 0091 0092 0093 0094 0095 0000 0000 0000
0000 0000 0000 0000 0037 0038 0039 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00AE 00AF 00B0 00B1 00B2 00B3 00B4 00B5 0000 0000 0000
0000 0000 0000 0056 0057 0058 0059 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CD 00CE 00CF 00D0 00D1 00D2 00D3 00D4 00D5 0000 0000 0000
0000 0000 0000 0000 0077 0078 0079 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00ED 00EE 00EF 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 010D 010E 010F 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 01A6 01A7 01A8 0000 0000 0000 01AA 01AB 01AC 0000 0000 0000 0000 0000 012D 012E 012F 0000 0000 01B6 01B7 01B8 0000 0000 0000 0000
01C0 0000 0000 0000 0000 0000 01C6 01C7 01C8 01C9 0000 0000 01CA 01CB 01CC 0000 0000 0000 0000 0000 014D 014E 014F 0000 0000 01D6 01D7 01D8 01D9 01DA 0000 01DC
01E0 0000 0000 0000 0000 01E5 01E6 01E7 01E8 01E9 0000 0000 0000 0000 01EC 01ED 01EE 0000 0000 016C 016D 0000 0000 0000 01F5 01F6 01F7 01F8 01F9 01FA 0000 01FC
0200 0201 0000 0203 0204 0205 0206 0207 0000 0000 0000 0000 0000 0000 020C 020D 020E 0000 0000 018C 018D 018E 0000 0000 0000 0000 0217 0218 0219 021A 021B 0000
0220 0221 0222 0223 0224 0225 0226 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0236 0237 0000 0239 023A 023B 023C
0240 0241 0242 0243 0244 0245 0246 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0256 0257 0258 0259 025A 025B 025C
0000 0261 0262 0263 0264 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0480 0481 0482 0483 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 027A 027B 027C
0280 0281 0282 0283 0284 0285 0000 0000 0000 0000 0000 0000 0000 0000 0000 04A0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 029C
02A0 02A1 02A2 02A3 02A4 02A5 02A6 0000 0000 0000 0000 0000 0000 0000 0000 0000 04C1 0000 02AF 02B0 02B1 0000 0000 0000 0000 0000 0000 0000 0000 0000 02BB 02BC
02C0 02C1 02C2 02C3 02C4 02C5 02C6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02CF 02D0 02D1 0000 0000 0000 0000 0000 0000 0000 0000 02DA 02DB 0000
02E0 02E1 02E2 02E3 02E4 02E5 0000 0000 0000 0000 0000 0000 0000 0484 0000 0000 0000 0000 0000 0000 02F1 02F2 02F3 02F4 02F5 0000 02F7 02F8 02F9 02FA 02FB 02FC
0300 0301 0302 0303 0304 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0311 0312 0313 0314 0315 0316 0317 0318 0319 031A 031B 031C
0000 0321 0322 0323 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0485 0486 0487 0000 0000 0000 0000 0000 0000 0336 0337 0338 0339 033A 0000 0000
0340 0341 0342 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04A5 04A6 04A7 0000 0000 0000 0000 0354 0355 0356 0357 0358 0000 0000 0000 0000
0000 0361 0362 0363 0000 0000 0000 0000 0000 048C 048D 0000 0000 0000 0000 0000 0000 0000 0000 04C8 04C9 0000 0000 0374 0375 0376 0377 0378 0000 0000 0000 0000
0380 0381 0382 0383 0000 0000 0000 04AA 04AB 04AC 04AD 0000 0000 0000 0000 0000 0000 0000 04E7 04E8 04E9 0000 0000 0000 0395 0396 0397 0000 0399 0000 0000 0000
03A0 03A1 03A2 03A3 03A4 0000 0000 04CA 04CB 04CC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 03C2 03C3 03C4 03C5 0000 04EA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 03E2 03E3 03E4 03E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0400 0401 0402 0000 0404 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 048E
0420 0421 0422 0000 0424 0000 048F 0490 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0442 0443 0000 0000 0000 0000 0000 0000 0000 0000 0492 0000 0494 0495 0000 0497 0498 0000 049A 049B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0462 0463 0464 0000 0000 0000 0000 0000 0000 04B1 04B2 04B3 04B4 04B5 0000 04B7 04B8 04B9 04BA 04BB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04D1 04D2 04D3 04D4 04D5 04D6 04D7 04D8 04D9 04DA 04DB 04DC 0000 0000 0000 0000 0000 0000 0000 0000 0000
