ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-015.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1824
UNIQUE_PIXEL_TILES: 323
CONNECTED_OBJECT_GROUPS: 20

0020 0000 0000 0000 0000 0000 0025 0026 0027 0028 0029 002A 0000 0000 0000 0000 0000 0000 0000 0031 0032 0033 0034 0000 0000 0037 0038 0039 003A 003B 003C 003D
0040 0000 0041 0042 0043 0044 0045 0046 0047 0048 0049 004A 004B 004C 004D 0000 0000 003E 0000 0051 0052 0053 0054 0055 0056 0057 0058 0059 005A 005B 005C 005D
0000 0000 0061 0062 0063 0000 0000 0000 0000 0000 0000 006A 006B 006C 006D 0000 0000 0000 0000 0000 0000 0073 0074 0075 0076 0077 0000 0000 0000 0000 0000 007D
003F 0000 0081 0082 0083 0000 0000 0000 0000 0000 0000 008A 008B 008C 0000 0000 0000 0000 0000 0000 0000 0000 0094 0095 0096 0000 0098 0099 009A 009B 009C 009D
005F 0000 00A1 00A2 00A3 0000 0000 0000 0000 0000 0000 00AA 00AB 00AC 0000 0000 0000 0000 03A0 03A1 03A2 0000 0000 0000 0000 00B7 00B8 00B9 00BA 00BB 00BC 00BD
007F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CA 00CB 00CC 0000 0000 0000 0000 03C0 03C1 03C2 03C3 0000 0000 0000 00D7 00D8 00D9 00DA 00DB 00DC 00DD
009F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EC 0000 0000 0000 0000 0000 03E1 03E2 03E3 0000 0000 0000 00F7 00F8 00F9 00FA 00FB 00FC 00FD
00BF 0000 0000 0000 0000 0000 0000 0000 0000 03A5 03A6 0000 0000 010C 0000 03A8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0119 011A 011B 011C 011D
0000 0000 03AB 03AC 0000 0000 0000 0000 03C4 03C5 03C6 03C7 0000 012C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0136 0000 0000 0139 013A 013B 0000 0000
0000 0000 03CB 03CC 03CD 0000 0000 0000 03E4 03E5 03E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0156 0157 0158 0159 015A 015B 015C 015D
0000 0000 03EB 03EC 03ED 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 016F 0170 0171 0172 0173 0000 0000 0176 0000 0178 0179 017A 017B 0000 0000
0000 0000 040B 040C 040D 040E 040F 0410 0000 0000 0000 0000 0000 0000 0000 0000 018E 0000 0000 0191 0192 0193 0194 0000 0196 0197 0198 0199 019A 019B 0000 0000
0429 0000 0000 0000 0000 042E 042F 0430 0431 0432 0433 0434 0000 0000 0000 0000 0000 0000 0000 0000 01B2 01B3 01B4 01B5 0000 01B7 01B8 01B9 01BA 01BB 0000 01BD
0449 044A 044B 044C 044D 0000 0000 0000 0451 0452 0453 0454 0000 0000 0000 03B6 03B7 03B8 0000 0000 0000 01D3 01D4 01D5 01D6 0000 01D8 01D9 01DA 01DB 01DC 01DD
0469 046A 046B 046C 046D 0000 0000 0000 0000 0000 0000 0474 0000 0000 0000 0000 03D7 03D8 03D9 0000 0000 0000 0000 0000 01F6 0000 01F8 01F9 01FA 01FB 01FC 01FD
0489 048A 048B 0000 0000 0000 05E2 05E3 05E4 0000 0000 0000 0000 0000 0000 03F6 03F7 03F8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0219 021A 021B 021C 021D
04A9 04AA 04AB 0000 0600 0601 0602 0603 0604 0000 0000 0000 0000 0000 0000 0416 0417 0418 0419 0000 0000 0000 0000 0000 0000 0000 0000 0000 023A 023B 023C 023D
04C9 04CA 04CB 0000 0620 0621 0622 0623 0000 0000 0000 05EB 0000 0000 0435 0436 0437 0438 0439 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 025C 025D
04E9 04EA 04EB 0000 0000 0000 0000 0000 0000 0000 0000 060B 0000 0000 0000 0000 0000 0458 0459 045A 0000 0000 0000 0000 0000 0000 0000 0000 0000 027B 027C 027D
0509 050A 050B 0000 0000 0625 0626 0627 0628 0629 062A 062B 0000 0000 0000 0000 0000 0478 0479 047A 047B 047C 0000 0000 0296 0000 0000 0299 0000 029B 029C 029D
0529 052A 052B 0000 0000 0645 0646 0647 0648 0649 064A 064B 0000 0000 0000 0496 0497 0498 0499 049A 049B 049C 049D 0000 02B6 0000 0000 02B9 0000 02BB 02BC 02BD
0000 0000 054B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04B6 04B7 04B8 04B9 04BA 04BB 0000 0000 0000 02D6 0000 02D8 02D9 02DA 02DB 02DC 02DD
0000 0000 056B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04D8 04D9 04DA 0000 0000 0000 0000 02F6 02F7 02F8 0000 0000 02FB 02FC 02FD
0000 0000 058B 058C 0000 0000 0000 0000 0000 05EE 05EF 05F0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0316 0317 0318 0319 0000 031B 031C 031D
0000 0000 0000 0000 05AD 05AE 05AF 0000 060D 060E 060F 0610 0611 0000 0000 0000 0000 0000 0000 0000 0000 05F3 0000 0335 0336 0337 0338 0339 0000 033B 033C 033D
0000 0000 0000 0000 05CD 05CE 05CF 0000 062D 062E 062F 0630 0631 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0355 0356 0357 0358 0000 0000 0000 0000 0000
05F4 0000 0000 0000 0000 0000 0000 0000 064D 064E 064F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0373 0374 0375 0376 0377 0378 0379 0000 0000 05F5 05F6
0614 0000 0000 0000 0000 0000 0000 066C 066D 0000 066F 0670 0671 0000 0000 0000 0000 0000 0000 0000 0000 0393 0394 0395 0000 0000 0000 0000 0000 0000 0615 0616
0000 0000 0000 0000 0000 0000 0000 068C 068D 068E 068F 0690 0691 0000 05F7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 06AC 06AD 06AE 06AF 06B0 06B1 0000 0000 0000 0000 05F9 05FA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 05FC 05FD 05FE 05FF 0000 0000 0000 0000 0000 0000 06D0 06D1 06D2 0000 0000 0618 0619 061A 0000 0000 0000 0000 0000 0000 0000 06E0 06E1 06E2 06E3 0000 0000
061B 061C 061D 061E 061F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0638 0639 063A 0000 0000 0000 0000 0000 0000 0000 0700 0701 0702 0703 0000 0000
