ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-020.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1312
UNIQUE_PIXEL_TILES: 248
CONNECTED_OBJECT_GROUPS: 28

0020 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 002C 002D 002E 002F 0030 0031 0000 0000 0000 0000 0033 0034 0035 0036 0037 0038 0000 0000 003B 003C
0040 0000 0000 0043 0044 0000 0000 0000 0000 0000 0000 0000 004C 004D 004E 004F 0050 0051 0052 0000 0000 0000 0053 0054 0055 0056 0057 0058 0059 0000 005B 005C
0060 0061 0062 0063 0064 0000 0000 0000 0068 0069 006A 006B 006C 0000 006E 006F 0070 0071 0072 0000 0000 0000 0073 0074 0075 0076 0077 0078 0079 007A 007B 007C
0080 0081 0082 0000 0000 0000 0000 0000 0088 0089 008A 008B 008C 0000 008E 008F 0090 0091 0092 0000 0000 0000 0000 0000 0000 0000 0000 0098 0099 009A 009B 009C
00A0 0000 0000 0000 0000 0000 00A6 00A7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B9 00BA 00BB 00BC
00C0 0000 0000 0000 0000 00C5 00C6 00C7 0000 0000 0000 0000 0000 0000 0120 0121 0122 0123 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D8 00D9 00DA 00DB 00DC
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0140 0141 0142 0143 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F8 00F9 00FA 00FB 00FC
0124 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 012D 012E 012F 0000 0000 0000 0000 011B 011C
0144 0145 0146 0147 0000 0000 0130 0131 0132 0133 0134 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 014B 014C 014D 014E 014F 0000 0000 0000 0000 0000 0000
0164 0165 0166 0167 0168 0000 0150 0151 0152 0153 0154 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 016B 016C 016D 0000 0000 0000 0000 0000 0000 0000 0000
0184 0185 0186 0187 0188 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0135 0136 0000 0000
01A4 01A5 01A6 01A7 01A8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0155 0156 0157 0000
01C4 01C5 01C6 01C7 01C8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 013A 013B 013C 013D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
