ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-024.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1472
UNIQUE_PIXEL_TILES: 225
CONNECTED_OBJECT_GROUPS: 14

0000 0000 0000 0000 0000 0025 0026 0027 0000 0200 0201 0202 0203 0204 0205 0206 0207 0208 0209 020A 020B 020C 020D 020E 020F 0210 0211 0212 0213 0214 0215 0216
0040 0000 0000 0000 0000 0045 0046 0047 0000 0220 0221 0222 0223 0224 0225 0226 0227 0228 0229 022A 022B 022C 022D 022E 022F 0230 0231 0232 0233 0234 0235 0236
0060 0061 0062 0000 0064 0065 0066 0000 0000 0000 0000 0000 0243 0244 0245 0246 0247 0248 0249 024A 024B 024C 024D 024E 024F 0250 0251 0252 0253 0254 0255 0256
0080 0081 0082 0000 0084 0085 0086 0000 0000 0000 0000 0000 0000 0000 0000 0000 0267 0268 0269 0000 0000 026C 026D 026E 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 00A3 00A4 00A5 00A6 00A7 00A8 00A9 00AA 0000 0000 0000 0000 0286 0287 0288 0289 0000 028B 028C 028D 028E 028F 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 00C3 00C4 00C5 00C6 00C7 00C8 00C9 00CA 0000 0000 0000 0000 0000 02A7 02A8 02A9 02AA 02AB 02AC 0000 0000 0000 0000 0000 0217 0000 0000 0000 0000
0000 0000 0000 00E3 00E4 00E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C7 02C8 02C9 02CA 02CB 02CC 02CD 0000 0000 0000 0000 0237 0000 0000 0000 0000
0000 0000 0000 0103 0104 0105 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E9 02EA 02EB 02EC 02ED 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0123 0124 0125 0000 0000 0000 0218 0219 021A 021B 021C 021D 021E 021F 0000 0309 030A 030B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0400 0000 0000 0143 0144 0145 0000 0000 0000 0238 0239 023A 023B 023C 023D 023E 023F 0000 0329 032A 032B 0000 0401 0402 0403 0404 0405 0000 0000 0000 0406 0407
0420 0000 0000 0163 0164 0165 0166 0167 0000 0000 0000 0000 0000 0000 025D 025E 025F 0000 0349 034A 034B 0000 0421 0422 0423 0424 0425 0000 0000 0000 0426 0427
0440 0000 0000 0183 0184 0185 0186 0187 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0369 036A 036B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0446 0447
0460 0000 0000 01A3 01A4 01A5 01A6 01A7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0389 038A 038B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0466 0467
0000 0000 0000 01C3 01C4 01C5 01C6 01C7 0000 0000 0000 0000 0000 0000 0000 0000 0000 03A8 03A9 03AA 03AB 03AC 0000 0000 0408 0000 0000 0000 040C 0000 0000 0000
0000 0000 0000 01E3 01E4 01E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03C7 03C8 03C9 03CA 03CB 03CC 03CD 0000 0428 0000 0000 0000 042C 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E7 03E8 03E9 03EA 03EB 03EC 03ED 0000 0448 0449 044A 044B 044C 0000 0000 0000
