ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-025.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1600
UNIQUE_PIXEL_TILES: 250
CONNECTED_OBJECT_GROUPS: 18

0000 0000 0022 0023 0024 0025 0026 0027 0028 0029 0000 002B 0000 0000 0000 0000 0030 0031 0032 0000 0034 0000 0000 0037 0038 0000 003A 003B 003C 0000 0000 0000
0000 0000 0042 0043 0044 0045 0046 0047 0048 0049 004A 004B 004C 0000 0000 0000 0050 0051 0052 0053 0054 0055 0056 0057 0058 0059 005A 005B 005C 0000 0000 0000
0060 0061 0062 0000 0000 0000 0066 0067 0068 0069 006A 006B 0000 0000 006E 006F 0070 0071 0072 0073 0074 0075 0076 0077 0078 0079 007A 0000 0000 0000 0000 0000
0080 0081 0082 0000 0000 0085 0086 0087 0088 0089 008A 0000 0000 008D 008E 008F 0090 0091 0092 0093 0094 0095 0096 0097 0098 0099 009A 009B 0000 009D 009E 009F
0000 0000 0000 0000 00A4 00A5 00A6 00A7 00A8 00A9 0000 0000 00AC 00AD 00AE 00AF 00B0 00B1 00B2 00B3 00B4 00B5 00B6 00B7 00B8 00B9 00BA 00BB 00BC 00BD 00BE 00BF
00C0 00C1 00C2 00C3 00C4 00C5 00C6 00C7 00C8 0000 0000 00CB 00CC 00CD 00CE 00CF 00D0 00D1 00D2 00D3 00D4 00D5 00D6 00D7 00D8 00D9 00DA 00DB 00DC 00DD 0000 0000
00E0 00E1 00E2 00E3 00E4 00E5 00E6 00E7 00E8 00E9 00EA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F5 00F6 00F7 00F8 00F9 00FA 00FB 00FC 00FD 00FE 0000
0000 0101 0102 0103 0104 0105 0106 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0119 011A 011B 011C 011D 011E 011F
0120 0121 0122 0123 0124 0125 0126 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0139 013A 013B 013C 013D 013E 013F
0000 0000 0142 0143 0144 0000 0146 0000 0000 0000 0000 0000 0000 0000 02A0 02A1 02A2 02A3 0000 0000 0000 0000 0000 0000 0000 0159 015A 015B 015C 015D 0000 0000
0000 0161 0162 0163 0000 0000 0000 0000 0000 0000 02A4 0000 02A5 0000 0000 0000 0000 0000 0000 02A6 0000 02A7 0000 0000 0000 0179 017A 017B 017C 017D 017E 0000
