ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-026.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1312
UNIQUE_PIXEL_TILES: 196
CONNECTED_OBJECT_GROUPS: 19

0000 0000 0000 0000 0000 0000 0021 0022 0023 0000 0000 0000 0027 0028 0029 002A 002B 0000 0000 0000 0000 0000 002C 002D 002E 002F 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0041 0042 0043 0000 0000 0046 0047 0048 0049 004A 004B 0000 0000 0000 0000 0000 004C 004D 004E 004F 0000 0000 0000 0000 0000 0000
0000 0000 0030 0031 0000 0060 0061 0062 0063 0000 0000 0066 0067 0068 0069 006A 006B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0032 0033 0000
0000 0000 0000 0000 0000 0080 0081 0082 0083 0084 0085 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0034 0035 0036 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 00A3 00A4 00A5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0054 0055 0056 0057 0000 0000 0000 0000 0000 0000 0000
0000 0000 003B 003C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0074 0075 0076 0077 0078 0000 0000 0000 0000 0000 0000
0059 005A 005B 005C 005D 0000 0000 0000 0000 0000 0000 00C1 00C2 00C3 00C4 0000 00C7 00C8 00C9 0000 0000 0094 0095 0096 0097 0098 0000 0000 0000 017D 017E 017F
0079 007A 007B 007C 007D 0000 0000 0000 0000 0000 00E0 00E1 00E2 00E3 00E4 0000 00E7 00E8 00E9 0000 0000 0000 00B5 00B6 00B7 0000 0000 0000 0000 019D 019E 019F
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0100 0101 0102 0103 0104 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01BA 01BB 01BC 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0124 0125 0126 0000 0000 0000 0000 0000 0000 0000 0000 0000 01DA 01DB 01DC 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0144 0145 0146 0000 0000 0000 0000 0000 0000 01F7 01F8 01F9 0000 0000 0000 0000 0000 0000
0200 0201 0202 0203 0204 0205 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0217 0218 0219 0000 0000 0000 0000 0000 0000
0220 0221 0222 0223 0224 0225 0000 0000 0000 0229 022A 022B 0000 0000 0000 0000 0000 0000 0000 0000 0234 0235 0236 0000 0000 0000 0000 0000 0000 0000 0000 0000
0240 0241 0242 0243 0000 0000 0246 0247 0248 0249 024A 024B 0000 0000 0000 0000 0000 0000 0000 0000 0254 0255 0256 0000 0000 0000 0000 0000 0000 0000 0000 0000
