ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-031.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1888
UNIQUE_PIXEL_TILES: 325
CONNECTED_OBJECT_GROUPS: 19

0020 0000 0000 0000 0000 0000 0025 0026 0027 0028 0029 002A 0000 0000 0000 0000 0000 0000 0000 002E 002F 0030 0031 0000 0000 0034 0035 0036 0037 0038 0039 003A
0040 0000 0041 0042 0043 0044 0045 0046 0047 0048 0049 004A 004B 004C 004D 0000 0000 003B 0000 004E 004F 0050 0051 0052 0053 0054 0055 0056 0057 0058 0059 005A
0000 0000 0061 0062 0063 0000 0000 0000 0000 0000 0000 006A 006B 006C 006D 0000 0000 0000 0000 0000 0000 0070 0071 0072 0073 0074 0000 0000 0000 0000 0000 007A
003C 0000 0081 0082 0083 0000 0000 0000 0000 0000 0000 008A 008B 008C 0000 0000 0000 0000 0000 0000 0000 0000 0091 0092 0093 0000 0095 0096 0097 0098 0099 009A
005C 0000 00A1 00A2 00A3 0000 0000 0000 0000 0000 0000 00AA 00AB 00AC 0000 0000 0000 0000 0242 0243 0244 0000 0000 0000 0000 00B4 00B5 00B6 00B7 00B8 00B9 00BA
007C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CA 00CB 00CC 0000 0000 0000 0000 0262 0263 0264 0265 0000 0000 0000 00D4 00D5 00D6 00D7 00D8 00D9 00DA
009C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EC 0000 0000 0000 0000 0000 0283 0284 0285 0286 0000 0000 00F4 00F5 00F6 00F7 00F8 00F9 00FA
00BC 0000 0000 0000 0000 0000 0000 0000 0000 024B 024C 0000 0000 010C 0000 024E 0000 0000 0000 0000 0000 0000 0000 02A7 0000 0000 0000 0116 0117 0118 0119 011A
0000 0000 0000 0252 0253 0000 0000 0000 026A 026B 026C 026D 0000 012C 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C7 02C8 02C9 0000 0136 0137 0138 0000 0000
0000 0000 0271 0272 0273 0000 0000 0000 028A 028B 028C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E7 0000 02E9 0000 0156 0157 0158 0159 015A
0000 0000 0291 0292 0293 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0301 0302 0303 0304 0305 0000 0307 0308 0309 0000 0176 0177 0178 0000 0000
0000 0000 02B1 02B2 02B3 02B4 02B5 02B6 0000 0000 0000 0000 0000 0000 0000 0000 0320 0000 0000 0323 0324 0325 0326 0000 0000 0000 0000 0196 0197 0198 0000 0000
02CF 0000 0000 0000 0000 02D4 02D5 02D6 02D7 02D8 02D9 02DA 0000 0000 0000 0000 0000 0000 0000 0000 0344 0345 0346 0347 0000 0000 0000 01B6 01B7 01B8 0000 01BA
02EF 02F0 02F1 02F2 02F3 0000 0000 0000 02F7 02F8 02F9 02FA 0000 0000 0000 04C1 04C2 04C3 0000 0000 0000 0365 0366 0367 0368 0000 01D5 01D6 01D7 01D8 01D9 01DA
030F 0310 0311 0312 0313 0000 0000 0000 0000 0000 0000 031A 0000 0000 0000 04E1 04E2 0000 04E4 0000 0000 0000 0000 0000 0388 0000 01F5 01F6 01F7 01F8 01F9 01FA
032F 0330 0331 0000 0000 0000 04CB 04CC 04CD 0000 0000 0000 0000 0000 0000 0501 0502 0503 0504 0000 0000 0000 0000 0000 0000 0000 0000 0216 0217 0218 0219 021A
034F 0350 0351 0000 04E9 04EA 04EB 04EC 04ED 0000 0000 0000 0000 0000 0000 0521 0522 0523 0524 0000 0000 0000 0000 0000 0000 0000 0000 0000 0237 0238 0239 023A
036F 0370 0371 0000 0509 050A 050B 050C 0000 0000 0000 04D4 0000 0000 0540 0541 0542 0543 0544 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
038F 0390 0391 0000 0000 0000 0000 0000 0000 0000 0000 04F4 0000 0000 0000 0000 0562 0563 0564 0565 0000 0000 0000 0000 0000 0000 0000 0000 0000 04DB 04DC 04DD
03AF 03B0 03B1 0000 0000 050E 050F 0510 0511 0512 0513 0514 0000 0000 0000 0000 0582 0583 0584 0585 0586 0587 0000 0000 04F6 0000 0000 04F9 0000 04FB 04FC 04FD
03CF 03D0 03D1 0000 0000 052E 052F 0530 0531 0532 0533 0534 0000 0000 0000 0000 05A2 05A3 05A4 05A5 05A6 05A7 05A8 0000 0516 0000 0000 0519 0000 051B 051C 051D
0000 0000 03F1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 05C3 05C4 05C5 05C6 0000 0000 0000 0536 0000 0538 0539 053A 053B 053C 053D
0000 0000 0411 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 05E3 05E4 05E5 0000 0000 0000 0000 0556 0557 0558 0000 0000 055B 055C 055D
