ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-035.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1344
UNIQUE_PIXEL_TILES: 187
CONNECTED_OBJECT_GROUPS: 29

0020 0000 0021 0022 0023 0024 0025 0026 0027 0028 0000 0000 0000 0000 002E 002F 0030 0000 0031 0032 0033 0000 0000 0036 0037 0038 0039 003A 003B 0000 0000 0000
0040 0000 0041 0042 0043 0044 0045 0046 0047 0048 0000 0000 0000 0000 004E 004F 0050 0000 0051 0052 0053 0000 0055 0056 0057 0058 0059 005A 005B 0000 0000 0000
0000 0000 0061 0062 0063 0000 0000 0066 0067 0068 0069 006A 0000 0000 0000 0000 0000 0000 0000 0072 0073 0074 0000 0000 0000 0078 0079 007A 007B 0000 0000 0000
0000 0000 0081 0082 0083 0000 0000 0086 0087 0088 0089 008A 0000 008C 008D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0099 009A 009B 009C 009D 0000
003F 0000 0000 0000 0000 00A4 00A5 00A6 0000 0000 0000 0000 00AB 00AC 00AD 0000 0000 0000 0000 0000 0000 0000 00B5 00B6 00B7 0000 0000 0000 00BB 00BC 00BD 00BE
005F 0000 0000 0000 0000 00C4 00C5 00C6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C0 01C1 01C2 0000 00D5 00D6 00D7 00D8 00D9 00DA 0000 0000 00DD 00DE
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E0 01E1 01E2 0000 0000 0000 0000 00F8 00F9 00FA 00FB 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0119 011A 011B 011C 011D 0000
0000 0000 01C3 01C4 01C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01CB 01CC 01CD 0000 0000 0000 0000 0000 0136 0137 0138 0000 0000 013B 013C 013D 0000
0000 0000 01E3 01E4 01E5 01E6 0000 0000 0000 01CE 0000 0000 0000 0000 01EA 01EB 01EC 01ED 0000 0000 0000 0000 0000 0156 0157 0158 0000 0000 0000 0000 0000 0000
0000 0000 0000 0204 0205 0206 0000 0000 0000 01EE 0000 0207 0208 0209 0000 0000 0000 0000 0000 01CF 01D0 01D1 0000 0000 0000 0178 0179 017A 0000 0000 0000 0000
01D2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0227 0228 0229 0000 0000 0000 0000 0000 01EF 01F0 01F1 0000 0000 0197 0198 0199 019A 0000 0000 01D3 01D4
01F2 0000 0000 0000 0000 0000 0000 01DC 01DD 0000 0000 0000 0000 0000 024A 024B 024C 0000 0000 0000 0000 0000 0000 01B6 01B7 01B8 0000 0000 0000 0000 01F3 01F4
0000 0000 0000 0000 01F9 01FA 01FB 01FC 01FD 0000 0000 0000 0000 0000 026A 026B 026C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0218 0219 021A 0000 0000 0000 0000 0000 02A8 02A9 0000 0000 0000 0000 0000 0000 0000 0000 02AB 02AC 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0236 0237 0238 0000 0000 0000 0000 0000 0000 02C7 02C8 02C9 0000 0000 0000 0000 0000 0000 0000 02CA 02CB 02CC 0000 0000 0000 0000 0000 02B1 02B2 02B3 0000
0000 0256 0257 0258 0000 0000 02E3 02E4 0000 02E6 02E7 02E8 0000 0000 0000 0000 02B4 0000 0000 0000 0000 0000 02EC 02ED 02EE 0000 0000 0000 02D1 02D2 02D3 0000
0275 0276 0000 0000 0000 0302 0303 0304 0305 0306 0307 0308 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 030C 030D 030E 0000 0000 0000 0000 0000 0000 0000
0295 0296 0000 0000 0000 0000 0000 0324 0325 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 032A 032B 032C 0000 0000 032F 0330 0000 0000 0000 0000 02B5
0000 0000 0000 0000 0000 0000 0343 0344 0345 0000 0000 0000 02B6 02B7 02B8 0000 0000 0000 0000 0000 034A 034B 034C 0000 034E 034F 0350 0000 0000 0000 0000 0000
0000 0000 0000 0000 0361 0362 0000 0000 0000 0000 0000 0000 02D6 02D7 02D8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0380 0381 0382 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02BA 02BB 0000 0000 0000 0000 02BD 02BE 0000 0000 0000 0000 03A1 03A2 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 03A8 03A9 03AA 0000 0000 0000 0000 02D9 02DA 02DB 0000 0000 0000 02DC 02DD 02DE 0000 0000 0000 03C0 03C1 03C2 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 03C8 03C9 03CA 0000 03CC 03CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
04E0 04E1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03EB 03EC 03ED 0000 0000 0000 0000 04E2 04E3 04E4 0000 0000 0000 03F8 03F9 0000 03FB 03FC 03FD 0000
0500 0501 0000 0000 0000 0000 0405 0406 0407 0408 0409 040A 0000 0000 0000 0000 0000 0000 0000 0502 0503 0504 0000 0000 0417 0418 0419 0000 041B 041C 041D 041E
0000 0000 0000 0000 0000 0000 0425 0426 0427 0428 0429 042A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0438 0439 0000 043B 043C 043D 0000
0000 0000 0000 0000 0000 0444 0445 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0454 0455 0456 0457 0458 0459 0000 045B 045C 045D 0000
0000 0000 0000 0000 0463 0464 0465 0466 0467 0000 0000 0000 0000 0000 0000 046E 046F 0470 0000 0000 0000 0474 0475 0476 0000 0000 0000 047A 047B 047C 0000 0000
04E5 04E6 0000 0000 0000 0000 0485 0486 0487 0488 0489 048A 0000 0000 0000 048E 048F 0490 0000 0492 0493 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0505 0506 0507 0000 0000 0000 0000 04A6 04A7 04A8 04A9 04AA 04AB 04AC 04AD 0000 0000 0000 04B1 04B2 04B3 0000 04E8 04E9 04EA 0000 04EC 04ED 0000 0000 0000 04EE
0525 0526 0527 0000 0000 0000 0000 0000 04C7 04C8 04C9 04CA 04CB 04CC 04CD 0000 0000 0000 0000 0000 0000 0000 0508 0509 050A 050B 050C 050D 0000 04EF 0000 0000
