ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-036.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1440
UNIQUE_PIXEL_TILES: 197
CONNECTED_OBJECT_GROUPS: 23

0000 0020 0021 0000 0022 0023 0024 0000 0025 0026 0027 0000 0029 002A 002B 002C 002D 002E 002F 0030 0031 0000 0033 0034 0035 0036 0037 0038 0000 0000 0000 0000
0000 0040 0041 0000 0042 0043 0044 0000 0045 0046 0047 0048 0049 004A 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0055 0056 0057 0058 0059 005A 005B 005C
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0068 0069 006A 006B 0000 0000 0000 006F 0070 0071 0072 0000 0000 0000 0000 0000 0000 0079 007A 007B 0000
003D 003E 0000 0000 00E0 00E1 00E2 0000 0000 0000 0000 0088 0089 008A 008B 0000 0000 0000 008F 0090 0091 0092 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
005D 005E 005F 0000 0100 0101 0102 0000 0000 00E3 0000 00A8 00A9 00AA 00AB 0000 0000 0000 00AF 00B0 00B1 00B2 0000 0000 0000 00E4 00E5 00E6 0000 0000 0000 0000
007D 007E 007F 0000 0000 0000 0000 0000 0000 0103 0000 00C8 00C9 00CA 00CB 0000 0000 0000 00CF 00D0 00D1 00D2 0000 0000 0000 0104 0105 0106 0000 0000 00E7 0000
009D 009E 009F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 00EB 00EC 00ED 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 010B 010C 010D 0000 0000 0000 0000 0000 0000 0000 0000 00EE 0000 0000 0000 0000 00F1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0128 0129 012A 0000 0000 0000 0000 00F2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0111 0000 0000 0000 0000 0000 0000 0000 0000 0000 00FB
0360 0000 0148 0149 014A 0000 0000 0000 0000 0112 0000 0000 0000 0000 0000 0000 0000 0000 0000 012F 0130 0000 0000 0000 0000 0000 0000 0000 0000 0000 011A 011B
0380 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 036B 036C 036D 0000 014F 0150 0000 0000 0000 0000 0000 0136 0137 0138 0000 013A 013B
03A0 03A1 03A2 03A3 03A4 03A5 0000 0000 0000 0000 0000 0000 0000 0000 0000 038B 038C 038D 0000 0000 0000 0171 0000 0000 0000 0155 0156 0157 0158 0159 015A 015B
03C0 03C1 03C2 03C3 03C4 03C5 03C6 03C7 03C8 03C9 03CA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0191 0000 0000 0000 0000 0176 0177 0178 0179 017A 017B
03E0 03E1 03E2 03E3 03E4 03E5 03E6 03E7 03E8 03E9 03EA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0196 0197 0198 0199 019A 019B
0400 0401 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01BA 01BB
0420 0421 0422 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01DA 01DB
0440 0441 0442 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01FA 01FB
0000 0461 0462 0463 0464 0465 0466 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0216 0217 0218 0219 021A 021B
0480 0481 0482 0483 0484 0485 0486 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0236 0237 0238 0239 023A 023B
04A0 04A1 04A2 04A3 04A4 04A5 04A6 0000 0000 036E 036F 0370 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0256 0257 0258 0259 025A 025B
04C0 0000 0000 0000 0000 0000 0000 0000 0000 038E 038F 0390 0000 0000 0000 0394 0395 0396 0000 0377 0378 0379 0000 0000 0000 0000 0000 0000 0000 0279 027A 027B
04E0 04E1 04E2 04E3 0000 037A 037B 037C 0000 0000 0000 0000 03B1 03B2 03B3 03B4 03B5 03B6 0000 0397 0398 0399 0000 0293 0294 0295 0296 0297 0298 0000 029A 029B
0500 0501 0502 0503 0000 039A 039B 039C 0000 0000 0000 0000 03D1 03D2 03D3 0000 0000 0000 0000 0000 0000 0000 0000 02B3 02B4 02B5 02B6 02B7 02B8 0000 02BA 02BB
0520 0521 0522 0000 0000 0000 03BB 03BC 03BD 03BE 03BF 0000 0000 0000 03F3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02D7 02D8 02D9 0000 0000
0540 0541 0542 0000 0000 03DA 03DB 03DC 03DD 03DE 03DF 0000 0000 0000 0413 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02F7 02F8 02F9 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0317 0318 0319 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0337 0338 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0357 0358 0359 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0560 0000 0000 0000 0000 0000 0562 0563 0564 0565 0566 0000 0000 0567 0568 0569 0000 0000 056B 056C 056D 0000 0000 0000 0000 0000 0000 0000 0000 0000 056E 056F
0580 0000 0000 0000 0000 0581 0582 0583 0584 0585 0586 0000 0000 0587 0588 0589 0000 058A 058B 058C 058D 0000 0000 0000 0000 0000 0000 0000 0000 0000 058E 058F
