ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-051.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1216
UNIQUE_PIXEL_TILES: 198
CONNECTED_OBJECT_GROUPS: 26

0020 0021 0022 0000 0000 0023 0024 0025 0026 0027 0000 0000 0000 0000 0000 0028 0029 002A 0000 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0000 0037 0038
0040 0041 0042 0000 0000 0043 0044 0045 0046 0047 0000 0000 0000 0000 0000 0048 0049 004A 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0055 0056 0057 0058
0060 0061 0062 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 006B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0075 0076 0077 0000
0080 0081 0082 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A0 00A1 00A2 0000 0000 0000 0000 0000 0000 0140 0141 0142 0143 0144 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00C0 00C1 00C2 0000 0000 0000 0000 0000 0000 0160 0161 0162 0163 0164 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0149 014A 0000 0000 0000 0000 0000 0000
00E0 00E1 00E2 0000 0000 0000 0152 0153 0000 0180 0181 0182 0183 0000 0000 0000 0000 0000 0154 0000 0000 0000 0000 0168 0169 016A 0000 0000 016D 016E 016F 0000
0100 0000 0000 0000 0000 0171 0172 0173 0000 01A0 01A1 01A2 01A3 01A4 01A5 01A6 0000 0000 0174 0000 0000 0000 0000 0000 0000 0000 018B 018C 018D 018E 018F 0190
0120 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C4 01C5 01C6 01C7 0000 0000 0000 0000 0000 0000 0000 0000 0000 01AB 01AC 01AD 0000 01AF 01B0
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01CD 01CE 0000 0000
0000 0000 0242 0243 0244 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0207 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01EC 01ED 01EE 0000 0000
0260 0261 0262 0263 0264 0000 024C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 024F 0250 0000 0000 0000 0000 0000 0000 020F 0210
0280 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0256 0000 0000 0000 0000 0000 0000 026E 026F 0270 0000 0000 0000 0000 0000 0000 022F 0230
02A0 02A1 02A2 0000 0000 0000 0000 0000 02A8 02A9 02AA 0000 0000 0000 0276 0000 0000 0000 0000 0000 0000 028E 028F 0290 0291 0000 0293 0294 0000 0000 0000 0000
02C0 02C1 02C2 0000 0000 0000 0000 0000 02C8 02C9 02CA 0000 0000 0000 0000 0000 0000 0000 0000 0000 02AD 02AE 02AF 02B0 02B1 02B2 02B3 02B4 0000 0000 0000 0000
0000 02E1 02E2 02E3 02E4 02E5 02E6 02E7 02E8 02E9 0000 02EB 0000 0000 0000 0000 0000 0000 0000 0000 02CD 02CE 02CF 02D0 02D1 02D2 0000 0000 0000 0000 0000 0000
0000 0301 0302 0303 0304 0305 0306 0307 0308 0309 0000 030B 0000 0000 0000 0000 0257 0000 0000 0000 0000 02EE 02EF 02F0 02F1 02F2 0000 0000 0000 0000 0000 0000
0320 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0258 0000 0000 030E 030F 0310 0311 0312 0313 0314 0315 0000 0259 025A
0340 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0278 0000 0000 032E 032F 0330 0331 0332 0333 0334 0335 0000 0279 027A
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 025C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0360 0361 0362 0000 0000 0000 0000 0000 0000 0000 0000 027C 0000 0000 0000 0000 0000 0368 0369 036A 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0380 0381 0382 0383 0384 0000 0000 0000 0000 0000 029B 029C 029D 029E 029F 0000 0000 0388 0389 038A 0000 0000 0000 0000 0000 0000 0000
0371 0372 0373 0000 0000 0000 0000 03A2 03A3 03A4 0000 0000 0000 0000 0000 02BB 02BC 02BD 02BE 02BF 0000 03A7 03A8 03A9 0000 03AB 03AC 03AD 03AE 03AF 03B0 0000
0391 0392 0393 0000 0000 03C0 03C1 03C2 03C3 03C4 0000 0374 0375 0376 0000 0000 0000 0000 0000 0000 0000 03C7 03C8 03C9 0000 03CB 03CC 03CD 03CE 03CF 03D0 0000
