ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-057.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 2304
UNIQUE_PIXEL_TILES: 184
CONNECTED_OBJECT_GROUPS: 27

0020 0021 0022 0000 0000 0000 0000 0000 0000 0023 0024 0025 0000 0026 0027 0028 0029 0000 0000 0000 0000 0000 0000 0000 0000 00B5 00B6 00B7 0000 0000 00BB 00BC
0040 0041 0042 0000 00C0 00C1 00C2 0000 0000 0043 0044 0045 0000 0046 0047 0048 0049 0000 00CE 00CF 00D0 0000 00D2 00D3 00D4 00D5 00D6 00D7 0000 0000 00DB 00DC
0060 0061 0062 0000 00E0 00E1 00E2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EE 00EF 00F0 0000 00F2 00F3 00F4 0000 0000 0000 0000 0000 0000 0000
0080 0081 0082 0000 0100 0101 0102 0103 0104 0105 0106 0107 0108 0109 010A 010B 010C 010D 010E 010F 0110 0111 0112 0113 0114 0115 0116 0117 0118 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0127 0128 0129 012A 0000 0000 0000 0000 0000 0130 0131 0132 0000 0000 0000 0136 0137 0138 0000 0000 0000
00BD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0147 0148 0149 014A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0158 0000 00BE 00BF
00DD 0000 0000 0000 03E2 03E3 03E4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03FB 03FC 03FD 03FE 03FF 0000 0178 0000 00DE 00DF
0000 0000 0400 0401 0402 0403 0404 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 041B 041C 041D 041E 041F 0000 0198 0000 0000 0000
0000 0000 0420 0421 0422 0000 0000 0000 0000 0720 0721 0722 0000 0000 0000 0000 0000 0000 0724 0725 0726 0000 0000 0000 0000 0000 0000 0000 01B8 0000 0000 0000
0000 0000 0000 0000 0442 0000 0000 0000 0000 0740 0741 0742 0000 0000 0000 0000 0000 0000 0744 0745 0746 0000 0000 0000 0000 0000 0000 0000 01D8 0000 0000 0000
0727 0728 0729 0000 0462 0000 0000 0000 0000 0000 0761 0762 0763 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01F8 0000 0000 0000
0747 0748 0749 0000 0482 0000 072A 072B 072C 0000 0781 0782 0783 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0216 0217 0218 0219 021A 0000
0000 0000 0000 0000 04A2 0000 074A 074B 074C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0732 0733 0734 0000 0000 0000 0236 0237 0238 0239 023A 0000
0000 0000 0000 0000 04C2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0739 0000 0000 0000 0000 0752 0753 0754 0000 0000 0000 0256 0257 0258 0000 0000 0000
0000 0000 0000 0000 04E2 04E3 04E4 0000 0000 0000 073A 073B 073C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0774 0775 0000 0000 0000 0000 0278 0000 0000 0000
073D 073E 073F 0000 0502 0503 0504 0000 0000 0000 075A 075B 075C 0000 0000 0000 0000 0000 0000 0000 0792 0793 0794 0795 0796 0000 0000 0000 0298 0000 0000 0000
075D 075E 075F 0000 0522 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 08A0 0000 07B2 07B3 07B4 07B5 07B6 0000 0000 0000 02B8 0000 08A1 08A2
077D 077E 077F 0000 0542 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 07D2 07D3 07D4 07D5 07D6 0000 0000 0000 02D8 0000 08C1 08C2
