ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: level-060-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 46

0000 0001 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0003 0001 0002 0002
0004 0005 0006 0007 0008 0009 000A 0007 0008 000B 0006 0007 0008 000B 0006 000C 000D 000B 0006 0007 0008 000B 0006 0007 0008 0009 000A 0007 000E 000F 0006 0007
0004 0010 0009 000A 000C 0011 0012 000A 0007 0008 000B 0006 0007 0008 000B 0013 0014 0008 000B 0006 000C 000D 000B 0006 000C 0011 000F 0006 0007 0008 000B 0006
0004 0015 0013 000F 0016 0015 0013 0012 000A 0007 0017 0018 0006 000C 0019 001A 001B 001C 000D 000B 0013 0014 0008 0009 0011 001D 000D 000B 0006 000C 000D 000B
0004 001E 0007 0017 001F 0020 0007 0013 0012 000A 0013 0021 0009 0022 0002 0002 0002 0023 001D 000D 000B 0006 000C 0011 000F 0013 001D 0019 001A 0011 0014 0008
0004 0005 0024 0011 0021 0009 001B 0025 0013 0012 000A 000C 0011 000F 0006 0007 0008 000B 0013 001D 000D 0009 0011 0014 0008 000B 0026 0001 0023 000F 0006 0007
0004 0010 0016 001E 000C 0022 0023 0027 001C 0011 0012 0011 0014 0008 000B 0006 0007 0008 000B 0013 001D 0011 000F 0006 0007 0008 0004 001E 0007 0008 000B 0006
0028 0015 0004 0005 0016 0015 0008 0029 0023 0014 0013 0012 001B 001C 000D 000B 0006 000C 0019 001A 0011 0014 0008 000B 0006 000C 001F 000F 0006 0007 0008 0009
002A 001E 0004 0010 000E 0020 000C 000D 000B 0006 0007 0029 0002 0023 0014 0008 000B 0029 0002 0023 000F 0006 0007 0008 0009 0011 0014 0008 000B 0006 000C 0022
0004 0005 0004 0015 0008 0009 0011 001D 000D 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0016 0005 0006 0007 0017 001A 0011 0014
0004 0010 0004 001E 000C 0011 000F 0013 001D 000D 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 0009 000A 0004 0010 000B 0006 0029 0023 000F 0006
0004 0015 000E 0012 0011 0014 0017 0018 0016 0015 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0016 0005 000E 001D 000D 000B 0006 0007 0008 000B
0004 001E 0007 0016 0005 0006 0013 0021 0004 001E 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0004 0010 000B 0013 001D 000D 000B 0006 0007 0008
0004 0005 0006 000E 002B 0018 0006 0007 000E 000F 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 000E 0014 0008 000B 0013 001D 000D 000B 0006 0007
0004 0010 000B 0006 0013 002B 0018 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0013 001D 000D 000B 0006
0004 0015 0008 000B 0024 0011 0021 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 0009 0011 0014 0008 000B
0004 001E 0007 0017 0011 0020 0007 0008 0009 000A 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 000C 000D 000B 0006 000C 0011 000F 0006 0007 0008
0004 0005 0006 0016 0010 000B 0024 0025 0016 0005 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0016 0015 0008 0009 0011 0014 0008 000B 0006 0007
0004 0010 000B 000E 001D 000D 0013 0020 0004 0010 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 0004 001E 000C 0011 000F 0006 0007 0008 000B 0006
0028 0015 0008 000B 0013 001D 000D 0009 001F 0014 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 000E 000F 0013 001D 0019 002C 001B 001C 0019 001A
002A 001E 000C 000D 000B 0013 001D 0011 000F 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 000B 0006 0007 0008 0009 0022 0002 0002 0002 0002 0002 0002
0004 0005 0013 0014 0008 0009 0011 0014 0008 000B 0006 000C 0019 001A 000A 0007 0008 0009 001B 001C 000D 000B 0006 0007 0013 0012 000A 0007 0008 000B 0006 0007
0004 0010 000B 0006 000C 0011 000F 0006 0007 0017 001A 0022 0002 0023 000F 0006 0007 0029 0002 0023 001D 000D 000B 0006 0007 0013 0012 000A 0007 0008 000B 0006
0004 0015 0008 0009 0011 0014 0008 000B 0024 0022 0023 0012 000A 0007 0008 000B 0006 0007 0008 0009 0011 001D 000D 000B 0006 0007 0013 0012 000A 0007 0008 000B
0004 001E 0007 0016 0005 0006 0007 0017 0011 0020 0007 0013 0012 000A 000C 000D 000B 0006 000C 0011 000F 0013 001D 000D 000B 0006 0007 0016 0005 0006 0007 0008
0004 0005 0006 0004 0010 000B 0006 0013 0021 000B 0006 0007 0016 0005 0013 0014 0017 0018 0016 0015 0008 000B 0013 001D 000D 000B 0006 000E 0021 000B 0006 0007
0004 0010 000B 000E 001D 000D 000B 0006 0007 0017 0018 0006 0004 0010 000B 0006 0013 0021 0004 001E 000C 000D 000B 0013 001D 0019 001A 000A 0007 0008 000B 0006
0004 0015 0008 000B 0013 001D 0019 001A 001B 0011 002B 001A 001F 001D 0019 001A 001B 001C 001F 000F 0013 0014 0008 000B 0029 0002 0023 000F 0006 0007 0008 000B
