ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-063.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 800
UNIQUE_PIXEL_TILES: 117
CONNECTED_OBJECT_GROUPS: 27

0020 0021 0022 0023 0024 0000 0000 0000 0000 0000 0000 0000 0000 0025 0026 0027 0000 0028 0029 002A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 002B 002C
0040 0041 0042 0043 0044 0000 0000 0000 0000 0000 0000 0000 0000 0045 0046 0047 0000 0048 0049 004A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 004B 004C
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 002D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0032 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0033 0000 0000 0000 0000 0000 004E 004F 0050 0000 0000 0000 0035 0036 0037 0000 0000 0000 0000 0000 0000 0052 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0053 0000 0000 0000 0000 0000 006E 006F 0070 0071 0000 0054 0055 0056 0057 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 008D 008E 0000 0000 0000 0000 0000 0000 0000 0077 0078 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0039 003A 003B 0000 0000 0000 0000 0000 0000 0000 0000 00AD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0098 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0059 005A 005B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 003C 003D
0079 007A 007B 0000 0000 0000 0000 0000 0000 0000 0000 00C7 00C8 00C9 0000 0000 0000 0000 0000 00CA 00CB 00CC 0000 0000 0000 0000 0000 0000 0000 0000 005C 005D
0099 009A 009B 0000 0000 0000 0000 0000 0000 0000 0000 00E7 00E8 00E9 0000 00D4 00D5 00D6 0000 00EA 00EB 00EC 0000 0000 00EF 00F0 00F1 0000 0000 0000 007C 007D
00B9 0000 0000 0000 0000 0000 0000 0000 0000 0105 0106 0107 0000 0000 0000 00F4 00F5 00F6 0000 0000 0000 010C 010D 010E 010F 0110 0111 0000 0000 0000 009C 009D
0000 0000 0000 0000 0000 0121 0000 0000 0000 0125 0126 0127 0000 0000 0000 0000 0000 0000 0000 0000 0000 012C 012D 012E 0000 0000 0000 0132 0000 0000 0000 0000
