ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-069.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 2080
UNIQUE_PIXEL_TILES: 214
CONNECTED_OBJECT_GROUPS: 19

0020 0021 0022 0023 0024 0000 0000 002F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 042E 042F 0430 0431 0432 0433 0434 0435 0436 0437
0040 0041 0042 0043 0044 0045 0000 004F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 044E 044F 0450 0451 0452 0453 0454 0455 0456 0457
0060 0061 0062 0000 0000 0000 0000 006F 0000 0000 0000 0463 0464 0465 0466 0467 0468 0469 046A 046B 046C 046D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0080 0081 0082 0083 0084 0085 0000 008F 0000 0000 0000 0483 0484 0485 0486 0487 0488 0489 048A 048B 048C 048D 0000 0000 0000 0000 0492 0493 0494 0000 0000 0000
00A0 00A1 00A2 00A3 00A4 00A5 0000 00AF 0000 0000 0000 04A3 04A4 04A5 04A6 04A7 04A8 04A9 04AA 04AB 04AC 04AD 04AE 04AF 04B0 0000 04B2 04B3 04B4 04B5 04B6 04B7
00C0 00C1 00C2 0000 0000 0000 0000 00CF 0000 0000 0000 04C3 04C4 04C5 04C6 04C7 04C8 04C9 04CA 04CB 04CC 04CD 04CE 04CF 04D0 0000 0000 0000 0000 04D5 04D6 04D7
00E0 00E1 00E2 0000 0000 0000 0000 0000 0000 0000 0000 04E3 04E4 04E5 04E6 04E7 04E8 04E9 04EA 04EB 04EC 04ED 0000 0000 04F0 04F1 04F2 04F3 04F4 04F5 0000 0000
0100 0101 0102 0000 0438 0439 043A 0000 0000 0000 0502 0503 0504 0505 0000 0507 0000 0509 0000 050B 050C 050D 0000 0000 0510 0511 0512 0513 0514 0515 0000 0000
0120 0121 0122 0000 0458 0459 045A 0000 0000 0000 0000 0523 0524 0525 0000 0527 0000 0529 0000 052B 052C 052D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0140 0141 0142 0000 0000 0000 0000 0000 0000 0000 0000 0543 0000 0545 0546 0547 0000 0549 054A 054B 0000 054D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0160 0161 0162 0000 043B 043C 043D 0000 0000 0000 0000 0563 0000 0565 0566 0567 0000 0569 056A 056B 0000 056D 056E 056F 0570 0000 0000 0000 0000 0000 0000 0000
0180 0181 0182 0000 045B 045C 045D 0000 0000 0000 0000 0583 0000 0585 0586 0587 0000 0589 058A 058B 0000 058D 0000 0000 0590 0000 0000 0000 0000 0000 0000 0000
01A0 01A1 01A2 0000 0000 0000 0000 0000 05A0 05A1 05A2 05A3 0000 05A5 05A6 05A7 0000 05A9 05AA 05AB 0000 05AD 0000 0000 05B0 0000 0000 0000 0000 0000 0000 043F
01C0 01C1 01C2 0000 0620 0621 0622 0000 05C0 05C1 05C2 05C3 0000 05C5 0000 05C7 0000 05C9 0000 05CB 0000 05CD 0000 0000 05D0 0000 0000 0000 0000 0000 045E 045F
01E0 01E1 01E2 0000 0640 0641 0642 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 05F0 0000 05F2 05F3 0000 0000 0000 0000
