ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-070.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1216
UNIQUE_PIXEL_TILES: 153
CONNECTED_OBJECT_GROUPS: 17

0020 0021 0022 0000 0000 0023 0024 0025 0000 0000 0000 0000 0000 0000 0026 0027 0028 0000 0000 0000 0000 0000 0000 0000 0000 0000 0029 002A 002B 002C 002D 002E
0040 0041 0042 0000 0000 0043 0044 0045 0000 0000 0000 0000 0000 0000 0046 0047 0048 0000 0000 0000 0000 0000 0000 0000 0000 0000 0049 004A 004B 004C 004D 004E
0060 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 006D 006E
0080 0081 0082 0000 0100 0101 0102 0103 0104 0105 0106 0107 0108 0109 010A 010B 010C 010D 010E 010F 0110 0111 0112 0113 0114 0115 0116 0117 0118 0000 008D 008E
00A0 00A1 00A2 0000 0120 0121 0000 0000 0000 0000 0000 0127 0000 0000 012A 012B 012C 0000 0000 0000 0130 0000 0000 0133 0134 0135 0000 0137 0138 0000 00AD 00AE
00C0 00C1 00C2 0000 0140 0141 0000 0000 0000 0000 0000 0147 0000 0000 014A 014B 014C 0000 0000 0000 0000 0000 0000 0153 0154 0155 0000 0157 0158 0000 0000 0000
00E0 00E1 00E2 0000 0160 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0178 0000 0000 0000
0000 0000 0000 0000 0180 0181 0182 0183 0184 0185 0186 0187 0188 0189 018A 018B 018C 018D 018E 018F 0190 0191 0192 0193 0194 0195 0196 0197 0198 0000 0000 0000
0119 0000 0000 0000 01A0 01A1 01A2 01A3 01A4 01A5 0000 0000 0000 0000 0000 01AB 01AC 01AD 01AE 0000 0000 0000 0000 01B3 01B4 01B5 01B6 01B7 01B8 0000 011C 011D
0139 0000 0000 0000 01C0 0000 0000 01C3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D5 0000 0000 01D8 0000 013C 013D
0159 015A 015B 0000 01E0 0000 0000 01E3 0000 0000 01E6 01E7 01E8 01E9 01EA 01EB 01EC 01ED 01EE 01EF 01F0 01F1 01F2 0000 0000 01F5 0000 0000 01F8 0000 0000 0000
