ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-075.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 832
UNIQUE_PIXEL_TILES: 126
CONNECTED_OBJECT_GROUPS: 26

0020 0021 0022 0023 0000 0025 0026 0027 0028 0029 0000 002A 002B 002C 002D 0000 0000 0000 0000 0000 0000 002E 002F 0030 0031 0032 0033 0000 0000 0000 0035 0036
0040 0041 0042 0043 0044 0045 0046 0047 0048 0049 0000 004A 004B 004C 004D 0000 0000 0000 0000 0000 0000 004E 004F 0050 0051 0052 0053 0054 0000 0000 0055 0056
0000 0000 0000 0063 0064 0065 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0083 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00A3 0000 0000 0000 0000 0000 00A9 00AA 00AB 00AC 00AD 00AE 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00C0 00C1 00C2 0000 0000 00C5 00C6 00C7 0000 00C9 00CA 00CB 00CC 00CD 00CE 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00E0 00E1 00E2 00E3 00E4 00E5 00E6 00E7 00E8 00E9 0000 0000 0000 0000 0000 0000 0000 0000 0000
00AF 0000 0000 00B1 00B2 00B3 0000 0000 0000 0000 0000 0000 0000 0100 0101 0102 0103 0104 0105 0106 0107 0108 0109 0000 0000 0000 0000 0000 0000 0000 00B4 00B5
00CF 0000 0000 00D1 00D2 00D3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0122 0123 0124 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D4 00D5
0000 0000 0000 00F1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0142 0143 0144 0000 0000 0000 0000 0000 00B6 00B7 00B8 0000 0000 0000 0000 00F4 0000
0000 0000 0110 0111 0112 0000 0000 0000 0000 0000 0000 0000 0000 0160 0161 0162 0000 0000 0000 0000 0000 0000 0000 00D6 00D7 00D8 0000 0000 0000 0000 0000 0000
0000 0000 0130 0131 0132 0000 0000 0000 0000 0000 0000 0000 0000 0180 0181 0182 0000 0000 0000 0000 0000 0000 0000 0000 00F7 00F8 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00B9 00BA 00BB 00BC 0000 0000 0000 00BD 00BE 00BF 0000 0000 0000 0000 0000 0000 01A0 01A1 01A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00D9 00DA 00DB 00DC 0000 0000 0000 00DD 00DE 00DF 0000 0000 0000 0000 0000 0000 01C0 01C1 01C2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 00FE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A8 01A9 0000 0000 0000 0000 0000 0000 0000 01AD 01AE 01AF 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C3 01C4 01C5 01C6 01C7 01C8 01C9 01CA 01CB 01CC 0000 0000 0000 0000 01CD 01CE 01CF 01D0 0000 0000 0000
0000 01B1 01B2 01B3 0000 0000 0000 0000 0000 0000 0000 01E3 01E4 01E5 01E6 01E7 01E8 01E9 01EA 01EB 01EC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 01D1 01D2 01D3 01D4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 01F2 01F3 01F4 0000 0000 0000 0000 01B5 01B6 01B7 0000 0000 0000 0000 0221 0222 0223 0000 0000 0000 0000 0000 022C 022D 022E 022F 0000 0000 0000 0000
0230 0000 0000 0000 0000 0000 0000 0000 0000 01D5 01D6 01D7 0000 0000 0000 0000 0241 0242 0243 0000 0000 0000 0000 0000 0000 024D 024E 024F 0000 0233 0234 0235
0250 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01F7 01F8 01F9 0000 0260 0261 0262 0000 0000 0265 0266 0267 0000 0000 0000 0000 0000 0000 0253 0254 0255
0270 0271 0272 0000 0000 0000 0000 0000 0000 0000 0000 0217 0218 0219 0000 0280 0281 0282 0283 0000 0285 0286 0287 0000 0000 0000 0000 0000 0000 0273 0274 0275
0290 0291 0292 0000 0000 0000 0236 0237 0238 0000 0000 0000 0000 0000 0000 0000 02A1 02A2 02A3 0000 0000 0000 02A7 02A8 02A9 02AA 02AB 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0256 0257 0258 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C4 02C5 02C6 02C7 02C8 02C9 02CA 02CB 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0279 027A 027B 0000 0000 0000 0000 0000 0000 0000 02E4 02E5 02E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 023C 023D 0000 0000 0299 029A 029B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
023E 023F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0300 0301 0302 0303 0304 0305 0306 0307 0308 0000 030A 030B 030C 030D 030E 030F 0310 0311 0312 0000 0000 0000 0313 0314 0315 0316 0317 0318 0319 031A 031B 0000
0320 0321 0322 0323 0324 0325 0326 0327 0328 0329 032A 032B 032C 032D 032E 032F 0330 0331 0332 0000 031C 0000 0333 0334 0335 0336 0337 0338 0339 033A 033B 0000
