ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-080.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1568
UNIQUE_PIXEL_TILES: 227
CONNECTED_OBJECT_GROUPS: 11

0000 0020 0021 0022 0000 0000 0000 0023 0024 0025 0026 0027 0028 0029 002A 002B 002C 0000 0000 0000 0074 0075 0076 0000 0000 0000 0000 0000 0462 0463 0464 0465
0000 0040 0041 0042 0000 0000 0000 0043 0044 0045 0046 0047 0048 0049 004A 004B 004C 004D 0000 0000 0094 0095 0096 0000 0000 0000 0000 0000 0482 0483 0484 0485
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B4 00B5 00B6 0000 0000 0000 0000 0000 04A2 04A3 04A4 0000
0000 0000 0000 0466 0000 0467 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D4 00D5 00D6 0000 0000 0000 0000 0000 04C2 04C3 04C4 0000
0468 0000 0000 0486 0000 0487 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F4 00F5 00F6 0000 0000 0000 0000 0000 04E2 04E3 04E4 04E5
0488 0000 0000 0000 0000 0000 0000 0107 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0114 0115 0116 0000 0000 0000 0500 0501 0502 0503 0504 0505
04A8 0000 0000 0000 0000 0000 0000 0127 0128 0129 012A 012B 012C 012D 012E 012F 0000 0000 0000 0000 0134 0135 0136 0000 0000 0000 0520 0521 0522 0000 0524 0525
0000 0000 0000 0000 0000 0000 0000 0000 0148 0149 014A 014B 014C 014D 014E 014F 0000 0000 0000 0000 0154 0155 0156 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 016A 016B 016C 016D 016E 016F 0170 0171 0172 0173 0174 0175 0176 0177 0178 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0469 046A 046B 046C 046D 0000 018A 018B 018C 018D 0000 0000 0000 0000 0000 0000 0000 0195 0196 0197 0198 0199 019A 0000 0000 0000 0000 0000
0000 0000 0000 0000 0489 048A 048B 048C 048D 0000 01AA 01AB 01AC 0000 0000 0000 0000 0000 0000 01B3 01B4 01B5 01B6 01B7 01B8 01B9 01BA 0000 0000 0000 0000 0000
