ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-082.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 992
UNIQUE_PIXEL_TILES: 126
CONNECTED_OBJECT_GROUPS: 13

0000 0000 0021 0022 0023 0024 0025 0000 0000 0000 0000 0000 0000 0000 0000 0000 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0036 0037 0038 0039 003A
0000 0040 0041 0042 0043 0044 0045 0000 0000 0000 0000 0000 0000 0000 0000 0000 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0055 0056 0057 0058 0059 005A
0000 0060 0061 0062 0063 0064 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0081 0082 0083 0084 0085 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0180 0181 0182 0000 0184 0185 0186
0000 0000 0000 00A2 00A3 00A4 00A5 00A6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A0 01A1 01A2 0000 01A4 01A5 01A6
0000 0000 0000 0000 00C3 00C4 00C5 00C6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C2 01C3 01C4 0000 0000
0000 0000 0000 0000 0000 00E4 0000 00E6 00E7 00E8 00E9 0000 0000 0000 0188 0189 018A 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E1 01E2 01E3 01E4 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0107 0108 0109 0000 0000 01A7 01A8 01A9 01AA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0201 0202 0203 0204 0205 0206
0000 0000 0000 0000 0000 0000 0000 0126 0127 0128 0000 0000 0000 01C7 01C8 01C9 0000 0000 0000 0000 0000 018C 018D 018E 0000 0000 0000 0000 0000 0224 0225 0226
0000 0000 0000 0000 0000 0000 0000 0146 0147 0148 0149 0000 0000 0000 0000 0000 0000 0000 0000 0000 01AB 01AC 01AD 01AE 01AF 01B0 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0167 0168 0169 016A 0000 0000 0000 0000 0000 0000 0000 0000 01CB 01CC 01CD 01CE 01CF 01D0 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01EC 01ED 01EE 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0191 0192 0193 0000 0000 0000 0000 0000 0000 020B 020C 020D 020E 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B1 01B2 01B3 01B4 0000 0000 0000 0000 0000 022B 022C 022D 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D2 01D3 01D4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0195 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0196 0197 0198 0199 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B6 01B7 01B8 01B9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 019B 019C 019D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01BA 01BB 01BC 01BD 0000 0000 0000 0000 0000 0240 0241 0242 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01DA 01DB 01DC 0000 0000 0000 0000 0000 0000 0260 0261 0262 0263 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0281 0282 0283 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 024D 024E 024F 0250 0251 0252 0000 0000 0000 0000 0000 0000 02A0 02A1 02A2 02A3 02A4 02A5 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 026C 026D 026E 026F 0270 0271 0272 0000 0000 0000 0000 0000 0000 02C0 02C1 02C2 02C3 02C4 02C5 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 028C 028D 028E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E2 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 02AB 0000 02AD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0253 0254 0255 0000 0000 0000
0000 0000 0000 0000 0000 02CA 02CB 02CC 02CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0273 0274 0275 0276 0000 0000
0000 0000 0000 0000 02E9 02EA 02EB 02EC 02ED 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0294 0295 0296 0000 0000
0000 0000 0000 0308 0309 030A 030B 030C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02B6 02B7 02B8
0000 0000 0327 0328 0329 032A 032B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02D6 02D7 02D8
0000 0346 0347 0348 0349 034A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
