ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-088.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1664
UNIQUE_PIXEL_TILES: 228
CONNECTED_OBJECT_GROUPS: 18

0000 0000 0000 0000 0020 0021 0022 0023 0024 0000 0025 0000 0000 0000 0000 0000 0032 0033 0034 0035 0036 0000 0039 003A 003B 0000 02A0 02A1 02A2 0000 0000 0000
0000 02A6 0000 0000 0040 0041 0042 0043 0044 0000 0045 0000 0000 0000 0000 0000 0052 0053 0054 0055 0056 0000 0059 005A 005B 0000 02C0 02C1 02C2 02C3 02C4 02C5
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0074 0075 0076 0000 0000 0000 0000 0000 0000 0000 0000 02E3 02E4 02E5
02A7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0092 0093 0094 0095 0096 0000 0000 0000 0000 0000 0000 0000 0000 0000 0304 0305
02C7 0000 02AA 02AB 02AC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B2 00B3 00B4 00B5 00B6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0324 0325
0000 0000 02CA 02CB 02CC 02CD 02CE 0000 0000 0000 0000 0000 00CE 00CF 00D0 00D1 00D2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
02E8 0000 02EA 02EB 02EC 02ED 02EE 0000 0000 0000 0000 0000 00EE 00EF 00F0 00F1 00F2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02AF 02B0
0308 0000 030A 030B 030C 0000 0000 0000 010A 010B 010C 010D 010E 0000 0110 0000 0112 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02CF 02D0
0328 0329 032A 0000 0000 0000 0128 0129 012A 012B 012C 012D 012E 0000 0130 0000 0132 0000 0000 0000 0136 0000 0000 0000 0000 0000 0000 0000 0000 0000 02EF 02F0
0348 0349 034A 0000 0000 0000 0148 0149 014A 0000 014C 014D 014E 0000 0150 0000 0152 0000 0000 0000 0156 0157 0000 0000 0000 0000 0000 0000 0000 0000 030F 0310
0368 0369 036A 0000 0000 0000 0000 0000 0000 0000 016C 016D 016E 0000 0170 0000 0172 0000 0000 0000 0000 0177 0178 0000 0000 0000 0000 0000 0000 0000 0000 0000
