ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-089.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1792
UNIQUE_PIXEL_TILES: 188
CONNECTED_OBJECT_GROUPS: 22

0000 0000 0000 0000 0000 0025 0026 0000 0028 0029 002A 0000 0000 0000 0000 014F 0000 0151 0000 0540 0541 0542 0000 0000 0543 0544 0545 0546 0547 0548 0549 0000
0000 0041 0000 0000 0000 0045 0046 0047 0048 0049 004A 0000 0000 0000 0000 016F 0170 0171 0000 0560 0561 0562 0000 0000 0563 0564 0565 0566 0567 0568 0569 0000
0060 0000 0000 0063 0064 0065 0066 0067 0000 0000 0000 0000 0000 018D 018E 018F 0000 0191 0000 0000 0000 0000 0000 0000 0583 0584 0585 0586 0587 0588 0589 058A
0080 0000 0082 0083 0084 0085 0086 0087 0000 0000 0000 0000 01AC 01AD 01AE 01AF 0000 01B1 0000 054B 054C 054D 0000 0000 05A3 05A4 05A5 05A6 05A7 05A8 05A9 05AA
00A0 0000 0000 0000 0000 00A5 00A6 00A7 0000 0000 0000 0000 0000 0000 0000 01CF 0000 01D1 0000 056B 056C 056D 0000 0000 05C3 05C4 05C5 05C6 05C7 05C8 05C9 05CA
00C0 0000 0000 0000 0000 00C5 00C6 00C7 0000 0000 0000 0000 0000 0000 0000 01EF 0000 01F1 0000 0000 0000 0000 0000 0000 05E3 05E4 05E5 05E6 05E7 05E8 05E9 05EA
00E0 00E1 00E2 00E3 00E4 00E5 00E6 00E7 0000 0000 0000 0000 0000 020D 020E 020F 0000 0211 0000 0000 0000 0000 0000 0000 0603 0604 0605 0606 0607 0608 0609 060A
0100 0101 0102 0103 0104 0105 0106 0107 0000 0000 0000 0000 022C 022D 022E 022F 0000 0231 0000 0000 0000 0000 0000 0000 0623 0624 0625 0626 0627 0628 0629 062A
0120 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 024F 0000 0251 0000 0000 0000 0000 0000 0000 0643 0644 0645 0646 0647 0648 0649 064A
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 026F 0000 0271 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 054F 0550 0000 0000 0000 0552 0553 0000 0000 0000 0000 0000 028F 0000 0291 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 056E 056F 0570 0000 0000 0571 0572 0573 0000 0000 0000 02AD 02AE 02AF 0000 02B1 0000 0554 0555 0556 0000 0000 0000 0000 0000 0000 0000 0557 0558 0559
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02CD 02CE 02CF 0000 02D1 0000 0574 0575 0576 0000 0000 0000 0000 0000 0000 0000 0577 0578 0579
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02EF 0000 02F1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0300 0301 0302 0303 0304 0305 0306 0307 0308 0309 030A 030B 030C 030D 030E 030F 0000 0311 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0320 0321 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0330 0331 0332 0333 0334 0335 0336 0337 0338 0339 033A 033B 033C 033D 033E 033F
0340 0341 0342 0343 0344 0345 0346 0347 0348 0349 034A 034B 034C 034D 034E 034F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 035F
0360 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 036E 036F 0000 0371 0372 0373 0374 0375 0376 0377 0378 0379 037A 037B 037C 037D 037E 037F
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 038D 038E 038F 0000 0391 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
055A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03AD 03AE 03AF 0000 03B1 0000 0000 055E 055F 0000 0000 0000 0000 0000 0000 0000 0000 0660 0661
057A 057B 057C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03CD 03CE 03CF 0000 03D1 0000 057D 057E 057F 0000 0000 0000 0000 0000 0000 0000 0000 0680 0681
059A 059B 059C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03ED 03EE 03EF 0000 03F1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0663 0664 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 040D 040E 040F 0000 0411 0000 0000 0000 0000 0000 0000 0000 0000 0682 0683 0684 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 042D 042E 042F 0000 0431 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0667 0668 0669 0000 0000 066A 066B 066C 0000 0000 0000 044D 044E 044F 0000 0451 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0687 0688 0689 0000 0000 068A 068B 068C 0000 0000 0000 046D 046E 046F 0000 0471 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
06A5 06A6 06A7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 048D 048E 048F 0000 0491 0000 0000 0000 066E 066F 0000 0000 0000 0000 0000 0672 0673 0674 0000
06C5 06C6 06C7 0000 0000 0676 0677 0000 0000 0000 0000 0000 0000 04AD 04AE 04AF 0000 04B1 0000 0000 068D 068E 068F 0000 0000 0000 0000 0691 0692 0693 0694 0000
