ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-091.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1184
UNIQUE_PIXEL_TILES: 132
CONNECTED_OBJECT_GROUPS: 32

0020 0000 0000 0000 0000 0000 0000 0026 0027 0028 0029 002A 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0036 0037 0038 0039 0000 0000 0000 003D 003E
0040 0041 0042 0043 0044 0000 0045 0046 0047 0048 0049 004A 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0055 0056 0057 0058 0059 005A 005B 005C 005D 005E
0000 0000 0062 0063 0064 0000 0000 0066 0067 0068 0069 006A 006B 006C 006D 006E 006F 0070 0071 0072 0073 0074 0075 0076 0077 0078 0079 007A 007B 007C 0000 0000
0080 0081 0082 0000 0000 0000 0085 0086 0087 0088 0089 008A 008B 008C 008D 008E 008F 0090 0091 0092 0093 0094 0095 0096 0097 0098 0099 0000 0000 009C 009D 009E
00A0 00A1 00A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00BC 00BD 00BE
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 00C1 00C2 0000 00C3 00C4 00C5 0000 00C6 00C7 00C8 0000 00C9 00CA 00CB 0000 0000 00CD 00CE 0000 0000 0000 0000 0000
0000 00D0 00D1 0000 0000 0000 0000 0000 00E0 00E1 00E2 0000 00E3 00E4 00E5 0000 00E6 00E7 00E8 0000 00E9 00EA 00EB 0000 00EC 00ED 00EE 0000 0000 0000 0000 0000
00EF 00F0 00F1 0000 0000 0000 00D2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
010F 0110 0111 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
012F 0130 0131 0000 0000 0000 00D4 00D5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D7 00D8 0000 0000 0000 00DA
014F 0150 0151 0000 0000 00F3 00F4 00F5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F6 00F7 00F8 0000 0000 00F9 00FA
016F 0170 0171 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00DB 00DC 00DD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0119 011A
018F 0190 0191 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00FB 00FC 00FD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0139 013A
01AF 01B0 01B1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0159 015A
