ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-093.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 2144
UNIQUE_PIXEL_TILES: 170
CONNECTED_OBJECT_GROUPS: 24

0000 0000 0000 0023 0024 0025 0026 0027 0028 0000 0000 002B 002C 002D 002E 002F 0030 0031 0032 0000 0000 0000 0036 0037 0038 0039 0000 003B 0000 003D 003E 0000
0000 0000 0042 0043 0044 0045 0046 0047 0048 0000 0000 004B 004C 004D 004E 004F 0050 0051 0052 0000 0000 0000 0056 0057 0058 0059 0000 005B 005C 005D 005E 0000
0060 0061 0062 0000 0000 0000 0066 0000 0000 0000 0000 0000 0000 006D 0000 0000 0000 0000 0000 0073 0000 0000 0000 0000 0000 0000 007A 0000 0000 0000 007E 007F
0080 0081 0082 0083 0000 0000 0086 0000 0000 02C0 0000 0000 0000 008D 0000 0000 02C1 0000 0000 0093 0000 0000 02C2 0000 0000 0000 009A 0000 0000 009D 009E 009F
00A0 00A1 00A2 0000 0000 0000 00A6 0000 0000 0000 0000 0000 0000 00AD 00AE 0000 0000 0000 00B2 00B3 0000 0000 0000 0000 0000 00B9 00BA 00BB 0000 0000 0000 00BF
00C0 00C1 00C2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CE 0000 0000 0000 00D2 0000 0000 0000 0000 0000 0000 00D9 0000 00DB 0000 0000 0000 00DF
0000 0000 00E2 00E3 00E4 0000 02C9 02CA 02CB 02CC 02CD 0000 0000 0000 00EE 00EF 00F0 00F1 00F2 00F3 00F4 00F5 00F6 00F7 00F8 0000 0000 00FB 00FC 00FD 00FE 00FF
0000 0000 0000 0000 0000 0000 02E9 02EA 02EB 0000 0000 0000 0000 010D 010E 010F 0000 0111 0112 0113 0114 0115 0000 0000 0000 0000 0000 011B 0000 0000 0000 011F
02CE 02CF 02D0 0000 0000 0000 0309 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0133 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 013E 013F
02EE 02EF 02F0 02F1 0000 0000 0329 0000 0000 0000 02D2 0000 0000 014D 0000 0000 02D3 0000 0000 0153 0000 0000 0000 02D4 0000 0000 02DA 0000 0000 015D 015E 015F
0000 0000 0000 0000 0000 0000 0349 0000 0000 0000 0000 0000 0000 016D 0000 0000 0000 0000 0000 0173 0000 0000 0000 0000 0000 0000 02FA 0000 0000 0000 0000 0000
0363 0364 0365 0000 0367 0368 0369 0000 0000 0000 0000 018B 018C 018D 018E 018F 0000 0000 0192 0193 0000 0000 0000 0000 0318 0319 031A 0000 0000 0000 0000 02DE
0383 0384 0385 0000 0387 0388 0389 0000 0000 0000 0000 01AB 01AC 01AD 01AE 01AF 0000 01B1 01B2 01B3 0000 0000 0000 0000 0338 0339 033A 0000 0000 0000 0000 02FE
03A3 03A4 03A5 03A6 03A7 0000 0000 03AA 0000 01C9 01CA 01CB 01CC 0000 0000 01CF 01D0 01D1 0000 0000 0000 0355 0356 0357 0000 0359 035A 0000 031B 031C 031D 031E
