ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-094.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1216
UNIQUE_PIXEL_TILES: 219
CONNECTED_OBJECT_GROUPS: 22

0020 0021 0022 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0036 0000 0000 0000 0000
0040 0041 0042 0000 0000 0045 0046 0047 0000 0000 0000 003C 003D 003E 0000 0000 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0055 0056 0057 0058 0059 0000
0000 0000 0000 0063 0064 0065 0066 0067 0000 0000 005B 005C 005D 005E 0000 0000 0000 0000 006D 006E 006F 0070 0071 0072 0073 0074 0075 0076 0077 0078 0079 007A
0080 0081 0082 0083 0084 0085 0086 0000 0000 0000 0000 007C 007D 007E 0000 0000 0000 0000 008D 008E 008F 0090 0091 0092 0093 0094 0095 0096 0097 0098 0099 009A
00A0 00A1 00A2 00A3 00A4 00A5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B8 00B9 00BA
00C0 0000 00C2 00C3 00C4 00C5 00C6 00C7 0000 0000 01C0 01C1 01C2 0000 0000 0000 0000 0000 0000 0000 0000 0000 01CB 01CC 01CD 0000 0000 0000 0000 00D8 00D9 00DA
00E0 0000 0000 0000 0000 00E5 00E6 00E7 0000 0000 01E0 01E1 01E2 01E3 01E4 01E5 01E6 0000 0000 0000 0000 01EA 01EB 01EC 01ED 0000 0000 0000 0000 0000 00F9 00FA
0000 0000 0000 0000 0000 0105 0106 0107 0000 0000 0000 0201 0202 0203 0204 0205 0206 0000 0000 0000 0000 020A 020B 020C 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0125 0126 0127 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0227 0228 0229 0000 0000 0000 0000 0000 01CE 01CF 01D0 0000 0000 0000
0000 0000 0000 0000 0144 0145 0146 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0247 0248 0249 0000 0000 0000 0000 0000 01EE 01EF 01F0 0000 0000 0000
0000 0000 0000 0000 0164 0165 0166 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0185 0186 0187 0188 0189 018A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D1 01D2 01D3 0000 0000 0000
0000 0000 0000 0000 0000 01A5 01A6 01A7 01A8 01A9 01AA 0000 0000 0000 026A 026B 026C 0000 0000 0000 026D 026E 026F 0000 0000 0000 01F1 01F2 01F3 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 028A 028B 028C 0000 0000 0000 028D 028E 028F 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 02A0 02A1 02A2 0000 0000 0000 0000 0000 02A8 02A9 02AA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
