ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-098.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1696
UNIQUE_PIXEL_TILES: 191
CONNECTED_OBJECT_GROUPS: 25

0020 0021 0022 0023 0024 0025 0026 0027 0028 0029 0000 0000 002C 002D 002E 002F 0030 0000 0180 0181 0182 0000 0000 0185 0186 0187 0188 0189 018A 0000 0000 018C
0040 0041 0042 0043 0044 0045 0046 0047 0048 0049 0000 004B 004C 004D 004E 004F 0050 0000 01A0 01A1 01A2 01A3 01A4 01A5 01A6 01A7 01A8 01A9 01AA 01AB 0000 01AC
0000 0000 0062 0063 0064 0065 0066 0067 0068 0069 006A 006B 0000 0000 0000 0000 0000 0000 0000 01C1 01C2 01C3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0082 0083 0084 0085 0086 0087 0088 0089 008A 008B 0000 008D 008E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0193 0194 0195 0000
00A0 0000 00A2 00A3 00A4 00A5 00A6 00A7 0000 0000 0000 0000 00AC 00AD 00AE 0000 0000 0000 0000 0000 0000 0000 01AD 01AE 01AF 0000 0000 0000 01B3 01B4 01B5 01B6
00C0 0000 00C2 00C3 00C4 00C5 00C6 00C7 0000 0000 0000 0000 0000 0000 0000 00CF 00D0 00D1 00D2 00D3 00D4 0000 01CD 01CE 01CF 01D0 01D1 01D2 0000 0000 01D5 01D6
0000 00E1 00E2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EF 00F0 00F1 00F2 00F3 00F4 0000 0000 0000 0000 01F0 01F1 01F2 01F3 0000 0000 0000
0100 0101 0102 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0211 0212 0213 0214 0215 0000
0000 0000 0122 0123 0124 0000 0000 0000 0000 0000 0000 0000 0000 02C2 02C3 0000 02C5 02C6 0000 02C8 02C9 0000 0000 022E 022F 0230 0000 0000 0233 0234 0235 0000
0000 0000 0142 0143 0144 0145 0000 0000 0000 02CB 0000 0000 02E1 02E2 02E3 02E4 02E5 02E6 02E7 02E8 02E9 0000 0000 024E 024F 0250 0000 0000 0000 0000 0000 0000
0000 0000 0000 0163 0164 0165 0000 0000 0000 02EB 0000 0300 0301 0302 0000 0000 0000 0000 0000 0308 0309 030A 0000 0000 0000 0270 0271 0272 0000 0000 0000 0000
