ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-104.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1376
UNIQUE_PIXEL_TILES: 222
CONNECTED_OBJECT_GROUPS: 27

0020 0021 0022 0023 0024 0000 0000 0000 0000 0000 0000 0000 002C 002D 002E 0000 0000 0000 0000 0000 0000 0000 0000 0030 0031 0032 0000 0033 0034 0035 0000 0037
0040 0041 0042 0043 0044 0000 0000 0000 0000 0000 0000 0000 004C 004D 004E 0000 0000 0000 003A 003B 003C 0000 004F 0050 0051 0052 0000 0053 0054 0055 0056 0057
0060 0061 0062 0063 0064 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 005A 005B 005C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0080 0081 0082 0083 0084 0085 0086 0087 0088 0000 0000 0000 0000 0000 0000 0000 0078 0079 007A 0000 0000 007D 007E 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A0 00A1 00A2 00A3 00A4 00A5 00A6 00A7 00A8 0000 0000 0000 0000 0000 0000 0000 0098 0099 009A 009B 009C 009D 009E 0000 0000 0000 0000 0000 0000 0000 0000 0000
00C0 00C1 00C2 00C3 00C4 00C5 00C6 00C7 0000 0000 01C0 01C1 01C2 0000 0000 0000 0000 00B9 00BA 00BB 00BC 0000 0000 0000 0000 0000 01C3 01C4 01C5 0000 0000 0000
00E0 00E1 00E2 00E3 00E4 00E5 00E6 00E7 00E8 0000 01E0 01E1 01E2 0000 0000 0000 0000 00D9 00DA 00DB 00DC 0000 0000 0000 0000 0000 01E3 01E4 01E5 0000 01C6 01C7
0100 0101 0102 0103 0104 0105 0106 0107 0108 0000 0000 0000 0000 0000 0000 0000 00F8 00F9 00FA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E6 01E7
0120 0121 0122 0123 0124 0125 0126 0127 0128 0000 0000 0000 0000 0000 0000 0000 0118 0119 011A 0000 0000 0000 0000 0000 01C8 01C9 01CA 0000 0000 0000 0000 0000
0140 0141 0142 0143 0144 0145 0146 0147 0148 0000 014A 014B 0000 01D1 0000 0000 0000 0000 0000 0000 01D4 01D5 0000 0000 01E8 01E9 01EA 01EB 01EC 01ED 0000 0000
0160 0161 0162 0163 0164 0165 0166 0167 0168 0169 016A 016B 0000 01F1 0000 0000 0000 0000 0000 01F3 01F4 01F5 0000 0000 0000 0000 0000 020B 020C 020D 0000 0000
0000 0181 0182 0183 0184 0185 0186 0187 0000 0000 0000 0000 0000 0211 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 022D 022E 022F
0000 01A1 01A2 01A3 01A4 01A5 01A6 01A7 0000 0000 0000 0000 0230 0231 0232 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 024A 024B 024C 024D 024E 024F
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0250 0251 0252 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 026A 026B 026C 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D6 0000 0000 0000 0000 0000 0000 0000 0000 0000 028B 028C 028D 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02CA 02CB 0000 0000 0000 0000 0000 01F6 0000 0000 0000 0000 0000 0000 0000 0000 0000 02AB 02AC 02AD 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 02E9 02EA 02EB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02CC 02CD 02CE 0000 0000 0000 0000 0000 0000
0300 0301 0302 0303 0304 0305 0306 0307 0308 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02EC 02ED 02EE 0000 02CF 02D0 02D1 02D2 02D3
0320 0321 0322 0323 0324 0325 0326 0327 0328 0000 0000 0000 0000 02D4 0000 0000 02D6 02D7 02D8 0000 02D9 0000 0000 0000 0000 0000 0000 02EF 02F0 02F1 02F2 02F3
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02F4 0000 0000 02F6 02F7 02F8 0000 0000 02FA 02FB 02FC 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0345 0346 0347 0348 0000 0000 0000 0315 0000 0000 0000 0000 0000 031A 031B 031C 0000 0000 0000 0351 0352 0353 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0365 0366 0367 0368 0000 0000 0000 0335 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0371 0372 0373 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0386 0387 0000 0000 0000 0000 0000 0000 0356 0000 0000 0000 0000 0000 0000 0000 0000 0000 0391 0392 0393 0000 0000
0000 0000 0000 03A0 03A1 03A2 03A3 03A4 03A5 0000 0000 0000 0000 0000 0000 0000 0000 0376 0000 0000 0000 0000 0000 0000 0000 0000 0000 03B1 03B2 03B3 03B4 03B5
0000 0000 0000 0000 0000 03C2 03C3 03C4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0358 0359 035A 035B 0000 03CE 03CF 03D0 03D1 03D2 03D3 03D4 03D5
035C 035D 035E 0000 0000 03E2 03E3 03E4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0377 0378 0379 037A 037B 0000 03EE 03EF 03F0 03F1 03F2 0000 0000 0000
037C 037D 037E 0000 0000 0402 0403 0404 0000 0000 0000 0000 0000 0000 04C0 04C1 04C2 0000 0000 0000 0000 0000 0000 0000 040E 040F 0410 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0422 0423 0424 0425 0426 0427 0000 0000 0000 04E0 04E1 04E2 04E3 04E4 04E5 0000 0000 0000 0000 042E 042F 0430 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0445 0446 0447 0000 0000 0000 0000 0000 0000 0503 0504 0505 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0468 0469 046A 0000 0000 0000 0000 0000 0000 0526 0527 0528 0529 052A 052B 0000 0000 0000 04CC 0000 0000
0000 04CD 04CE 04CF 0000 04D0 04D1 04D2 0000 0000 0000 0488 0489 048A 048B 048C 048D 0000 0000 0000 0546 0547 0548 0549 054A 054B 0000 0000 0000 0000 0000 0000
0000 04ED 04EE 04EF 0000 04F0 04F1 04F2 0000 0000 0000 0000 0000 0000 04AB 04AC 04AD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
