ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-112.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 672
UNIQUE_PIXEL_TILES: 123
CONNECTED_OBJECT_GROUPS: 21

0000 0021 0022 0023 0024 0025 0026 0027 0028 0029 002A 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0036 0037 0038 0039 003A 003B 003C 0000 0000 0000
0040 0041 0042 0043 0044 0045 0046 0047 0048 0049 004A 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0055 0056 0057 0058 0059 005A 005B 005C 005D 0000 0000
0060 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 007E 007F
0080 0000 0000 0000 0000 00C1 00C2 0000 0000 00C4 00C5 00C6 00C7 00C8 0000 00CA 00CB 0000 0000 00CD 00CE 0000 0000 00D0 00D1 0000 0000 00D3 00D4 0000 009E 009F
00A0 0000 0000 0000 00E0 00E1 00E2 0000 00E3 00E4 00E5 00E6 00E7 00E8 00E9 00EA 00EB 0000 00EC 00ED 00EE 0000 00EF 00F0 00F1 0000 00F2 00F3 00F4 0000 00BE 00BF
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0106 0107 0108 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0126 0127 0128 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D5 00D6 00D7 0000
00D8 00D9 00DA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F5 00F6 00F7 0000
00F8 00F9 00FA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00DB 00DC 00DD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0118 0119 011A 0000 0000 0000 0000 0000 0180 0181 0182 0000 0000 0000 0000 0000 0000 00FB 00FC 00FD 0000 0000 0000 0000 0000 0000 0000 0000 0183 0184 0185 0000
0138 0139 013A 0000 0000 0000 0000 0000 01A0 01A1 01A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A3 01A4 01A5 0000
0158 0159 015A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0178 0179 017A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0186 0187 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A6 01A7 01A8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C6 01C7 01C8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0189 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E6 01E7 01E8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
018A 018B 018C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01AA 01AB 01AC 0000 0000 0000 0000 0000 018D 018E 018F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01CA 01CB 01CC 0000 0000 0000 0000 0000 01AD 01AE 01AF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
