ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-02.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 800
UNIQUE_PIXEL_TILES: 62
CONNECTED_OBJECT_GROUPS: 31

0020 0000 0000 0021 0022 0023 0024 0025 0000 0000 0000 002F 0030 0031 0000 0000 0000 0000 0000 0035 0036 0037 0000 0000 0000 0000 0000 0000 0000 0000 0038 0039
0040 0000 0000 0041 0042 0043 0044 0045 0000 0000 0000 004F 0050 0051 0000 0000 0000 0000 0000 0055 0056 0057 0000 0000 0000 0000 0000 0000 0000 0000 0058 0059
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0072 0073 0074 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0092 0093 0094 0000 0000 0000 0000 003A 003B 003C 0000 0000 0000 003D 003E 003F 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 00AC 00AD 00AE 00AF 00B0 00B1 0000 0000 0000 0000 0000 0000 0000 005A 005B 005C 0000 0000 0000 005D 005E 005F 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 00CC 00CD 00CE 00CF 00D0 00D1 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 00E9 00EA 00EB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0167 0168 0169 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0109 010A 010B 0000 0000 0000 0000 0000 0000 0000 0180 0181 0182 0000 0000 0185 0186 0187 0188 0189 0000 016A 016B 016C 0000 0000 0000
0000 0000 0126 0127 0128 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A0 01A1 01A2 01A3 01A4 01A5 01A6 01A7 0000 0000 0000 018A 018B 018C 0000 0000 0000
0000 0000 0146 0147 0148 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C2 01C3 01C4 0000 0000 01C7 01C8 01C9 0000 0000 0000 01AC 01AD 01AE 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E7 01E8 01E9 0000 0000 0000 01CC 01CD 01CE 0000
0170 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0171 0172 0173 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01EE 01EF
0190 0000 0000 0000 0000 0179 017A 017B 0000 0000 0000 0000 0191 0192 0193 0000 0000 0000 0000 0000 0000 017C 017D 017E 0000 0000 0000 0000 0000 0000 020E 020F
0000 0000 0000 0000 0000 0199 019A 019B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 019C 019D 019E 0000 0000 0000 0000 0000 0000 0000 0000
