ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: treasure-room-02-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 48

0000 0001 0002 0002 0002 0003 0001 0002 0002 0002 0004 0003 0001 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002
0005 0006 0007 0008 0009 0005 000A 0008 0009 000B 0007 0005 000C 000B 0007 0008 0009 000B 0007 0008 0009 000B 0007 0008 0009 000B 0007 0008 0009 000B 0007 0008
0005 000C 000D 000E 0008 0005 0006 0007 000F 0010 000B 0005 0011 0009 000D 000E 0008 0012 0013 0014 0015 0016 0013 0014 0015 0016 0013 0014 0017 0009 000D 000E
0005 0011 0018 0006 0007 0005 000C 000B 0018 0011 0009 0005 000A 0008 0018 0006 0007 0019 0001 0002 0002 0002 0002 0002 0002 0002 0002 001A 000A 0008 0018 0006
0005 000A 0005 000C 000B 0005 0011 0009 0005 000A 0008 0005 0006 0007 0005 000C 000B 0005 0011 0009 000B 0007 0008 0009 000B 0007 0008 0005 0006 0007 0005 000C
0005 0006 0005 0011 0009 0005 000A 0008 0005 0006 0007 0005 000C 000B 0005 0011 0009 0005 000A 0008 0012 0013 0014 0015 0016 001B 0007 0005 000C 000B 0005 0011
0005 000C 0005 000A 0008 0005 0006 0007 0005 000C 000B 0005 0011 0009 0005 000A 0008 0005 0006 0007 0019 0001 0002 0002 001A 000C 000B 0005 0011 0009 0005 000A
0005 0011 0005 0006 0007 0005 000C 000B 0005 0011 0009 0005 000A 0008 0005 0006 0007 0005 000C 000B 001C 001D 0012 001B 0005 0011 0009 001C 001E 0008 0005 0006
0005 000A 0005 000C 000B 0005 0011 0009 0005 000A 0008 001C 001F 0007 0005 000C 000B 0005 0011 0009 000D 0014 0020 000C 0005 000A 0008 0012 001B 0007 0005 000C
0005 0006 0005 0011 0009 0005 000A 0008 0005 0006 0007 0008 0009 000B 0005 0011 0009 0005 000A 0008 0021 0002 0022 001D 0005 0006 0007 0018 000C 000B 0005 0011
0005 000C 0005 000A 0008 0005 0006 0007 0005 0023 0013 0014 0015 0016 0024 000A 0008 0005 0006 0007 000F 0016 0013 0014 0024 000C 000B 0005 0011 0009 0005 000A
0005 0011 0005 0006 0007 0005 000C 0025 0026 0002 0002 0002 0003 0001 0027 0006 0007 0005 000C 000B 0021 0002 0002 0002 0022 001D 0009 0005 000A 0008 0005 0006
0005 000A 0005 000C 000B 0005 0011 0009 000B 0007 0008 0009 001C 001E 0005 000C 000B 0005 0011 0009 000B 0007 0008 0009 000B 0007 0008 0005 0006 0007 0005 000C
