ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-03.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1600
UNIQUE_PIXEL_TILES: 96
CONNECTED_OBJECT_GROUPS: 23

0000 0000 0020 0021 0022 0023 0024 0000 0000 0000 0027 0028 0029 0000 0000 002A 002B 002C 0000 0000 0000 0000 0000 0000 0000 002D 002E 002F 0000 0037 0038 0039
0000 0000 0040 0041 0042 0043 0044 0000 0000 0000 0047 0048 0049 0000 0000 004A 004B 004C 0000 0000 0000 0000 0000 0000 0000 004D 004E 004F 0000 0057 0058 0059
003A 0000 0000 0000 0000 0000 0000 0000 0065 0066 0067 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0078 0079
005A 005B 005C 0000 0000 0000 0000 0000 0085 0086 0087 0000 0000 0000 0000 0100 0101 0102 0000 0000 0000 0000 0090 0091 0092 0000 0000 0000 0000 0000 0098 0099
007A 007B 007C 0000 010D 010E 010F 0000 0000 0000 0000 0000 0000 0000 0000 0120 0121 0122 0123 0124 0000 0000 00B0 00B1 00B2 0000 0000 0000 00B6 00B7 00B8 0000
0000 0000 0000 0000 012D 012E 012F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0142 0143 0144 0000 0000 0000 0000 0000 00D3 00D4 00D5 00D6 00D7 00D8 0000
0000 0000 0000 0000 0000 014E 014F 0150 0000 0000 0000 0154 0155 0156 0000 0000 0000 0000 0000 0000 0165 0166 0167 0000 0000 00F3 00F4 00F5 0000 0000 0000 0000
0000 016A 016B 016C 0000 016E 016F 0170 0171 0172 0173 0174 0175 0176 0177 0178 0179 0000 0000 0000 0185 0186 0187 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 018A 018B 018C 018D 018E 0000 0000 0191 0192 0193 0000 0000 0000 0197 0198 0199 0000 0000 0000 0000 01A6 01A7 01A8 0000 0000 0000 0000 0000 0000 0000 0000
01A9 01AA 0000 01AC 01AD 01AE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C6 01C7 01C8 0000 0000 02C3 02C4 02C5 0000 0000 02C9
01C9 01CA 0000 0000 0000 0000 0000 0000 02CC 02CD 02CE 0000 02CF 02D0 02D1 02D2 02D3 02D4 0000 0000 0000 0000 0000 0000 0000 0000 02E3 02E4 02E5 0000 0000 02E9
0000 0000 01EB 01EC 01ED 0000 0000 0000 02EC 02ED 02EE 0000 02EF 02F0 02F1 02F2 02F3 02F4 0000 0000 0000 0000 0000 0300 0301 0302 0000 0000 0000 0000 0000 0000
0209 020A 020B 020C 020D 0000 030A 030B 030C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0320 0321 0322 0323 0324 0000 0000 0000 0000
0229 022A 022B 0000 0000 0000 032A 032B 032C 0000 02D5 02D6 02D7 02D8 02D9 02DA 0000 0000 02DB 02DC 02DD 0000 0000 0000 0000 0342 0343 0344 0345 0346 0000 0000
0249 0000 0000 0000 0000 0000 034A 034B 034C 0000 02F5 02F6 02F7 02F8 02F9 02FA 0000 0000 02FB 02FC 02FD 0000 0000 0000 0000 0362 0363 0364 0365 0366 0367 0368
0269 0000 0000 0000 0000 0000 036A 036B 036C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0382 0383 0384 0385 0386 0387 0388
0289 028A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E3 03E4 03E5 0000 03E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03A8
