ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-05.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1408
UNIQUE_PIXEL_TILES: 98
CONNECTED_OBJECT_GROUPS: 28

0020 0021 0022 0000 0000 0000 0000 0025 0026 0027 0000 0000 002A 002B 002C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0037 0038 0039 003A 003B 0000
0040 0041 0042 0000 0000 0000 0000 0045 0046 0047 0048 0049 004A 004B 004C 0000 0000 004F 0050 0051 0000 0000 0054 0055 0056 0000 0057 0058 0059 005A 005B 0000
0000 0000 0000 0000 0000 0063 0064 0065 0000 0000 0068 0069 006A 0000 0000 006D 006E 006F 0070 0071 0000 0000 0074 0075 0076 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0083 0084 0085 0000 0000 0000 0000 0000 0000 0000 008D 008E 008F 0000 0000 0092 0093 0094 0000 0000 0000 0000 0000 0000 0000 0000 0000
003C 0000 0000 0000 0000 0000 0000 0000 00A6 00A7 00A8 0000 00AA 00AB 00AC 0000 0000 0000 0000 0000 00B2 00B3 00B4 0000 0000 0000 0000 0000 0000 0000 003D 003E
005C 0000 0000 0000 0000 0000 0000 0000 00C6 00C7 00C8 0000 00CA 00CB 00CC 0000 0000 0000 0000 0000 0000 00D3 00D4 00D5 0000 0120 0121 0122 0000 0000 005D 005E
0000 0000 0124 0125 0126 0000 0000 00E5 00E6 00E7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F3 00F4 00F5 0000 0140 0141 0142 0143 0000 0000 0000
0000 0000 0144 0145 0146 0147 0000 0105 0106 0107 0000 0000 0000 0000 0000 0128 0129 012A 012B 012C 0000 0000 0000 0000 0000 0000 0161 0162 0163 0000 0000 0000
0000 0000 0000 0165 0166 0167 0000 0000 0000 0000 0000 0000 0000 0000 0000 0148 0149 014A 014B 014C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0132 0133 0134 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0286 0287 0288 0000 028F 0290 0291 0000
0293 0000 0000 0000 0000 0000 0151 0152 0153 0154 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02A3 02A4 02A5 02A6 02A7 02A8 0000 02AF 02B0 02B1 02B2
02B3 0000 0000 0000 0000 0000 0171 0172 0173 0000 0000 0000 0294 0295 0296 0000 0000 0000 02C0 02C1 02C2 02C3 02C4 02C5 0000 0000 0000 0000 0000 0000 02D1 02D2
0000 0000 0000 0000 0000 0000 0000 0192 0193 0194 0000 0000 02B4 02B5 02B6 0000 0000 0000 02E0 02E1 02E2 0000 02E4 02E5 02E6 0000 0000 02EE 02EF 02F0 0000 0000
0000 0000 0000 0297 0298 0299 0000 01B2 01B3 01B4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0302 0303 0304 0305 0306 0000 0000 030E 030F 0310 0000 0000
0000 0000 0000 02B7 02B8 02B9 0000 01D2 01D3 01D4 01D5 01D6 0000 0000 0000 0000 029B 029C 029D 0000 0322 0323 0324 0325 0326 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 01F2 01F3 01F4 01F5 01F6 0000 0000 0000 02BA 02BB 02BC 02BD 0000 0000 0000 0344 0345 0346 0000 0000 0349 034A 034B 0000 0000
0000 0000 0000 0000 0000 0210 0211 0212 0000 0000 0000 0000 0000 0000 0000 02DA 02DB 02DC 0000 0000 0000 0000 0000 0000 0366 0367 0368 0369 036A 036B 0000 0000
03C0 0000 022D 022E 022F 0230 0231 0232 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02FD 02FE 02FF 0000 0000 0000 0386 0387 0388 0000 0000 0000 038C 038D
03E0 0000 024D 024E 024F 0000 0000 0252 0253 0254 0000 0000 0000 0000 0000 0000 0000 0000 031D 031E 031F 0000 0000 0000 0000 0000 0000 0000 0000 0000 03AC 03AD
0000 0000 0000 0000 0000 0000 0000 0272 0273 0274 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03C1 03C2 03C3 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03CB 03CC 03CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03E1 03E2 03E3 0000 0000 0000 0000 0000
03D2 03D3 03D4 0000 0000 0000 0000 0000 0000 0000 0000 03EB 03EC 03ED 0000 03D5 03D6 03D7 03D8 03D9 0000 0000 0000 0000 0000 0000 0000 0000 0501 0502 0503 0000
03F2 03F3 03F4 0000 0000 0000 0000 0000 0408 0409 040A 0000 0000 0000 0000 03F5 03F6 03F7 03F8 03F9 0000 0000 0000 03FD 03FE 03FF 0000 0520 0521 0522 0523 0000
0000 0000 0000 0000 0000 0000 0426 0427 0428 0429 042A 042B 042C 042D 0000 0415 0416 0417 0000 0419 041A 041B 041C 041D 041E 041F 0000 0540 0541 0542 0000 0000
0000 0000 0000 0000 0000 0000 0446 0447 0448 0000 0000 044B 044C 044D 0000 0435 0436 0437 0000 0439 043A 043B 043C 043D 0000 0000 0000 0000 0000 0000 0000 0000
0504 0000 0000 0000 0464 0465 0466 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0505 0506
0524 0000 0000 0000 0484 0485 0486 0487 0488 0489 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0525 0526
0000 0000 0000 0000 0000 0000 0000 04A7 04A8 04A9 04AA 04AB 04AC 04AD 0000 04AF 04B0 04B1 0000 0507 0508 0509 0000 050A 050B 050C 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 04C8 04C9 04CA 04CB 04CC 04CD 04CE 04CF 04D0 04D1 0000 0527 0528 0529 0000 052A 052B 052C 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04ED 04EE 04EF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 054D 054E 054F 0000 0000 0000
0510 0000 0000 0000 0000 0512 0513 0514 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 056D 056E 056F 0000 0515 0516
0530 0531 0000 0000 0000 0532 0533 0534 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0535 0536
