ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-06.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1216
UNIQUE_PIXEL_TILES: 73
CONNECTED_OBJECT_GROUPS: 37

0020 0000 0021 0022 0023 0000 0024 0025 0026 0000 0031 0032 0033 0000 0035 0036 0037 0038 0039 003A 003B 0000 003D 003E 003F 0000 0120 0121 0122 0123 0124 0125
0040 0000 0041 0042 0043 0000 0044 0045 0046 0000 0051 0052 0053 0000 0055 0056 0057 0058 0059 005A 005B 0000 005D 005E 005F 0000 0140 0141 0142 0143 0144 0145
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0073 0074 0075 0000 0000 0000 0000 0000 007B 007C 007D 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0091 0092 0093 0094 0095 0000 0000 0000 0000 0000 009B 009C 009D 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A7 00A8 00A9 00AA 00AB 00AC 0000 00AE 00AF 00B0 00B1 00B2 00B3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00C7 00C8 00C9 00CA 00CB 00CC 0000 00CE 00CF 00D0 0000 0000 0000 0000 0000 0000 0129 012A 012B 0000 0000 0000 0000 012C 012D 012E 0000 012F 0130 0131 0000 0000
00E7 00E8 00E9 0000 0000 0000 00ED 00EE 00EF 0000 0000 0000 0000 0146 0147 0148 0149 014A 014B 0000 0000 0000 0000 014C 014D 014E 0000 014F 0150 0151 0000 0000
0107 0108 0109 0000 0000 0000 010D 010E 010F 0000 0000 0000 0000 0166 0167 0168 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0136 0137 0138 0000 0000 0000 0000 01E0 01E1 01E2 01E3 01E4 01E5 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0156 0157 0158 0000 0000 0000 0000 0200 0201 0202 0203 0204 0205 0000
0000 0000 0000 01E6 01E7 01E8 0000 01EA 01EB 01EC 01ED 01EE 01EF 0000 0000 0000 0174 0175 0176 0000 0178 0179 017A 0000 0000 0000 0000 0000 0223 0224 0225 0000
