ATARI GAUNTLET LEVEL INDEX

TOTAL: 127
NORMAL: 114
DEMO_ATTRACT: 2
TREASURE_ROOMS: 11

FILE                         ID   BANK  POINTER   PACKED  HEADER_00_0D
level-001.txt                  0     0  0382DE      80  65647A000000000000000B5A5B49
level-002.txt                  1     0  03833D      83  65647A0000000000511009A8595A
level-003.txt                  2     0  03839F      85  65647A00000000001013595A0468
level-004.txt                  3     0  038403     131  65647A00000000000321685E5B5A
level-005.txt                  4     0  038495      93  65647A000000000020044F5F686B
level-006.txt                  5     0  038501      97  65647A00000000003103685AA566
level-007.txt                  6     0  038571      78  65647A0000000000102168595A5B
level-008.txt                  7     0  0385CE     175  636C6507370000080098D15D0468
level-009.txt                  8     0  03868C     252  65647A06330201002457687B984A
level-010.txt                  9     0  038797     367  636C650814071B0020455B75178B
level-011.txt                 10     0  038915     410  636C65021F000000113878B52843
level-012.txt                 11     0  038ABE     211  636C65173B0C1F008019684B396A
level-013.txt                 12     0  038BA0     311  61616103380004001444685B39BB
level-014.txt                 13     0  038CE6     197  636C650700071B00142768514B58
level-015.txt                 14     0  038DBA     365  636C650814071B0000135B751704
level-016.txt                 15     0  038F36     372  636C65181B071A092044034E0449
level-017.txt                 16     0  0390B9     372  636C650E2D071A00001768D15B4E
level-018.txt                 17     0  03923C     296  636C6508060715001446689E0984
level-019.txt                 18     0  039373     161  65647A022B071500035268645B9A
level-020.txt                 19     0  039423     219  636C6508040401004124110B68A1
level-021.txt                 20     0  03950D     328  636C65180007140004264B680D06
level-022.txt                 21     0  039664     371  636C650814071B00320A5B681775
level-023.txt                 22     0  0397E6     187  636C650B2C00000002100BD47544
level-024.txt                 23     0  0398B0     221  636C6509140000000002A85B0B59
level-025.txt                 24     0  03999C     313  636C65173B0C1F80746D495A04A8
level-026.txt                 25     0  039AE4     259  636C650A0A00000080500E5E6854
level-027.txt                 26     0  039BF6     289  636C65043601020863A003510461
level-028.txt                 27     0  039D26     253  636C650A34071A00029C0C680B5B
level-029.txt                 28     0  039E32     210  636C650803071A0021DEA85B0C0B
level-030.txt                 29     1  038000     384  636C65070D071A008497110B1768
level-031.txt                 30     1  03818F     367  636C650530071B0004F35B68178B
level-032.txt                 31     2  039972     251  65647A0928000080132F4B685E61
level-033.txt                 32     2  039A7C     394  636C65032400008C844A0378687B
level-034.txt                 33     2  039C15     153  636C65060D0000040000586839B5
level-035.txt                 34     2  039CBD     383  65647A0E230201883419785A5E5D
level-036.txt                 35     2  039E4B     234  636C65173B0C1F8010150BA8395D
level-037.txt                 36     1  03830D     339  636C65002A071A0920A5685BD061
level-038.txt                 37     1  03846F     370  636C65161D071900100868B5040E
level-039.txt                 38     1  0385F0     319  636C65133307170902EC0B512860
level-040.txt                 39     1  03873E     354  636C651012071708505EA1680EB5
level-041.txt                 40     1  0388AF     280  636C650D3B071708047A68B50443
level-042.txt                 41     1  0389D6     158  636C650406071A00505D2862041B
level-043.txt                 42     1  038A83     236  636C65173B0C1F0230150368049B
level-044.txt                 43     1  038B7E     150  65647A000000000051600BA84A75
level-045.txt                 44     1  038C23     371  636C650A36071B0062915B681775
level-046.txt                 45     1  038DA5     217  636C65173B0C1F000000A85A0660
level-047.txt                 46     1  038E8D     289  65647A000000000051030368049A
level-048.txt                 47     1  038FBD     400  65647A0D2F0002813018C3680475
level-049.txt                 48     1  03915C     220  65647A000000000021280B5E0468
level-050.txt                 49     1  039247     149  65647A000000000040155D5A28AA
level-051.txt                 50     3  038000     252  636C65173B0C1F8042F26859A09A
level-052.txt                 51     3  03810B     157  65647A0E0702010811EA5D5A286A
level-053.txt                 52     3  0381B7     337  636C65173B0C1F0071A3B8510459
level-054.txt                 53     3  038317     305  636C650A2102010833FB0D785AA8
level-055.txt                 54     3  038457     303  636C655F1101000002FF685B619E
level-056.txt                 55     3  038595     226  636C65000D0103005440685BA154
level-057.txt                 56     1  0392EB     142  65647A00000000004007A8A7049E
level-058.txt                 57     1  039388     156  65647A0E1D0002000125A8AA6165
level-059.txt                 58     1  039433     189  65647A000000000011000E686A9A
level-060.txt                 59     1  0394FF     272  65647A000000000020760E4B1168
level-061.txt                 60     1  03961E     239  65647A000000000010C111A0685A
level-062.txt                 61     1  03971C     144  65647A0F040002003180A8AA665D
level-063.txt                 62     1  0397BB     198  65647A000000000030066860D95D
level-064.txt                 63     1  039890     242  65647A0000000000236603B50468
level-065.txt                 64     1  039991     190  65647A00000000000369A866A06A
level-066.txt                 65     1  039A5E     222  65647A0232000080114059A85A6A
level-067.txt                 66     1  039B4B     127  65647A0000000002007568596A58
level-068.txt                 67     1  039BD9     250  65647A000000000030405DE09ADF
level-069.txt                 68     1  039CE2     214  65647A00000000004348689F040E
level-070.txt                 69     1  039DC7     166  65647A000000008021130368045D
level-071.txt                 70     1  039E7C     201  65647A0000000080507803B50416
level-072.txt                 71     2  038000     248  636C65173B0C1F001002090C1566
level-073.txt                 72     3  038686     219  65647A103801028020AE0D689C4E
level-074.txt                 73     3  038770     316  636C651421010280424D03510439
level-075.txt                 74     3  0388BB     317  636C65142A0102085219A8940693
level-076.txt                 75     3  038A07     244  65647A1500010280206668CE119B
level-077.txt                 76     3  038B0A     415  636C65152B01020060B078A139BA
level-078.txt                 77     2  038107     209  65647A00000000002023685A045D
level-079.txt                 78     2  0381E7     172  65647A171A000100400568670466
level-080.txt                 79     2  0382A2     208  65647A111100028273015668040D
level-081.txt                 80     2  038381     296  636C65081F0000885376B8DB687B
level-082.txt                 81     2  0384B8     198  65647A0000000000543068D9A0A7
level-083.txt                 82     2  03858D     208  65647A000000000011510AA8616A
level-084.txt                 83     2  03866C     198  65647A00000000002070A85104AA
level-085.txt                 84     2  038741     242  65647A0000000000035259A85D5A
level-086.txt                 85     2  038842     172  65647A000000000060D05A681FD9
level-087.txt                 86     2  0388FD     112  65647A00000000013117A8605A9F
level-088.txt                 87     2  03897C     194  65647A0000000000500A0368045B
level-089.txt                 88     2  038A4D     164  65647A0000000002024D5AA80409
level-090.txt                 89     2  038B00     115  65647A000000000000B0505F0668
level-091.txt                 90     2  038B82     134  65647A0000000000305E5D5A0E68
level-092.txt                 91     2  038C17     243  65647A000000000110570A5A040B
level-093.txt                 92     2  038D19     264  65647A000000008020385975C344
level-094.txt                 93     3  038CB8     257  636C650001000200331268610B9E
level-095.txt                 94     3  038DC8     226  636C65173B0C1F00720168599161
level-096.txt                 95     3  038EB9     230  72657A08140C008243FD7B4E3904
level-097.txt                 96     3  038FAE     172  636C65090C0C008000004D5A3978
level-098.txt                 97     3  039069     432  65647A0E230201883419B85AC65E
level-099.txt                 98     3  039228     190  636C650A3009170833DB0EA83964
level-100.txt                 99     2  038E30     167  65647A000000008010C86859049A
level-101.txt                100     2  038EE6     152  65647A000000000060A76850605F
level-102.txt                101     2  038F8D     184  65647A00000000002033A85A045D
level-103.txt                102     2  039054     173  65647A000000000171535A5B0468
level-104.txt                103     2  039110     227  65647A000000000002920E5E9B6A
level-105.txt                104     2  039202     238  65647A0000000000300A0E0D285E
level-106.txt                105     2  0392FF     176  65647A000000000010579E6A0E04
level-107.txt                106     2  0393BE     316  65647A00000000812446685A585D
level-108.txt                107     2  039509     137  65647A0000000000526F5EAA0428
level-109.txt                108     2  0395A1     133  65647A000000000083A30B5B5AA8
level-110.txt                109     2  039635     191  65647A000000000064F0035E045B
level-111.txt                110     2  039703     180  65647A00000000004066A85E6B9D
level-112.txt                111     2  0397C6     144  65647A0000000000429D0B5A686A
level-113.txt                112     2  039865     150  65647A153500028033005966A168
level-114.txt                113     2  03990A      89  65647A0000000000800E5C5E1A1D
demo-150.txt                 150     3  0392F5      80  65647A000000000020000903686B
demo-151.txt                 151     3  039354     119  65647A000000000010004586494A
treasure-room-01.txt         152     3  0393DA     141  636C65173B0C1F880105A8464500
treasure-room-02.txt         153     3  039476     124  65647A0000000081010568464500
treasure-room-03.txt         154     3  039501     321  65647A040D0000880105A8C64500
treasure-room-04.txt         155     3  039651     131  65647A0000000080010568464500
treasure-room-05.txt         156     3  0396E3     286  65647A00000000810105A8868500
treasure-room-06.txt         157     3  039810     286  636C65173B0C1F880105A8464500
treasure-room-07.txt         158     3  03993D     211  65647A00000000810105E8864500
treasure-room-08.txt         159     3  039A1F     239  65647A0000000080010568464500
treasure-room-09.txt         160     3  039B1D     169  65647A0000000081010568864500
treasure-room-10.txt         161     3  039BD5     214  65647A00000000800105A8864500
treasure-room-11.txt         162     3  039CBA     218  65647A0000000080010568464500

Normal files map ROM IDs 0..113 to level numbers 001..114.
ROM IDs 150..151 are demo/attract maps.
ROM IDs 152..162 are the eleven treasure rooms.
ROM IDs 114..149 contain no level pointers in this revision.
Each listed TXT file has a same-named 512x512 PNG when PNG output is enabled.
