frame_id,source,first_mame_frame,slot,raw_code,decoded_code,atari_width_8px,atari_height_8px,xflip,palette,atlas_x_16px,atlas_y_16px,width_16px,height_16px,pen_1
0,mame-trace,900,780,0x0800,0x0000,3,3,0,2,0,0,2,2,preview_black_alpha_128_and_separate_mask
1,rom-energy-table,-1,-1,0x0800,0x0000,3,3,0,3,3,0,2,2,preview_black_alpha_128_and_separate_mask
2,mame-trace,900,701,0x0800,0x0000,3,3,0,4,6,0,2,2,preview_black_alpha_128_and_separate_mask
3,rom-animation-table,-1,-1,0x0809,0x0009,3,3,0,2,9,0,2,2,preview_black_alpha_128_and_separate_mask
4,rom-animation-table,-1,-1,0x0809,0x0009,3,3,0,3,12,0,2,2,preview_black_alpha_128_and_separate_mask
5,rom-animation-table,-1,-1,0x0809,0x0009,3,3,0,4,15,0,2,2,preview_black_alpha_128_and_separate_mask
6,rom-animation-table,-1,-1,0x0812,0x0012,3,3,0,2,18,0,2,2,preview_black_alpha_128_and_separate_mask
7,rom-animation-table,-1,-1,0x0812,0x0012,3,3,0,3,21,0,2,2,preview_black_alpha_128_and_separate_mask
8,rom-animation-table,-1,-1,0x0812,0x0012,3,3,0,4,24,0,2,2,preview_black_alpha_128_and_separate_mask
9,rom-animation-table,-1,-1,0x081B,0x001B,3,3,0,2,27,0,2,2,preview_black_alpha_128_and_separate_mask
10,rom-animation-table,-1,-1,0x081B,0x001B,3,3,0,3,30,0,2,2,preview_black_alpha_128_and_separate_mask
11,rom-animation-table,-1,-1,0x081B,0x001B,3,3,0,4,0,3,2,2,preview_black_alpha_128_and_separate_mask
12,rom-animation-table,-1,-1,0x0824,0x0024,3,3,0,2,3,3,2,2,preview_black_alpha_128_and_separate_mask
13,rom-animation-table,-1,-1,0x0824,0x0024,3,3,0,3,6,3,2,2,preview_black_alpha_128_and_separate_mask
14,rom-animation-table,-1,-1,0x0824,0x0024,3,3,0,4,9,3,2,2,preview_black_alpha_128_and_separate_mask
15,rom-animation-table,-1,-1,0x082D,0x002D,3,3,0,2,12,3,2,2,preview_black_alpha_128_and_separate_mask
16,rom-animation-table,-1,-1,0x082D,0x002D,3,3,0,3,15,3,2,2,preview_black_alpha_128_and_separate_mask
17,rom-animation-table,-1,-1,0x082D,0x002D,3,3,0,4,18,3,2,2,preview_black_alpha_128_and_separate_mask
18,rom-animation-table,-1,-1,0x0836,0x0036,3,3,0,2,21,3,2,2,preview_black_alpha_128_and_separate_mask
19,rom-animation-table,-1,-1,0x0836,0x0036,3,3,0,3,24,3,2,2,preview_black_alpha_128_and_separate_mask
20,rom-animation-table,-1,-1,0x0836,0x0036,3,3,0,4,27,3,2,2,preview_black_alpha_128_and_separate_mask
21,rom-animation-table,-1,-1,0x083F,0x003F,3,3,0,2,30,3,2,2,preview_black_alpha_128_and_separate_mask
22,rom-animation-table,-1,-1,0x083F,0x003F,3,3,0,3,0,6,2,2,preview_black_alpha_128_and_separate_mask
23,rom-animation-table,-1,-1,0x083F,0x003F,3,3,0,4,3,6,2,2,preview_black_alpha_128_and_separate_mask
24,rom-animation-table,-1,-1,0x0848,0x0048,3,3,0,2,6,6,2,2,preview_black_alpha_128_and_separate_mask
25,rom-animation-table,-1,-1,0x0848,0x0048,3,3,0,3,9,6,2,2,preview_black_alpha_128_and_separate_mask
26,rom-animation-table,-1,-1,0x0848,0x0048,3,3,0,4,12,6,2,2,preview_black_alpha_128_and_separate_mask
27,rom-animation-table,-1,-1,0x0851,0x0051,3,3,0,2,15,6,2,2,preview_black_alpha_128_and_separate_mask
28,rom-animation-table,-1,-1,0x0851,0x0051,3,3,0,3,18,6,2,2,preview_black_alpha_128_and_separate_mask
29,rom-animation-table,-1,-1,0x0851,0x0051,3,3,0,4,21,6,2,2,preview_black_alpha_128_and_separate_mask
30,rom-animation-table,-1,-1,0x085A,0x005A,3,3,0,2,24,6,2,2,preview_black_alpha_128_and_separate_mask
31,rom-animation-table,-1,-1,0x085A,0x005A,3,3,0,3,27,6,2,2,preview_black_alpha_128_and_separate_mask
32,rom-animation-table,-1,-1,0x085A,0x005A,3,3,0,4,30,6,2,2,preview_black_alpha_128_and_separate_mask
33,rom-animation-table,-1,-1,0x0863,0x0063,3,3,0,2,0,9,2,2,preview_black_alpha_128_and_separate_mask
34,rom-animation-table,-1,-1,0x0863,0x0063,3,3,0,3,3,9,2,2,preview_black_alpha_128_and_separate_mask
35,rom-animation-table,-1,-1,0x0863,0x0063,3,3,0,4,6,9,2,2,preview_black_alpha_128_and_separate_mask
36,rom-animation-table,-1,-1,0x086C,0x006C,3,3,0,2,9,9,2,2,preview_black_alpha_128_and_separate_mask
37,rom-animation-table,-1,-1,0x086C,0x006C,3,3,0,3,12,9,2,2,preview_black_alpha_128_and_separate_mask
38,rom-animation-table,-1,-1,0x086C,0x006C,3,3,0,4,15,9,2,2,preview_black_alpha_128_and_separate_mask
39,rom-animation-table,-1,-1,0x0875,0x0075,3,3,0,2,18,9,2,2,preview_black_alpha_128_and_separate_mask
40,rom-animation-table,-1,-1,0x0875,0x0075,3,3,0,3,21,9,2,2,preview_black_alpha_128_and_separate_mask
41,rom-animation-table,-1,-1,0x0875,0x0075,3,3,0,4,24,9,2,2,preview_black_alpha_128_and_separate_mask
42,rom-animation-table,-1,-1,0x087E,0x007E,3,3,0,2,27,9,2,2,preview_black_alpha_128_and_separate_mask
43,rom-animation-table,-1,-1,0x087E,0x007E,3,3,0,3,30,9,2,2,preview_black_alpha_128_and_separate_mask
44,rom-animation-table,-1,-1,0x087E,0x007E,3,3,0,4,0,12,2,2,preview_black_alpha_128_and_separate_mask
45,rom-animation-table,-1,-1,0x0887,0x0087,3,3,0,2,3,12,2,2,preview_black_alpha_128_and_separate_mask
46,rom-animation-table,-1,-1,0x0887,0x0087,3,3,0,3,6,12,2,2,preview_black_alpha_128_and_separate_mask
47,rom-animation-table,-1,-1,0x0887,0x0087,3,3,0,4,9,12,2,2,preview_black_alpha_128_and_separate_mask
48,rom-animation-table,-1,-1,0x0890,0x0090,3,3,0,2,12,12,2,2,preview_black_alpha_128_and_separate_mask
49,rom-animation-table,-1,-1,0x0890,0x0090,3,3,0,3,15,12,2,2,preview_black_alpha_128_and_separate_mask
50,rom-animation-table,-1,-1,0x0890,0x0090,3,3,0,4,18,12,2,2,preview_black_alpha_128_and_separate_mask
51,rom-animation-table,-1,-1,0x0899,0x0099,3,3,0,2,21,12,2,2,preview_black_alpha_128_and_separate_mask
52,rom-animation-table,-1,-1,0x0899,0x0099,3,3,0,3,24,12,2,2,preview_black_alpha_128_and_separate_mask
53,rom-animation-table,-1,-1,0x0899,0x0099,3,3,0,4,27,12,2,2,preview_black_alpha_128_and_separate_mask
54,rom-animation-table,-1,-1,0x08A2,0x00A2,3,3,0,2,30,12,2,2,preview_black_alpha_128_and_separate_mask
55,rom-animation-table,-1,-1,0x08A2,0x00A2,3,3,0,3,0,15,2,2,preview_black_alpha_128_and_separate_mask
56,rom-animation-table,-1,-1,0x08A2,0x00A2,3,3,0,4,3,15,2,2,preview_black_alpha_128_and_separate_mask
57,rom-animation-table,-1,-1,0x08AB,0x00AB,3,3,0,2,6,15,2,2,preview_black_alpha_128_and_separate_mask
58,rom-animation-table,-1,-1,0x08AB,0x00AB,3,3,0,3,9,15,2,2,preview_black_alpha_128_and_separate_mask
59,rom-animation-table,-1,-1,0x08AB,0x00AB,3,3,0,4,12,15,2,2,preview_black_alpha_128_and_separate_mask
60,rom-animation-table,-1,-1,0x08B4,0x00B4,3,3,0,2,15,15,2,2,preview_black_alpha_128_and_separate_mask
61,rom-animation-table,-1,-1,0x08B4,0x00B4,3,3,0,3,18,15,2,2,preview_black_alpha_128_and_separate_mask
62,rom-animation-table,-1,-1,0x08B4,0x00B4,3,3,0,4,21,15,2,2,preview_black_alpha_128_and_separate_mask
63,rom-animation-table,-1,-1,0x08BD,0x00BD,3,3,0,2,24,15,2,2,preview_black_alpha_128_and_separate_mask
64,rom-animation-table,-1,-1,0x08BD,0x00BD,3,3,0,3,27,15,2,2,preview_black_alpha_128_and_separate_mask
65,rom-animation-table,-1,-1,0x08BD,0x00BD,3,3,0,4,30,15,2,2,preview_black_alpha_128_and_separate_mask
66,rom-animation-table,-1,-1,0x08C6,0x00C6,3,3,0,2,0,18,2,2,preview_black_alpha_128_and_separate_mask
67,rom-animation-table,-1,-1,0x08C6,0x00C6,3,3,0,3,3,18,2,2,preview_black_alpha_128_and_separate_mask
68,rom-animation-table,-1,-1,0x08C6,0x00C6,3,3,0,4,6,18,2,2,preview_black_alpha_128_and_separate_mask
69,rom-animation-table,-1,-1,0x08CF,0x00CF,3,3,0,2,9,18,2,2,preview_black_alpha_128_and_separate_mask
70,rom-animation-table,-1,-1,0x08CF,0x00CF,3,3,0,3,12,18,2,2,preview_black_alpha_128_and_separate_mask
71,rom-animation-table,-1,-1,0x08CF,0x00CF,3,3,0,4,15,18,2,2,preview_black_alpha_128_and_separate_mask
72,rom-animation-table,-1,-1,0x08D8,0x00D8,3,3,0,2,18,18,2,2,preview_black_alpha_128_and_separate_mask
73,rom-animation-table,-1,-1,0x08D8,0x00D8,3,3,0,3,21,18,2,2,preview_black_alpha_128_and_separate_mask
74,rom-animation-table,-1,-1,0x08D8,0x00D8,3,3,0,4,24,18,2,2,preview_black_alpha_128_and_separate_mask
75,rom-animation-table,-1,-1,0x08E1,0x00E1,3,3,0,2,27,18,2,2,preview_black_alpha_128_and_separate_mask
76,rom-animation-table,-1,-1,0x08E1,0x00E1,3,3,0,3,30,18,2,2,preview_black_alpha_128_and_separate_mask
77,rom-animation-table,-1,-1,0x08E1,0x00E1,3,3,0,4,0,21,2,2,preview_black_alpha_128_and_separate_mask
78,rom-animation-table,-1,-1,0x08EA,0x00EA,3,3,0,2,3,21,2,2,preview_black_alpha_128_and_separate_mask
79,rom-animation-table,-1,-1,0x08EA,0x00EA,3,3,0,3,6,21,2,2,preview_black_alpha_128_and_separate_mask
80,rom-animation-table,-1,-1,0x08EA,0x00EA,3,3,0,4,9,21,2,2,preview_black_alpha_128_and_separate_mask
81,rom-animation-table,-1,-1,0x08F3,0x00F3,3,3,0,2,12,21,2,2,preview_black_alpha_128_and_separate_mask
82,rom-animation-table,-1,-1,0x08F3,0x00F3,3,3,0,3,15,21,2,2,preview_black_alpha_128_and_separate_mask
83,rom-animation-table,-1,-1,0x08F3,0x00F3,3,3,0,4,18,21,2,2,preview_black_alpha_128_and_separate_mask
84,mame-trace,900,85,0x08FC,0x00FC,2,2,0,1,21,21,1,1,preview_black_alpha_128_and_separate_mask
85,rom-animation-table,-1,-1,0x0900,0x0100,3,3,0,2,23,21,2,2,preview_black_alpha_128_and_separate_mask
86,rom-animation-table,-1,-1,0x0900,0x0100,3,3,0,3,26,21,2,2,preview_black_alpha_128_and_separate_mask
87,rom-animation-table,-1,-1,0x0900,0x0100,3,3,0,4,29,21,2,2,preview_black_alpha_128_and_separate_mask
88,rom-animation-table,-1,-1,0x0909,0x0109,3,3,0,2,0,24,2,2,preview_black_alpha_128_and_separate_mask
89,rom-animation-table,-1,-1,0x0909,0x0109,3,3,0,3,3,24,2,2,preview_black_alpha_128_and_separate_mask
90,rom-animation-table,-1,-1,0x0909,0x0109,3,3,0,4,6,24,2,2,preview_black_alpha_128_and_separate_mask
