first_frame,slot,raw_code,decoded_code,width,height,xflip,palette,palette_words
900,780,0800,0000,3,3,0,2,"0000 0000 0000 2FFF 4EEF 5EEF 6FFF 6FFF 8FFF 0000 8FFF 6F6F AF9F 5F99 5F65 6F33"
900,270,096C,016C,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,278,0990,0190,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,188,1D42,1542,3,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
900,189,1D48,1548,2,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
900,190,1D52,1552,4,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
900,82,1612,1E12,3,3,0,15,"0000 0000 6F93 9F84 DF86 FF9A 9FD9 CFC8 FFF6 DFFF FFFF 60F1 90F0 C0F6 7F43 4A8F"
900,85,08FC,00FC,2,2,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,92,0AFC,02FC,2,2,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,1021,09E1,01E1,3,3,0,2,"0000 0000 0000 2FFF 4EEF 5EEF 6FFF 6FFF 8FFF 0000 8FFF 6F6F AF9F 5F99 5F65 6F33"
900,701,0800,0000,3,3,0,4,"0000 0000 FF00 5FFF 8EEF AEEF CFFF DFFF FFFF 0000 FF00 FF6F FF9F 9F99 6F65 CF33"
900,573,09AB,01AB,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
903,278,0999,0199,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
903,83,161B,1E1B,3,3,0,15,"0000 0000 6F93 9F84 DF86 FF9A 9FD9 CFC8 FFF6 DFFF FFFF 60F1 90F0 C0F6 7F43 4A8F"
907,278,0987,0187,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
907,83,1624,1E24,3,3,0,15,"0000 0000 6F93 9F84 DF86 FF9A 9FD9 CFC8 FFF6 DFFF FFFF 60F1 90F0 C0F6 7F43 4A8F"
973,246,09BD,01BD,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
973,120,097E,017E,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
974,686,1D3C,153C,1,1,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
974,918,09B4,01B4,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
975,1001,1D7C,157C,1,1,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
996,686,1D3C,153C,3,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
997,703,1D4C,154C,3,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
997,1001,1DA4,15A4,2,4,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
