phase,track,red,green,blue,rgb,neo_word,neo_rgb
0,0,118,118,0,#767600,0x0770,#737300
0,1,118,118,0,#767600,0x0770,#737300
0,2,110,110,0,#6e6e00,0x6660,#6b6b00
0,3,102,102,0,#666600,0x0660,#636300
0,4,94,94,0,#5e5e00,0x6550,#5a5a00
0,5,86,86,0,#565600,0x0550,#525200
0,6,79,79,0,#4f4f00,0x0550,#525200
0,7,71,71,0,#474700,0x6440,#4a4a00
0,8,63,63,0,#3f3f00,0x0440,#424200
0,9,55,55,0,#373700,0x6330,#3a3a00
0,10,47,47,0,#2f2f00,0x0330,#313100
0,11,39,39,0,#272700,0x6220,#292900
0,12,31,31,0,#1f1f00,0x0220,#212100
0,13,23,23,0,#171700,0x6110,#191900
0,14,15,15,0,#0f0f00,0x0110,#101000
0,15,50,0,0,#320000,0x0300,#310000
0,16,67,0,0,#430000,0x0400,#420000
0,17,84,0,0,#540000,0x0500,#520000
0,18,101,0,0,#650000,0x0600,#630000
0,19,118,0,0,#760000,0x0700,#730000
1,0,118,118,0,#767600,0x0770,#737300
1,1,110,110,0,#6e6e00,0x6660,#6b6b00
1,2,102,102,0,#666600,0x0660,#636300
1,3,94,94,0,#5e5e00,0x6550,#5a5a00
1,4,86,86,0,#565600,0x0550,#525200
1,5,79,79,0,#4f4f00,0x0550,#525200
1,6,71,71,0,#474700,0x6440,#4a4a00
1,7,63,63,0,#3f3f00,0x0440,#424200
1,8,55,55,0,#373700,0x6330,#3a3a00
1,9,47,47,0,#2f2f00,0x0330,#313100
1,10,39,39,0,#272700,0x6220,#292900
1,11,31,31,0,#1f1f00,0x0220,#212100
1,12,23,23,0,#171700,0x6110,#191900
1,13,15,15,0,#0f0f00,0x0110,#101000
1,14,50,0,0,#320000,0x0300,#310000
1,15,67,0,0,#430000,0x0400,#420000
1,16,84,0,0,#540000,0x0500,#520000
1,17,101,0,0,#650000,0x0600,#630000
1,18,118,0,0,#760000,0x0700,#730000
1,19,135,0,0,#870000,0x0800,#840000
2,0,110,110,0,#6e6e00,0x6660,#6b6b00
2,1,102,102,0,#666600,0x0660,#636300
2,2,94,94,0,#5e5e00,0x6550,#5a5a00
2,3,86,86,0,#565600,0x0550,#525200
2,4,79,79,0,#4f4f00,0x0550,#525200
2,5,71,71,0,#474700,0x6440,#4a4a00
2,6,63,63,0,#3f3f00,0x0440,#424200
2,7,55,55,0,#373700,0x6330,#3a3a00
2,8,47,47,0,#2f2f00,0x0330,#313100
2,9,39,39,0,#272700,0x6220,#292900
2,10,31,31,0,#1f1f00,0x0220,#212100
2,11,23,23,0,#171700,0x6110,#191900
2,12,15,15,0,#0f0f00,0x0110,#101000
2,13,50,0,0,#320000,0x0300,#310000
2,14,67,0,0,#430000,0x0400,#420000
2,15,84,0,0,#540000,0x0500,#520000
2,16,101,0,0,#650000,0x0600,#630000
2,17,118,0,0,#760000,0x0700,#730000
2,18,135,0,0,#870000,0x0800,#840000
2,19,152,0,0,#980000,0x0900,#940000
3,0,102,102,0,#666600,0x0660,#636300
3,1,94,94,0,#5e5e00,0x6550,#5a5a00
3,2,86,86,0,#565600,0x0550,#525200
3,3,79,79,0,#4f4f00,0x0550,#525200
3,4,71,71,0,#474700,0x6440,#4a4a00
3,5,63,63,0,#3f3f00,0x0440,#424200
3,6,55,55,0,#373700,0x6330,#3a3a00
3,7,47,47,0,#2f2f00,0x0330,#313100
3,8,39,39,0,#272700,0x6220,#292900
3,9,31,31,0,#1f1f00,0x0220,#212100
3,10,23,23,0,#171700,0x6110,#191900
3,11,15,15,0,#0f0f00,0x0110,#101000
3,12,50,0,0,#320000,0x0300,#310000
3,13,67,0,0,#430000,0x0400,#420000
3,14,84,0,0,#540000,0x0500,#520000
3,15,101,0,0,#650000,0x0600,#630000
3,16,118,0,0,#760000,0x0700,#730000
3,17,135,0,0,#870000,0x0800,#840000
3,18,152,0,0,#980000,0x0900,#940000
3,19,169,0,0,#a90000,0x4a00,#ad0000
4,0,94,94,0,#5e5e00,0x6550,#5a5a00
4,1,86,86,0,#565600,0x0550,#525200
4,2,79,79,0,#4f4f00,0x0550,#525200
4,3,71,71,0,#474700,0x6440,#4a4a00
4,4,63,63,0,#3f3f00,0x0440,#424200
4,5,55,55,0,#373700,0x6330,#3a3a00
4,6,47,47,0,#2f2f00,0x0330,#313100
4,7,39,39,0,#272700,0x6220,#292900
4,8,31,31,0,#1f1f00,0x0220,#212100
4,9,23,23,0,#171700,0x6110,#191900
4,10,15,15,0,#0f0f00,0x0110,#101000
4,11,50,0,0,#320000,0x0300,#310000
4,12,67,0,0,#430000,0x0400,#420000
4,13,84,0,0,#540000,0x0500,#520000
4,14,101,0,0,#650000,0x0600,#630000
4,15,118,0,0,#760000,0x0700,#730000
4,16,135,0,0,#870000,0x0800,#840000
4,17,152,0,0,#980000,0x0900,#940000
4,18,169,0,0,#a90000,0x4a00,#ad0000
4,19,186,0,0,#ba0000,0x4b00,#bd0000
5,0,86,86,0,#565600,0x0550,#525200
5,1,79,79,0,#4f4f00,0x0550,#525200
5,2,71,71,0,#474700,0x6440,#4a4a00
5,3,63,63,0,#3f3f00,0x0440,#424200
5,4,55,55,0,#373700,0x6330,#3a3a00
5,5,47,47,0,#2f2f00,0x0330,#313100
5,6,39,39,0,#272700,0x6220,#292900
5,7,31,31,0,#1f1f00,0x0220,#212100
5,8,23,23,0,#171700,0x6110,#191900
5,9,15,15,0,#0f0f00,0x0110,#101000
5,10,50,0,0,#320000,0x0300,#310000
5,11,67,0,0,#430000,0x0400,#420000
5,12,84,0,0,#540000,0x0500,#520000
5,13,101,0,0,#650000,0x0600,#630000
5,14,118,0,0,#760000,0x0700,#730000
5,15,135,0,0,#870000,0x0800,#840000
5,16,152,0,0,#980000,0x0900,#940000
5,17,169,0,0,#a90000,0x4a00,#ad0000
5,18,186,0,0,#ba0000,0x4b00,#bd0000
5,19,203,0,0,#cb0000,0x4c00,#ce0000
6,0,79,79,0,#4f4f00,0x0550,#525200
6,1,71,71,0,#474700,0x6440,#4a4a00
6,2,63,63,0,#3f3f00,0x0440,#424200
6,3,55,55,0,#373700,0x6330,#3a3a00
6,4,47,47,0,#2f2f00,0x0330,#313100
6,5,39,39,0,#272700,0x6220,#292900
6,6,31,31,0,#1f1f00,0x0220,#212100
6,7,23,23,0,#171700,0x6110,#191900
6,8,15,15,0,#0f0f00,0x0110,#101000
6,9,50,0,0,#320000,0x0300,#310000
6,10,67,0,0,#430000,0x0400,#420000
6,11,84,0,0,#540000,0x0500,#520000
6,12,101,0,0,#650000,0x0600,#630000
6,13,118,0,0,#760000,0x0700,#730000
6,14,135,0,0,#870000,0x0800,#840000
6,15,152,0,0,#980000,0x0900,#940000
6,16,169,0,0,#a90000,0x4a00,#ad0000
6,17,186,0,0,#ba0000,0x4b00,#bd0000
6,18,203,0,0,#cb0000,0x4c00,#ce0000
6,19,220,0,0,#dc0000,0x4d00,#de0000
7,0,71,71,0,#474700,0x6440,#4a4a00
7,1,63,63,0,#3f3f00,0x0440,#424200
7,2,55,55,0,#373700,0x6330,#3a3a00
7,3,47,47,0,#2f2f00,0x0330,#313100
7,4,39,39,0,#272700,0x6220,#292900
7,5,31,31,0,#1f1f00,0x0220,#212100
7,6,23,23,0,#171700,0x6110,#191900
7,7,15,15,0,#0f0f00,0x0110,#101000
7,8,50,0,0,#320000,0x0300,#310000
7,9,67,0,0,#430000,0x0400,#420000
7,10,84,0,0,#540000,0x0500,#520000
7,11,101,0,0,#650000,0x0600,#630000
7,12,118,0,0,#760000,0x0700,#730000
7,13,135,0,0,#870000,0x0800,#840000
7,14,152,0,0,#980000,0x0900,#940000
7,15,169,0,0,#a90000,0x4a00,#ad0000
7,16,186,0,0,#ba0000,0x4b00,#bd0000
7,17,203,0,0,#cb0000,0x4c00,#ce0000
7,18,220,0,0,#dc0000,0x4d00,#de0000
7,19,237,0,0,#ed0000,0x4e00,#ef0000
8,0,63,63,0,#3f3f00,0x0440,#424200
8,1,55,55,0,#373700,0x6330,#3a3a00
8,2,47,47,0,#2f2f00,0x0330,#313100
8,3,39,39,0,#272700,0x6220,#292900
8,4,31,31,0,#1f1f00,0x0220,#212100
8,5,23,23,0,#171700,0x6110,#191900
8,6,15,15,0,#0f0f00,0x0110,#101000
8,7,50,0,0,#320000,0x0300,#310000
8,8,67,0,0,#430000,0x0400,#420000
8,9,84,0,0,#540000,0x0500,#520000
8,10,101,0,0,#650000,0x0600,#630000
8,11,118,0,0,#760000,0x0700,#730000
8,12,135,0,0,#870000,0x0800,#840000
8,13,152,0,0,#980000,0x0900,#940000
8,14,169,0,0,#a90000,0x4a00,#ad0000
8,15,186,0,0,#ba0000,0x4b00,#bd0000
8,16,203,0,0,#cb0000,0x4c00,#ce0000
8,17,220,0,0,#dc0000,0x4d00,#de0000
8,18,237,0,0,#ed0000,0x4e00,#ef0000
8,19,254,0,0,#fe0000,0x4f00,#ff0000
9,0,55,55,0,#373700,0x6330,#3a3a00
9,1,47,47,0,#2f2f00,0x0330,#313100
9,2,39,39,0,#272700,0x6220,#292900
9,3,31,31,0,#1f1f00,0x0220,#212100
9,4,23,23,0,#171700,0x6110,#191900
9,5,15,15,0,#0f0f00,0x0110,#101000
9,6,50,0,0,#320000,0x0300,#310000
9,7,67,0,0,#430000,0x0400,#420000
9,8,84,0,0,#540000,0x0500,#520000
9,9,101,0,0,#650000,0x0600,#630000
9,10,118,0,0,#760000,0x0700,#730000
9,11,135,0,0,#870000,0x0800,#840000
9,12,152,0,0,#980000,0x0900,#940000
9,13,169,0,0,#a90000,0x4a00,#ad0000
9,14,186,0,0,#ba0000,0x4b00,#bd0000
9,15,203,0,0,#cb0000,0x4c00,#ce0000
9,16,220,0,0,#dc0000,0x4d00,#de0000
9,17,237,0,0,#ed0000,0x4e00,#ef0000
9,18,254,0,0,#fe0000,0x4f00,#ff0000
9,19,254,0,0,#fe0000,0x4f00,#ff0000
10,0,47,47,0,#2f2f00,0x0330,#313100
10,1,39,39,0,#272700,0x6220,#292900
10,2,31,31,0,#1f1f00,0x0220,#212100
10,3,23,23,0,#171700,0x6110,#191900
10,4,15,15,0,#0f0f00,0x0110,#101000
10,5,50,0,0,#320000,0x0300,#310000
10,6,67,0,0,#430000,0x0400,#420000
10,7,84,0,0,#540000,0x0500,#520000
10,8,101,0,0,#650000,0x0600,#630000
10,9,118,0,0,#760000,0x0700,#730000
10,10,135,0,0,#870000,0x0800,#840000
10,11,152,0,0,#980000,0x0900,#940000
10,12,169,0,0,#a90000,0x4a00,#ad0000
10,13,186,0,0,#ba0000,0x4b00,#bd0000
10,14,203,0,0,#cb0000,0x4c00,#ce0000
10,15,220,0,0,#dc0000,0x4d00,#de0000
10,16,237,0,0,#ed0000,0x4e00,#ef0000
10,17,254,0,0,#fe0000,0x4f00,#ff0000
10,18,254,0,0,#fe0000,0x4f00,#ff0000
10,19,237,0,0,#ed0000,0x4e00,#ef0000
11,0,39,39,0,#272700,0x6220,#292900
11,1,31,31,0,#1f1f00,0x0220,#212100
11,2,23,23,0,#171700,0x6110,#191900
11,3,15,15,0,#0f0f00,0x0110,#101000
11,4,50,0,0,#320000,0x0300,#310000
11,5,67,0,0,#430000,0x0400,#420000
11,6,84,0,0,#540000,0x0500,#520000
11,7,101,0,0,#650000,0x0600,#630000
11,8,118,0,0,#760000,0x0700,#730000
11,9,135,0,0,#870000,0x0800,#840000
11,10,152,0,0,#980000,0x0900,#940000
11,11,169,0,0,#a90000,0x4a00,#ad0000
11,12,186,0,0,#ba0000,0x4b00,#bd0000
11,13,203,0,0,#cb0000,0x4c00,#ce0000
11,14,220,0,0,#dc0000,0x4d00,#de0000
11,15,237,0,0,#ed0000,0x4e00,#ef0000
11,16,254,0,0,#fe0000,0x4f00,#ff0000
11,17,254,0,0,#fe0000,0x4f00,#ff0000
11,18,237,0,0,#ed0000,0x4e00,#ef0000
11,19,220,0,0,#dc0000,0x4d00,#de0000
12,0,31,31,0,#1f1f00,0x0220,#212100
12,1,23,23,0,#171700,0x6110,#191900
12,2,15,15,0,#0f0f00,0x0110,#101000
12,3,50,0,0,#320000,0x0300,#310000
12,4,67,0,0,#430000,0x0400,#420000
12,5,84,0,0,#540000,0x0500,#520000
12,6,101,0,0,#650000,0x0600,#630000
12,7,118,0,0,#760000,0x0700,#730000
12,8,135,0,0,#870000,0x0800,#840000
12,9,152,0,0,#980000,0x0900,#940000
12,10,169,0,0,#a90000,0x4a00,#ad0000
12,11,186,0,0,#ba0000,0x4b00,#bd0000
12,12,203,0,0,#cb0000,0x4c00,#ce0000
12,13,220,0,0,#dc0000,0x4d00,#de0000
12,14,237,0,0,#ed0000,0x4e00,#ef0000
12,15,254,0,0,#fe0000,0x4f00,#ff0000
12,16,254,0,0,#fe0000,0x4f00,#ff0000
12,17,237,0,0,#ed0000,0x4e00,#ef0000
12,18,220,0,0,#dc0000,0x4d00,#de0000
12,19,203,0,0,#cb0000,0x4c00,#ce0000
13,0,23,23,0,#171700,0x6110,#191900
13,1,15,15,0,#0f0f00,0x0110,#101000
13,2,50,0,0,#320000,0x0300,#310000
13,3,67,0,0,#430000,0x0400,#420000
13,4,84,0,0,#540000,0x0500,#520000
13,5,101,0,0,#650000,0x0600,#630000
13,6,118,0,0,#760000,0x0700,#730000
13,7,135,0,0,#870000,0x0800,#840000
13,8,152,0,0,#980000,0x0900,#940000
13,9,169,0,0,#a90000,0x4a00,#ad0000
