phase,palette,pen,source_index,track,source_rgb,neo_word,neo_rgb
0,34,1,77,0,#767600,0x0770,#737300
0,34,2,78,1,#767600,0x0770,#737300
0,34,3,79,2,#6e6e00,0x6660,#6b6b00
0,35,1,78,1,#767600,0x0770,#737300
0,35,2,79,2,#6e6e00,0x6660,#6b6b00
0,36,1,84,7,#474700,0x6440,#4a4a00
0,36,2,85,8,#3f3f00,0x0440,#424200
0,36,3,86,9,#373700,0x6330,#3a3a00
0,36,4,87,10,#2f2f00,0x0330,#313100
0,37,1,84,7,#474700,0x6440,#4a4a00
0,37,2,85,8,#3f3f00,0x0440,#424200
0,37,3,86,9,#373700,0x6330,#3a3a00
0,37,4,87,10,#2f2f00,0x0330,#313100
0,37,5,88,11,#272700,0x6220,#292900
0,38,1,79,2,#6e6e00,0x6660,#6b6b00
0,38,2,80,3,#666600,0x0660,#636300
0,38,3,81,4,#5e5e00,0x6550,#5a5a00
0,38,4,82,5,#565600,0x0550,#525200
0,38,5,83,6,#4f4f00,0x0550,#525200
0,38,6,84,7,#474700,0x6440,#4a4a00
0,49,1,79,2,#6e6e00,0x6660,#6b6b00
0,49,2,80,3,#666600,0x0660,#636300
0,49,3,81,4,#5e5e00,0x6550,#5a5a00
0,49,4,82,5,#565600,0x0550,#525200
0,49,5,83,6,#4f4f00,0x0550,#525200
0,49,6,84,7,#474700,0x6440,#4a4a00
0,50,1,90,13,#171700,0x6110,#191900
0,50,2,94,17,#540000,0x0500,#520000
0,50,3,95,18,#650000,0x0600,#630000
0,56,1,77,0,#767600,0x0770,#737300
0,56,2,78,1,#767600,0x0770,#737300
0,56,3,79,2,#6e6e00,0x6660,#6b6b00
0,59,1,77,0,#767600,0x0770,#737300
0,59,2,78,1,#767600,0x0770,#737300
0,59,3,79,2,#6e6e00,0x6660,#6b6b00
0,60,1,83,6,#4f4f00,0x0550,#525200
0,60,2,84,7,#474700,0x6440,#4a4a00
0,62,1,79,2,#6e6e00,0x6660,#6b6b00
0,62,2,80,3,#666600,0x0660,#636300
0,62,3,81,4,#5e5e00,0x6550,#5a5a00
0,62,4,82,5,#565600,0x0550,#525200
0,62,5,83,6,#4f4f00,0x0550,#525200
0,62,6,84,7,#474700,0x6440,#4a4a00
0,63,1,84,7,#474700,0x6440,#4a4a00
0,63,2,85,8,#3f3f00,0x0440,#424200
0,63,3,86,9,#373700,0x6330,#3a3a00
0,63,4,87,10,#2f2f00,0x0330,#313100
0,63,5,90,13,#171700,0x6110,#191900
0,63,6,91,14,#0f0f00,0x0110,#101000
0,64,1,84,7,#474700,0x6440,#4a4a00
0,64,2,85,8,#3f3f00,0x0440,#424200
0,64,3,86,9,#373700,0x6330,#3a3a00
0,64,4,87,10,#2f2f00,0x0330,#313100
0,64,5,88,11,#272700,0x6220,#292900
0,64,6,89,12,#1f1f00,0x0220,#212100
0,65,1,90,13,#171700,0x6110,#191900
0,65,2,91,14,#0f0f00,0x0110,#101000
0,65,3,92,15,#320000,0x0300,#310000
0,65,4,93,16,#430000,0x0400,#420000
0,65,5,94,17,#540000,0x0500,#520000
0,65,6,95,18,#650000,0x0600,#630000
0,66,1,79,2,#6e6e00,0x6660,#6b6b00
0,66,2,80,3,#666600,0x0660,#636300
0,66,3,81,4,#5e5e00,0x6550,#5a5a00
0,66,4,82,5,#565600,0x0550,#525200
0,66,5,83,6,#4f4f00,0x0550,#525200
0,66,6,84,7,#474700,0x6440,#4a4a00
0,68,1,79,2,#6e6e00,0x6660,#6b6b00
0,68,2,80,3,#666600,0x0660,#636300
0,68,3,84,7,#474700,0x6440,#4a4a00
0,69,1,90,13,#171700,0x6110,#191900
0,70,1,85,8,#3f3f00,0x0440,#424200
0,70,2,86,9,#373700,0x6330,#3a3a00
0,70,3,87,10,#2f2f00,0x0330,#313100
0,70,4,88,11,#272700,0x6220,#292900
0,70,5,89,12,#1f1f00,0x0220,#212100
0,70,6,95,18,#650000,0x0600,#630000
0,70,7,96,19,#760000,0x0700,#730000
0,74,1,84,7,#474700,0x6440,#4a4a00
0,74,2,85,8,#3f3f00,0x0440,#424200
0,74,3,86,9,#373700,0x6330,#3a3a00
0,74,4,87,10,#2f2f00,0x0330,#313100
0,74,5,88,11,#272700,0x6220,#292900
0,74,6,89,12,#1f1f00,0x0220,#212100
0,76,1,77,0,#767600,0x0770,#737300
0,76,2,78,1,#767600,0x0770,#737300
0,76,3,79,2,#6e6e00,0x6660,#6b6b00
0,79,1,84,7,#474700,0x6440,#4a4a00
0,79,2,85,8,#3f3f00,0x0440,#424200
0,79,3,86,9,#373700,0x6330,#3a3a00
0,79,4,87,10,#2f2f00,0x0330,#313100
1,34,1,77,0,#767600,0x0770,#737300
1,34,2,78,1,#6e6e00,0x6660,#6b6b00
1,34,3,79,2,#666600,0x0660,#636300
1,35,1,78,1,#6e6e00,0x6660,#6b6b00
1,35,2,79,2,#666600,0x0660,#636300
1,36,1,84,7,#3f3f00,0x0440,#424200
1,36,2,85,8,#373700,0x6330,#3a3a00
1,36,3,86,9,#2f2f00,0x0330,#313100
1,36,4,87,10,#272700,0x6220,#292900
1,37,1,84,7,#3f3f00,0x0440,#424200
1,37,2,85,8,#373700,0x6330,#3a3a00
1,37,3,86,9,#2f2f00,0x0330,#313100
1,37,4,87,10,#272700,0x6220,#292900
1,37,5,88,11,#1f1f00,0x0220,#212100
1,38,1,79,2,#666600,0x0660,#636300
1,38,2,80,3,#5e5e00,0x6550,#5a5a00
1,38,3,81,4,#565600,0x0550,#525200
1,38,4,82,5,#4f4f00,0x0550,#525200
1,38,5,83,6,#474700,0x6440,#4a4a00
1,38,6,84,7,#3f3f00,0x0440,#424200
1,49,1,79,2,#666600,0x0660,#636300
1,49,2,80,3,#5e5e00,0x6550,#5a5a00
1,49,3,81,4,#565600,0x0550,#525200
1,49,4,82,5,#4f4f00,0x0550,#525200
1,49,5,83,6,#474700,0x6440,#4a4a00
1,49,6,84,7,#3f3f00,0x0440,#424200
1,50,1,90,13,#0f0f00,0x0110,#101000
1,50,2,94,17,#650000,0x0600,#630000
1,50,3,95,18,#760000,0x0700,#730000
1,56,1,77,0,#767600,0x0770,#737300
1,56,2,78,1,#6e6e00,0x6660,#6b6b00
1,56,3,79,2,#666600,0x0660,#636300
1,59,1,77,0,#767600,0x0770,#737300
1,59,2,78,1,#6e6e00,0x6660,#6b6b00
1,59,3,79,2,#666600,0x0660,#636300
1,60,1,83,6,#474700,0x6440,#4a4a00
1,60,2,84,7,#3f3f00,0x0440,#424200
1,62,1,79,2,#666600,0x0660,#636300
1,62,2,80,3,#5e5e00,0x6550,#5a5a00
1,62,3,81,4,#565600,0x0550,#525200
1,62,4,82,5,#4f4f00,0x0550,#525200
1,62,5,83,6,#474700,0x6440,#4a4a00
1,62,6,84,7,#3f3f00,0x0440,#424200
1,63,1,84,7,#3f3f00,0x0440,#424200
1,63,2,85,8,#373700,0x6330,#3a3a00
1,63,3,86,9,#2f2f00,0x0330,#313100
1,63,4,87,10,#272700,0x6220,#292900
1,63,5,90,13,#0f0f00,0x0110,#101000
1,63,6,91,14,#320000,0x0300,#310000
1,64,1,84,7,#3f3f00,0x0440,#424200
1,64,2,85,8,#373700,0x6330,#3a3a00
1,64,3,86,9,#2f2f00,0x0330,#313100
1,64,4,87,10,#272700,0x6220,#292900
1,64,5,88,11,#1f1f00,0x0220,#212100
1,64,6,89,12,#171700,0x6110,#191900
1,65,1,90,13,#0f0f00,0x0110,#101000
1,65,2,91,14,#320000,0x0300,#310000
1,65,3,92,15,#430000,0x0400,#420000
1,65,4,93,16,#540000,0x0500,#520000
1,65,5,94,17,#650000,0x0600,#630000
1,65,6,95,18,#760000,0x0700,#730000
1,66,1,79,2,#666600,0x0660,#636300
1,66,2,80,3,#5e5e00,0x6550,#5a5a00
1,66,3,81,4,#565600,0x0550,#525200
1,66,4,82,5,#4f4f00,0x0550,#525200
1,66,5,83,6,#474700,0x6440,#4a4a00
1,66,6,84,7,#3f3f00,0x0440,#424200
1,68,1,79,2,#666600,0x0660,#636300
1,68,2,80,3,#5e5e00,0x6550,#5a5a00
1,68,3,84,7,#3f3f00,0x0440,#424200
1,69,1,90,13,#0f0f00,0x0110,#101000
1,70,1,85,8,#373700,0x6330,#3a3a00
1,70,2,86,9,#2f2f00,0x0330,#313100
1,70,3,87,10,#272700,0x6220,#292900
1,70,4,88,11,#1f1f00,0x0220,#212100
1,70,5,89,12,#171700,0x6110,#191900
1,70,6,95,18,#760000,0x0700,#730000
1,70,7,96,19,#870000,0x0800,#840000
1,74,1,84,7,#3f3f00,0x0440,#424200
1,74,2,85,8,#373700,0x6330,#3a3a00
1,74,3,86,9,#2f2f00,0x0330,#313100
1,74,4,87,10,#272700,0x6220,#292900
1,74,5,88,11,#1f1f00,0x0220,#212100
1,74,6,89,12,#171700,0x6110,#191900
1,76,1,77,0,#767600,0x0770,#737300
1,76,2,78,1,#6e6e00,0x6660,#6b6b00
1,76,3,79,2,#666600,0x0660,#636300
1,79,1,84,7,#3f3f00,0x0440,#424200
1,79,2,85,8,#373700,0x6330,#3a3a00
1,79,3,86,9,#2f2f00,0x0330,#313100
1,79,4,87,10,#272700,0x6220,#292900
2,34,1,77,0,#6e6e00,0x6660,#6b6b00
2,34,2,78,1,#666600,0x0660,#636300
2,34,3,79,2,#5e5e00,0x6550,#5a5a00
2,35,1,78,1,#666600,0x0660,#636300
2,35,2,79,2,#5e5e00,0x6550,#5a5a00
2,36,1,84,7,#373700,0x6330,#3a3a00
2,36,2,85,8,#2f2f00,0x0330,#313100
2,36,3,86,9,#272700,0x6220,#292900
2,36,4,87,10,#1f1f00,0x0220,#212100
2,37,1,84,7,#373700,0x6330,#3a3a00
2,37,2,85,8,#2f2f00,0x0330,#313100
2,37,3,86,9,#272700,0x6220,#292900
2,37,4,87,10,#1f1f00,0x0220,#212100
2,37,5,88,11,#171700,0x6110,#191900
2,38,1,79,2,#5e5e00,0x6550,#5a5a00
2,38,2,80,3,#565600,0x0550,#525200
2,38,3,81,4,#4f4f00,0x0550,#525200
2,38,4,82,5,#474700,0x6440,#4a4a00
2,38,5,83,6,#3f3f00,0x0440,#424200
2,38,6,84,7,#373700,0x6330,#3a3a00
2,49,1,79,2,#5e5e00,0x6550,#5a5a00
2,49,2,80,3,#565600,0x0550,#525200
2,49,3,81,4,#4f4f00,0x0550,#525200
2,49,4,82,5,#474700,0x6440,#4a4a00
2,49,5,83,6,#3f3f00,0x0440,#424200
2,49,6,84,7,#373700,0x6330,#3a3a00
2,50,1,90,13,#320000,0x0300,#310000
2,50,2,94,17,#760000,0x0700,#730000
2,50,3,95,18,#870000,0x0800,#840000
2,56,1,77,0,#6e6e00,0x6660,#6b6b00
2,56,2,78,1,#666600,0x0660,#636300
2,56,3,79,2,#5e5e00,0x6550,#5a5a00
2,59,1,77,0,#6e6e00,0x6660,#6b6b00
2,59,2,78,1,#666600,0x0660,#636300
2,59,3,79,2,#5e5e00,0x6550,#5a5a00
2,60,1,83,6,#3f3f00,0x0440,#424200
2,60,2,84,7,#373700,0x6330,#3a3a00
2,62,1,79,2,#5e5e00,0x6550,#5a5a00
2,62,2,80,3,#565600,0x0550,#525200
2,62,3,81,4,#4f4f00,0x0550,#525200
2,62,4,82,5,#474700,0x6440,#4a4a00
2,62,5,83,6,#3f3f00,0x0440,#424200
2,62,6,84,7,#373700,0x6330,#3a3a00
2,63,1,84,7,#373700,0x6330,#3a3a00
2,63,2,85,8,#2f2f00,0x0330,#313100
2,63,3,86,9,#272700,0x6220,#292900
2,63,4,87,10,#1f1f00,0x0220,#212100
2,63,5,90,13,#320000,0x0300,#310000
2,63,6,91,14,#430000,0x0400,#420000
2,64,1,84,7,#373700,0x6330,#3a3a00
2,64,2,85,8,#2f2f00,0x0330,#313100
2,64,3,86,9,#272700,0x6220,#292900
2,64,4,87,10,#1f1f00,0x0220,#212100
2,64,5,88,11,#171700,0x6110,#191900
2,64,6,89,12,#0f0f00,0x0110,#101000
2,65,1,90,13,#320000,0x0300,#310000
2,65,2,91,14,#430000,0x0400,#420000
2,65,3,92,15,#540000,0x0500,#520000
2,65,4,93,16,#650000,0x0600,#630000
2,65,5,94,17,#760000,0x0700,#730000
2,65,6,95,18,#870000,0x0800,#840000
2,66,1,79,2,#5e5e00,0x6550,#5a5a00
2,66,2,80,3,#565600,0x0550,#525200
2,66,3,81,4,#4f4f00,0x0550,#525200
2,66,4,82,5,#474700,0x6440,#4a4a00
2,66,5,83,6,#3f3f00,0x0440,#424200
2,66,6,84,7,#373700,0x6330,#3a3a00
2,68,1,79,2,#5e5e00,0x6550,#5a5a00
2,68,2,80,3,#565600,0x0550,#525200
2,68,3,84,7,#373700,0x6330,#3a3a00
2,69,1,90,13,#320000,0x0300,#310000
2,70,1,85,8,#2f2f00,0x0330,#313100
2,70,2,86,9,#272700,0x6220,#292900
2,70,3,87,10,#1f1f00,0x0220,#212100
2,70,4,88,11,#171700,0x6110,#191900
2,70,5,89,12,#0f0f00,0x0110,#101000
2,70,6,95,18,#870000,0x0800,#840000
2,70,7,96,19,#980000,0x0900,#940000
2,74,1,84,7,#373700,0x6330,#3a3a00
2,74,2,85,8,#2f2f00,0x0330,#313100
2,74,3,86,9,#272700,0x6220,#292900
2,74,4,87,10,#1f1f00,0x0220,#212100
2,74,5,88,11,#171700,0x6110,#191900
2,74,6,89,12,#0f0f00,0x0110,#101000
2,76,1,77,0,#6e6e00,0x6660,#6b6b00
2,76,2,78,1,#666600,0x0660,#636300
2,76,3,79,2,#5e5e00,0x6550,#5a5a00
2,79,1,84,7,#373700,0x6330,#3a3a00
2,79,2,85,8,#2f2f00,0x0330,#313100
2,79,3,86,9,#272700,0x6220,#292900
2,79,4,87,10,#1f1f00,0x0220,#212100
3,34,1,77,0,#666600,0x0660,#636300
3,34,2,78,1,#5e5e00,0x6550,#5a5a00
3,34,3,79,2,#565600,0x0550,#525200
3,35,1,78,1,#5e5e00,0x6550,#5a5a00
3,35,2,79,2,#565600,0x0550,#525200
3,36,1,84,7,#2f2f00,0x0330,#313100
3,36,2,85,8,#272700,0x6220,#292900
3,36,3,86,9,#1f1f00,0x0220,#212100
3,36,4,87,10,#171700,0x6110,#191900
3,37,1,84,7,#2f2f00,0x0330,#313100
3,37,2,85,8,#272700,0x6220,#292900
3,37,3,86,9,#1f1f00,0x0220,#212100
3,37,4,87,10,#171700,0x6110,#191900
3,37,5,88,11,#0f0f00,0x0110,#101000
3,38,1,79,2,#565600,0x0550,#525200
3,38,2,80,3,#4f4f00,0x0550,#525200
3,38,3,81,4,#474700,0x6440,#4a4a00
3,38,4,82,5,#3f3f00,0x0440,#424200
3,38,5,83,6,#373700,0x6330,#3a3a00
3,38,6,84,7,#2f2f00,0x0330,#313100
3,49,1,79,2,#565600,0x0550,#525200
3,49,2,80,3,#4f4f00,0x0550,#525200
3,49,3,81,4,#474700,0x6440,#4a4a00
3,49,4,82,5,#3f3f00,0x0440,#424200
3,49,5,83,6,#373700,0x6330,#3a3a00
3,49,6,84,7,#2f2f00,0x0330,#313100
3,50,1,90,13,#430000,0x0400,#420000
3,50,2,94,17,#870000,0x0800,#840000
3,50,3,95,18,#980000,0x0900,#940000
3,56,1,77,0,#666600,0x0660,#636300
3,56,2,78,1,#5e5e00,0x6550,#5a5a00
3,56,3,79,2,#565600,0x0550,#525200
3,59,1,77,0,#666600,0x0660,#636300
3,59,2,78,1,#5e5e00,0x6550,#5a5a00
3,59,3,79,2,#565600,0x0550,#525200
3,60,1,83,6,#373700,0x6330,#3a3a00
3,60,2,84,7,#2f2f00,0x0330,#313100
3,62,1,79,2,#565600,0x0550,#525200
3,62,2,80,3,#4f4f00,0x0550,#525200
3,62,3,81,4,#474700,0x6440,#4a4a00
3,62,4,82,5,#3f3f00,0x0440,#424200
3,62,5,83,6,#373700,0x6330,#3a3a00
3,62,6,84,7,#2f2f00,0x0330,#313100
3,63,1,84,7,#2f2f00,0x0330,#313100
3,63,2,85,8,#272700,0x6220,#292900
3,63,3,86,9,#1f1f00,0x0220,#212100
3,63,4,87,10,#171700,0x6110,#191900
3,63,5,90,13,#430000,0x0400,#420000
3,63,6,91,14,#540000,0x0500,#520000
3,64,1,84,7,#2f2f00,0x0330,#313100
3,64,2,85,8,#272700,0x6220,#292900
3,64,3,86,9,#1f1f00,0x0220,#212100
3,64,4,87,10,#171700,0x6110,#191900
3,64,5,88,11,#0f0f00,0x0110,#101000
3,64,6,89,12,#320000,0x0300,#310000
3,65,1,90,13,#430000,0x0400,#420000
3,65,2,91,14,#540000,0x0500,#520000
3,65,3,92,15,#650000,0x0600,#630000
3,65,4,93,16,#760000,0x0700,#730000
3,65,5,94,17,#870000,0x0800,#840000
3,65,6,95,18,#980000,0x0900,#940000
3,66,1,79,2,#565600,0x0550,#525200
3,66,2,80,3,#4f4f00,0x0550,#525200
3,66,3,81,4,#474700,0x6440,#4a4a00
3,66,4,82,5,#3f3f00,0x0440,#424200
3,66,5,83,6,#373700,0x6330,#3a3a00
3,66,6,84,7,#2f2f00,0x0330,#313100
3,68,1,79,2,#565600,0x0550,#525200
3,68,2,80,3,#4f4f00,0x0550,#525200
3,68,3,84,7,#2f2f00,0x0330,#313100
3,69,1,90,13,#430000,0x0400,#420000
3,70,1,85,8,#272700,0x6220,#292900
3,70,2,86,9,#1f1f00,0x0220,#212100
3,70,3,87,10,#171700,0x6110,#191900
3,70,4,88,11,#0f0f00,0x0110,#101000
3,70,5,89,12,#320000,0x0300,#310000
3,70,6,95,18,#980000,0x0900,#940000
3,70,7,96,19,#a90000,0x4a00,#ad0000
3,74,1,84,7,#2f2f00,0x0330,#313100
3,74,2,85,8,#272700,0x6220,#292900
3,74,3,86,9,#1f1f00,0x0220,#212100
3,74,4,87,10,#171700,0x6110,#191900
3,74,5,88,11,#0f0f00,0x0110,#101000
3,74,6,89,12,#320000,0x0300,#310000
3,76,1,77,0,#666600,0x0660,#636300
3,76,2,78,1,#5e5e00,0x6550,#5a5a00
3,76,3,79,2,#565600,0x0550,#525200
3,79,1,84,7,#2f2f00,0x0330,#313100
3,79,2,85,8,#272700,0x6220,#292900
3,79,3,86,9,#1f1f00,0x0220,#212100
3,79,4,87,10,#171700,0x6110,#191900
4,34,1,77,0,#5e5e00,0x6550,#5a5a00
4,34,2,78,1,#565600,0x0550,#525200
4,34,3,79,2,#4f4f00,0x0550,#525200
4,35,1,78,1,#565600,0x0550,#525200
4,35,2,79,2,#4f4f00,0x0550,#525200
4,36,1,84,7,#272700,0x6220,#292900
4,36,2,85,8,#1f1f00,0x0220,#212100
4,36,3,86,9,#171700,0x6110,#191900
4,36,4,87,10,#0f0f00,0x0110,#101000
4,37,1,84,7,#272700,0x6220,#292900
4,37,2,85,8,#1f1f00,0x0220,#212100
4,37,3,86,9,#171700,0x6110,#191900
4,37,4,87,10,#0f0f00,0x0110,#101000
4,37,5,88,11,#320000,0x0300,#310000
4,38,1,79,2,#4f4f00,0x0550,#525200
4,38,2,80,3,#474700,0x6440,#4a4a00
4,38,3,81,4,#3f3f00,0x0440,#424200
4,38,4,82,5,#373700,0x6330,#3a3a00
4,38,5,83,6,#2f2f00,0x0330,#313100
4,38,6,84,7,#272700,0x6220,#292900
4,49,1,79,2,#4f4f00,0x0550,#525200
4,49,2,80,3,#474700,0x6440,#4a4a00
4,49,3,81,4,#3f3f00,0x0440,#424200
4,49,4,82,5,#373700,0x6330,#3a3a00
4,49,5,83,6,#2f2f00,0x0330,#313100
4,49,6,84,7,#272700,0x6220,#292900
4,50,1,90,13,#540000,0x0500,#520000
4,50,2,94,17,#980000,0x0900,#940000
4,50,3,95,18,#a90000,0x4a00,#ad0000
4,56,1,77,0,#5e5e00,0x6550,#5a5a00
4,56,2,78,1,#565600,0x0550,#525200
4,56,3,79,2,#4f4f00,0x0550,#525200
4,59,1,77,0,#5e5e00,0x6550,#5a5a00
4,59,2,78,1,#565600,0x0550,#525200
4,59,3,79,2,#4f4f00,0x0550,#525200
4,60,1,83,6,#2f2f00,0x0330,#313100
4,60,2,84,7,#272700,0x6220,#292900
4,62,1,79,2,#4f4f00,0x0550,#525200
4,62,2,80,3,#474700,0x6440,#4a4a00
4,62,3,81,4,#3f3f00,0x0440,#424200
4,62,4,82,5,#373700,0x6330,#3a3a00
4,62,5,83,6,#2f2f00,0x0330,#313100
4,62,6,84,7,#272700,0x6220,#292900
4,63,1,84,7,#272700,0x6220,#292900
4,63,2,85,8,#1f1f00,0x0220,#212100
4,63,3,86,9,#171700,0x6110,#191900
4,63,4,87,10,#0f0f00,0x0110,#101000
4,63,5,90,13,#540000,0x0500,#520000
4,63,6,91,14,#650000,0x0600,#630000
4,64,1,84,7,#272700,0x6220,#292900
4,64,2,85,8,#1f1f00,0x0220,#212100
4,64,3,86,9,#171700,0x6110,#191900
4,64,4,87,10,#0f0f00,0x0110,#101000
4,64,5,88,11,#320000,0x0300,#310000
4,64,6,89,12,#430000,0x0400,#420000
4,65,1,90,13,#540000,0x0500,#520000
4,65,2,91,14,#650000,0x0600,#630000
4,65,3,92,15,#760000,0x0700,#730000
4,65,4,93,16,#870000,0x0800,#840000
4,65,5,94,17,#980000,0x0900,#940000
4,65,6,95,18,#a90000,0x4a00,#ad0000
4,66,1,79,2,#4f4f00,0x0550,#525200
4,66,2,80,3,#474700,0x6440,#4a4a00
4,66,3,81,4,#3f3f00,0x0440,#424200
4,66,4,82,5,#373700,0x6330,#3a3a00
4,66,5,83,6,#2f2f00,0x0330,#313100
4,66,6,84,7,#272700,0x6220,#292900
4,68,1,79,2,#4f4f00,0x0550,#525200
4,68,2,80,3,#474700,0x6440,#4a4a00
4,68,3,84,7,#272700,0x6220,#292900
4,69,1,90,13,#540000,0x0500,#520000
4,70,1,85,8,#1f1f00,0x0220,#212100
4,70,2,86,9,#171700,0x6110,#191900
4,70,3,87,10,#0f0f00,0x0110,#101000
4,70,4,88,11,#320000,0x0300,#310000
4,70,5,89,12,#430000,0x0400,#420000
4,70,6,95,18,#a90000,0x4a00,#ad0000
4,70,7,96,19,#ba0000,0x4b00,#bd0000
4,74,1,84,7,#272700,0x6220,#292900
4,74,2,85,8,#1f1f00,0x0220,#212100
4,74,3,86,9,#171700,0x6110,#191900
4,74,4,87,10,#0f0f00,0x0110,#101000
4,74,5,88,11,#320000,0x0300,#310000
4,74,6,89,12,#430000,0x0400,#420000
4,76,1,77,0,#5e5e00,0x6550,#5a5a00
4,76,2,78,1,#565600,0x0550,#525200
4,76,3,79,2,#4f4f00,0x0550,#525200
4,79,1,84,7,#272700,0x6220,#292900
4,79,2,85,8,#1f1f00,0x0220,#212100
4,79,3,86,9,#171700,0x6110,#191900
4,79,4,87,10,#0f0f00,0x0110,#101000
5,34,1,77,0,#565600,0x0550,#525200
5,34,2,78,1,#4f4f00,0x0550,#525200
5,34,3,79,2,#474700,0x6440,#4a4a00
5,35,1,78,1,#4f4f00,0x0550,#525200
5,35,2,79,2,#474700,0x6440,#4a4a00
5,36,1,84,7,#1f1f00,0x0220,#212100
5,36,2,85,8,#171700,0x6110,#191900
5,36,3,86,9,#0f0f00,0x0110,#101000
5,36,4,87,10,#320000,0x0300,#310000
5,37,1,84,7,#1f1f00,0x0220,#212100
5,37,2,85,8,#171700,0x6110,#191900
5,37,3,86,9,#0f0f00,0x0110,#101000
5,37,4,87,10,#320000,0x0300,#310000
5,37,5,88,11,#430000,0x0400,#420000
5,38,1,79,2,#474700,0x6440,#4a4a00
5,38,2,80,3,#3f3f00,0x0440,#424200
5,38,3,81,4,#373700,0x6330,#3a3a00
5,38,4,82,5,#2f2f00,0x0330,#313100
5,38,5,83,6,#272700,0x6220,#292900
5,38,6,84,7,#1f1f00,0x0220,#212100
5,49,1,79,2,#474700,0x6440,#4a4a00
5,49,2,80,3,#3f3f00,0x0440,#424200
5,49,3,81,4,#373700,0x6330,#3a3a00
5,49,4,82,5,#2f2f00,0x0330,#313100
5,49,5,83,6,#272700,0x6220,#292900
5,49,6,84,7,#1f1f00,0x0220,#212100
5,50,1,90,13,#650000,0x0600,#630000
5,50,2,94,17,#a90000,0x4a00,#ad0000
5,50,3,95,18,#ba0000,0x4b00,#bd0000
5,56,1,77,0,#565600,0x0550,#525200
5,56,2,78,1,#4f4f00,0x0550,#525200
5,56,3,79,2,#474700,0x6440,#4a4a00
5,59,1,77,0,#565600,0x0550,#525200
5,59,2,78,1,#4f4f00,0x0550,#525200
5,59,3,79,2,#474700,0x6440,#4a4a00
5,60,1,83,6,#272700,0x6220,#292900
5,60,2,84,7,#1f1f00,0x0220,#212100
5,62,1,79,2,#474700,0x6440,#4a4a00
5,62,2,80,3,#3f3f00,0x0440,#424200
5,62,3,81,4,#373700,0x6330,#3a3a00
5,62,4,82,5,#2f2f00,0x0330,#313100
5,62,5,83,6,#272700,0x6220,#292900
5,62,6,84,7,#1f1f00,0x0220,#212100
5,63,1,84,7,#1f1f00,0x0220,#212100
5,63,2,85,8,#171700,0x6110,#191900
5,63,3,86,9,#0f0f00,0x0110,#101000
5,63,4,87,10,#320000,0x0300,#310000
5,63,5,90,13,#650000,0x0600,#630000
5,63,6,91,14,#760000,0x0700,#730000
5,64,1,84,7,#1f1f00,0x0220,#212100
5,64,2,85,8,#171700,0x6110,#191900
5,64,3,86,9,#0f0f00,0x0110,#101000
5,64,4,87,10,#320000,0x0300,#310000
5,64,5,88,11,#430000,0x0400,#420000
5,64,6,89,12,#540000,0x0500,#520000
5,65,1,90,13,#650000,0x0600,#630000
5,65,2,91,14,#760000,0x0700,#730000
5,65,3,92,15,#870000,0x0800,#840000
5,65,4,93,16,#980000,0x0900,#940000
5,65,5,94,17,#a90000,0x4a00,#ad0000
5,65,6,95,18,#ba0000,0x4b00,#bd0000
5,66,1,79,2,#474700,0x6440,#4a4a00
5,66,2,80,3,#3f3f00,0x0440,#424200
5,66,3,81,4,#373700,0x6330,#3a3a00
5,66,4,82,5,#2f2f00,0x0330,#313100
5,66,5,83,6,#272700,0x6220,#292900
5,66,6,84,7,#1f1f00,0x0220,#212100
5,68,1,79,2,#474700,0x6440,#4a4a00
5,68,2,80,3,#3f3f00,0x0440,#424200
5,68,3,84,7,#1f1f00,0x0220,#212100
5,69,1,90,13,#650000,0x0600,#630000
5,70,1,85,8,#171700,0x6110,#191900
5,70,2,86,9,#0f0f00,0x0110,#101000
5,70,3,87,10,#320000,0x0300,#310000
5,70,4,88,11,#430000,0x0400,#420000
5,70,5,89,12,#540000,0x0500,#520000
5,70,6,95,18,#ba0000,0x4b00,#bd0000
5,70,7,96,19,#cb0000,0x4c00,#ce0000
5,74,1,84,7,#1f1f00,0x0220,#212100
5,74,2,85,8,#171700,0x6110,#191900
5,74,3,86,9,#0f0f00,0x0110,#101000
5,74,4,87,10,#320000,0x0300,#310000
5,74,5,88,11,#430000,0x0400,#420000
5,74,6,89,12,#540000,0x0500,#520000
5,76,1,77,0,#565600,0x0550,#525200
5,76,2,78,1,#4f4f00,0x0550,#525200
5,76,3,79,2,#474700,0x6440,#4a4a00
5,79,1,84,7,#1f1f00,0x0220,#212100
5,79,2,85,8,#171700,0x6110,#191900
