palette,pen,source_index,role,track,source_rgb,neo_word,neo_rgb
16,0,0,transparent,,#000000,0x0000,#000000
16,1,1,static,,#ba6363,0x4b66,#bd6363
16,2,2,static,,#983232,0x0933,#943131
16,3,3,static,,#872d2d,0x3822,#842929
16,4,4,static,,#872409,0x1820,#842108
16,5,5,static,,#651b14,0x2611,#631910
16,6,6,static,,#cb7979,0x7c77,#ce7b7b
16,7,7,static,,#98473c,0x3943,#944a3a
16,8,8,static,,#561707,0x3510,#521908
16,9,9,static,,#dc7584,0x4d78,#de7384
16,10,10,static,,#875151,0x0855,#845252
16,11,18,static,,#005476,0x0057,#005273
16,12,20,static,,#3f1f07,0x1420,#422108
16,13,23,static,,#121b43,0x2114,#101942
16,14,26,static,,#a94f43,0x4a54,#ad5242
16,15,27,static,,#2f0000,0x0300,#310000
17,0,0,transparent,,#000000,0x0000,#000000
17,1,1,static,,#ba6363,0x4b66,#bd6363
17,2,2,static,,#983232,0x0933,#943131
17,3,3,static,,#872d2d,0x3822,#842929
17,4,4,static,,#872409,0x1820,#842108
17,5,5,static,,#651b14,0x2611,#631910
17,6,6,static,,#cb7979,0x7c77,#ce7b7b
17,7,7,static,,#98473c,0x3943,#944a3a
17,8,23,static,,#121b43,0x2114,#101942
17,9,26,static,,#a94f43,0x4a54,#ad5242
17,10,27,static,,#2f0000,0x0300,#310000
17,11,32,static,,#001654,0x2015,#001952
17,12,34,static,,#a94343,0x4a44,#ad4242
17,13,36,static,,#983c5b,0x3935,#943a5a
17,14,37,static,,#761700,0x2710,#731900
17,15,41,static,,#651b00,0x2610,#631900
18,0,0,transparent,,#000000,0x0000,#000000
18,1,1,static,,#ba6363,0x4b66,#bd6363
18,2,2,static,,#983232,0x0933,#943131
18,3,3,static,,#872d2d,0x3822,#842929
18,4,4,static,,#872409,0x1820,#842108
18,5,6,static,,#cb7979,0x7c77,#ce7b7b
18,6,7,static,,#98473c,0x3943,#944a3a
18,7,8,static,,#561707,0x3510,#521908
18,8,18,static,,#005476,0x0057,#005273
18,9,20,static,,#3f1f07,0x1420,#422108
18,10,21,static,,#873f2d,0x1842,#844229
18,11,23,static,,#121b43,0x2114,#101942
18,12,26,static,,#a94f43,0x4a54,#ad5242
18,13,27,static,,#2f0000,0x0300,#310000
18,14,29,static,,#3e1000,0x0410,#421000
18,15,41,static,,#651b00,0x2610,#631900
19,0,0,transparent,,#000000,0x0000,#000000
19,1,1,static,,#ba6363,0x4b66,#bd6363
19,2,2,static,,#983232,0x0933,#943131
19,3,3,static,,#872d2d,0x3822,#842929
19,4,4,static,,#872409,0x1820,#842108
19,5,9,static,,#dc7584,0x4d78,#de7384
19,6,10,static,,#875151,0x0855,#845252
19,7,12,static,,#54a9fe,0x35af,#52adff
19,8,13,static,,#fefefe,0x7fff,#ffffff
19,9,14,static,,#0a4784,0x6048,#084a84
19,10,16,static,,#092d63,0x6026,#082963
19,11,17,static,,#6f88ba,0x768b,#6b8cbd
19,12,18,static,,#005476,0x0057,#005273
19,13,19,static,,#3a66be,0x536b,#3a63bd
19,14,22,static,,#061b58,0x7015,#08195a
19,15,23,static,,#121b43,0x2114,#101942
20,0,0,transparent,,#000000,0x0000,#000000
20,1,1,static,,#ba6363,0x4b66,#bd6363
20,2,2,static,,#983232,0x0933,#943131
20,3,3,static,,#872d2d,0x3822,#842929
20,4,5,static,,#651b14,0x2611,#631910
20,5,6,static,,#cb7979,0x7c77,#ce7b7b
20,6,7,static,,#98473c,0x3943,#944a3a
20,7,8,static,,#561707,0x3510,#521908
20,8,9,static,,#dc7584,0x4d78,#de7384
20,9,10,static,,#875151,0x0855,#845252
20,10,11,static,,#3c1400,0x4310,#3a1000
20,11,17,static,,#6f88ba,0x768b,#6b8cbd
20,12,18,static,,#005476,0x0057,#005273
20,13,20,static,,#3f1f07,0x1420,#422108
20,14,21,static,,#873f2d,0x1842,#844229
20,15,26,static,,#a94f43,0x4a54,#ad5242
21,0,0,transparent,,#000000,0x0000,#000000
21,1,1,static,,#ba6363,0x4b66,#bd6363
21,2,2,static,,#983232,0x0933,#943131
21,3,3,static,,#872d2d,0x3822,#842929
21,4,6,static,,#cb7979,0x7c77,#ce7b7b
21,5,7,static,,#98473c,0x3943,#944a3a
21,6,12,static,,#54a9fe,0x35af,#52adff
21,7,13,static,,#fefefe,0x7fff,#ffffff
21,8,14,static,,#0a4784,0x6048,#084a84
21,9,16,static,,#092d63,0x6026,#082963
21,10,19,static,,#3a66be,0x536b,#3a63bd
21,11,22,static,,#061b58,0x7015,#08195a
21,12,26,static,,#a94f43,0x4a54,#ad5242
21,13,27,static,,#2f0000,0x0300,#310000
21,14,30,static,,#8798fe,0x189f,#8494ff
21,15,35,static,,#765600,0x0750,#735200
22,0,0,transparent,,#000000,0x0000,#000000
22,1,1,static,,#ba6363,0x4b66,#bd6363
22,2,2,static,,#983232,0x0933,#943131
22,3,4,static,,#872409,0x1820,#842108
22,4,6,static,,#cb7979,0x7c77,#ce7b7b
22,5,7,static,,#98473c,0x3943,#944a3a
22,6,8,static,,#561707,0x3510,#521908
22,7,13,static,,#fefefe,0x7fff,#ffffff
22,8,24,static,,#980000,0x0900,#940000
22,9,25,static,,#dc0000,0x4d00,#de0000
22,10,27,static,,#2f0000,0x0300,#310000
22,11,41,static,,#651b00,0x2610,#631900
22,12,44,static,,#ed8e6e,0x7e86,#ef8c6b
22,13,45,static,,#fe6500,0x4f60,#ff6300
22,14,46,static,,#985b3c,0x3953,#945a3a
22,15,48,static,,#430000,0x0400,#420000
23,0,0,transparent,,#000000,0x0000,#000000
23,1,1,static,,#ba6363,0x4b66,#bd6363
23,2,2,static,,#983232,0x0933,#943131
23,3,4,static,,#872409,0x1820,#842108
23,4,12,static,,#54a9fe,0x35af,#52adff
23,5,13,static,,#fefefe,0x7fff,#ffffff
23,6,14,static,,#0a4784,0x6048,#084a84
23,7,15,static,,#062f65,0x4036,#083163
23,8,19,static,,#3a66be,0x536b,#3a63bd
23,9,22,static,,#061b58,0x7015,#08195a
23,10,23,static,,#121b43,0x2114,#101942
23,11,25,static,,#dc0000,0x4d00,#de0000
23,12,26,static,,#a94f43,0x4a54,#ad5242
23,13,27,static,,#2f0000,0x0300,#310000
23,14,30,static,,#8798fe,0x189f,#8494ff
23,15,35,static,,#765600,0x0750,#735200
24,0,0,transparent,,#000000,0x0000,#000000
24,1,1,static,,#ba6363,0x4b66,#bd6363
24,2,2,static,,#983232,0x0933,#943131
24,3,6,static,,#cb7979,0x7c77,#ce7b7b
24,4,7,static,,#98473c,0x3943,#944a3a
24,5,13,static,,#fefefe,0x7fff,#ffffff
24,6,14,static,,#0a4784,0x6048,#084a84
24,7,16,static,,#092d63,0x6026,#082963
24,8,19,static,,#3a66be,0x536b,#3a63bd
24,9,23,static,,#121b43,0x2114,#101942
24,10,25,static,,#dc0000,0x4d00,#de0000
24,11,26,static,,#a94f43,0x4a54,#ad5242
24,12,28,static,,#002165,0x0026,#002163
24,13,30,static,,#8798fe,0x189f,#8494ff
24,14,48,static,,#430000,0x0400,#420000
24,15,49,static,,#651400,0x0610,#631000
25,0,0,transparent,,#000000,0x0000,#000000
25,1,1,static,,#ba6363,0x4b66,#bd6363
25,2,3,static,,#872d2d,0x3822,#842929
25,3,4,static,,#872409,0x1820,#842108
25,4,5,static,,#651b14,0x2611,#631910
25,5,6,static,,#cb7979,0x7c77,#ce7b7b
25,6,9,static,,#dc7584,0x4d78,#de7384
25,7,10,static,,#875151,0x0855,#845252
25,8,18,static,,#005476,0x0057,#005273
25,9,21,static,,#873f2d,0x1842,#844229
25,10,23,static,,#121b43,0x2114,#101942
25,11,26,static,,#a94f43,0x4a54,#ad5242
25,12,27,static,,#2f0000,0x0300,#310000
25,13,29,static,,#3e1000,0x0410,#421000
25,14,38,static,,#dc5866,0x6d56,#de5a63
25,15,43,static,,#982828,0x3922,#942929
26,0,0,transparent,,#000000,0x0000,#000000
26,1,1,static,,#ba6363,0x4b66,#bd6363
26,2,3,static,,#872d2d,0x3822,#842929
26,3,4,static,,#872409,0x1820,#842108
26,4,8,static,,#561707,0x3510,#521908
26,5,14,static,,#0a4784,0x6048,#084a84
26,6,16,static,,#092d63,0x6026,#082963
26,7,19,static,,#3a66be,0x536b,#3a63bd
26,8,20,static,,#3f1f07,0x1420,#422108
26,9,23,static,,#121b43,0x2114,#101942
26,10,27,static,,#2f0000,0x0300,#310000
26,11,30,static,,#8798fe,0x189f,#8494ff
26,12,32,static,,#001654,0x2015,#001952
26,13,33,static,,#3ab0dc,0x73ad,#3aadde
26,14,34,static,,#a94343,0x4a44,#ad4242
26,15,41,static,,#651b00,0x2610,#631900
27,0,0,transparent,,#000000,0x0000,#000000
27,1,1,static,,#ba6363,0x4b66,#bd6363
27,2,3,static,,#872d2d,0x3822,#842929
27,3,5,static,,#651b14,0x2611,#631910
27,4,6,static,,#cb7979,0x7c77,#ce7b7b
27,5,7,static,,#98473c,0x3943,#944a3a
27,6,8,static,,#561707,0x3510,#521908
27,7,11,static,,#3c1400,0x4310,#3a1000
27,8,17,static,,#6f88ba,0x768b,#6b8cbd
27,9,18,static,,#005476,0x0057,#005273
27,10,20,static,,#3f1f07,0x1420,#422108
27,11,21,static,,#873f2d,0x1842,#844229
27,12,23,static,,#121b43,0x2114,#101942
27,13,26,static,,#a94f43,0x4a54,#ad5242
27,14,27,static,,#2f0000,0x0300,#310000
27,15,29,static,,#3e1000,0x0410,#421000
28,0,0,transparent,,#000000,0x0000,#000000
28,1,1,static,,#ba6363,0x4b66,#bd6363
28,2,4,static,,#872409,0x1820,#842108
28,3,6,static,,#cb7979,0x7c77,#ce7b7b
28,4,7,static,,#98473c,0x3943,#944a3a
28,5,10,static,,#875151,0x0855,#845252
28,6,11,static,,#3c1400,0x4310,#3a1000
28,7,21,static,,#873f2d,0x1842,#844229
28,8,23,static,,#121b43,0x2114,#101942
28,9,27,static,,#2f0000,0x0300,#310000
28,10,29,static,,#3e1000,0x0410,#421000
28,11,33,static,,#3ab0dc,0x73ad,#3aadde
28,12,34,static,,#a94343,0x4a44,#ad4242
28,13,36,static,,#983c5b,0x3935,#943a5a
28,14,37,static,,#761700,0x2710,#731900
28,15,41,static,,#651b00,0x2610,#631900
29,0,0,transparent,,#000000,0x0000,#000000
29,1,1,static,,#ba6363,0x4b66,#bd6363
29,2,6,static,,#cb7979,0x7c77,#ce7b7b
29,3,7,static,,#98473c,0x3943,#944a3a
29,4,9,static,,#dc7584,0x4d78,#de7384
29,5,11,static,,#3c1400,0x4310,#3a1000
29,6,13,static,,#fefefe,0x7fff,#ffffff
29,7,17,static,,#6f88ba,0x768b,#6b8cbd
29,8,18,static,,#005476,0x0057,#005273
29,9,19,static,,#3a66be,0x536b,#3a63bd
29,10,23,static,,#121b43,0x2114,#101942
29,11,25,static,,#dc0000,0x4d00,#de0000
29,12,28,static,,#002165,0x0026,#002163
29,13,30,static,,#8798fe,0x189f,#8494ff
29,14,37,static,,#761700,0x2710,#731900
29,15,48,static,,#430000,0x0400,#420000
30,0,0,transparent,,#000000,0x0000,#000000
30,1,2,static,,#983232,0x0933,#943131
30,2,5,static,,#651b14,0x2611,#631910
30,3,6,static,,#cb7979,0x7c77,#ce7b7b
30,4,9,static,,#dc7584,0x4d78,#de7384
30,5,10,static,,#875151,0x0855,#845252
30,6,13,static,,#fefefe,0x7fff,#ffffff
30,7,17,static,,#6f88ba,0x768b,#6b8cbd
30,8,18,static,,#005476,0x0057,#005273
30,9,20,static,,#3f1f07,0x1420,#422108
30,10,21,static,,#873f2d,0x1842,#844229
30,11,23,static,,#121b43,0x2114,#101942
30,12,26,static,,#a94f43,0x4a54,#ad5242
30,13,27,static,,#2f0000,0x0300,#310000
30,14,29,static,,#3e1000,0x0410,#421000
30,15,31,static,,#4365a9,0x146a,#4263ad
31,0,0,transparent,,#000000,0x0000,#000000
31,1,3,static,,#872d2d,0x3822,#842929
31,2,5,static,,#651b14,0x2611,#631910
31,3,6,static,,#cb7979,0x7c77,#ce7b7b
31,4,7,static,,#98473c,0x3943,#944a3a
31,5,9,static,,#dc7584,0x4d78,#de7384
31,6,10,static,,#875151,0x0855,#845252
31,7,11,static,,#3c1400,0x4310,#3a1000
31,8,13,static,,#fefefe,0x7fff,#ffffff
31,9,17,static,,#6f88ba,0x768b,#6b8cbd
31,10,18,static,,#005476,0x0057,#005273
31,11,20,static,,#3f1f07,0x1420,#422108
31,12,21,static,,#873f2d,0x1842,#844229
31,13,23,static,,#121b43,0x2114,#101942
31,14,26,static,,#a94f43,0x4a54,#ad5242
31,15,27,static,,#2f0000,0x0300,#310000
32,0,0,transparent,,#000000,0x0000,#000000
32,1,3,static,,#872d2d,0x3822,#842929
32,2,7,static,,#98473c,0x3943,#944a3a
32,3,9,static,,#dc7584,0x4d78,#de7384
32,4,13,static,,#fefefe,0x7fff,#ffffff
32,5,14,static,,#0a4784,0x6048,#084a84
32,6,16,static,,#092d63,0x6026,#082963
32,7,17,static,,#6f88ba,0x768b,#6b8cbd
32,8,18,static,,#005476,0x0057,#005273
32,9,19,static,,#3a66be,0x536b,#3a63bd
32,10,22,static,,#061b58,0x7015,#08195a
32,11,23,static,,#121b43,0x2114,#101942
32,12,24,static,,#980000,0x0900,#940000
32,13,25,static,,#dc0000,0x4d00,#de0000
32,14,27,static,,#2f0000,0x0300,#310000
32,15,37,static,,#761700,0x2710,#731900
33,0,0,transparent,,#000000,0x0000,#000000
33,1,6,static,,#cb7979,0x7c77,#ce7b7b
33,2,9,static,,#dc7584,0x4d78,#de7384
33,3,11,static,,#3c1400,0x4310,#3a1000
33,4,12,static,,#54a9fe,0x35af,#52adff
33,5,13,static,,#fefefe,0x7fff,#ffffff
33,6,14,static,,#0a4784,0x6048,#084a84
33,7,17,static,,#6f88ba,0x768b,#6b8cbd
33,8,18,static,,#005476,0x0057,#005273
33,9,19,static,,#3a66be,0x536b,#3a63bd
33,10,21,static,,#873f2d,0x1842,#844229
33,11,23,static,,#121b43,0x2114,#101942
33,12,24,static,,#980000,0x0900,#940000
33,13,26,static,,#a94f43,0x4a54,#ad5242
33,14,28,static,,#002165,0x0026,#002163
33,15,31,static,,#4365a9,0x146a,#4263ad
34,0,0,transparent,,#000000,0x0000,#000000
34,1,77,animated_track,0,#ff00ff,0x0770,#737300
34,2,78,animated_track,1,#ff00b2,0x0770,#737300
34,3,79,animated_track,2,#ff0066,0x6660,#6b6b00
34,4,9,static,,#dc7584,0x4d78,#de7384
34,5,12,static,,#54a9fe,0x35af,#52adff
34,6,13,static,,#fefefe,0x7fff,#ffffff
34,7,14,static,,#0a4784,0x6048,#084a84
34,8,15,static,,#062f65,0x4036,#083163
34,9,17,static,,#6f88ba,0x768b,#6b8cbd
34,10,18,static,,#005476,0x0057,#005273
34,11,19,static,,#3a66be,0x536b,#3a63bd
34,12,21,static,,#873f2d,0x1842,#844229
34,13,23,static,,#121b43,0x2114,#101942
34,14,28,static,,#002165,0x0026,#002163
34,15,50,static,,#bababa,0x7bbb,#bdbdbd
35,0,0,transparent,,#000000,0x0000,#000000
35,1,78,animated_track,1,#ff00b2,0x0770,#737300
35,2,79,animated_track,2,#ff0066,0x6660,#6b6b00
35,3,9,static,,#dc7584,0x4d78,#de7384
35,4,13,static,,#fefefe,0x7fff,#ffffff
35,5,16,static,,#092d63,0x6026,#082963
35,6,17,static,,#6f88ba,0x768b,#6b8cbd
35,7,18,static,,#005476,0x0057,#005273
35,8,19,static,,#3a66be,0x536b,#3a63bd
35,9,23,static,,#121b43,0x2114,#101942
35,10,24,static,,#980000,0x0900,#940000
35,11,25,static,,#dc0000,0x4d00,#de0000
35,12,30,static,,#8798fe,0x189f,#8494ff
35,13,31,static,,#4365a9,0x146a,#4263ad
35,14,48,static,,#430000,0x0400,#420000
35,15,50,static,,#bababa,0x7bbb,#bdbdbd
36,0,0,transparent,,#000000,0x0000,#000000
36,1,84,animated_track,7,#e5ff00,0x6440,#4a4a00
36,2,85,animated_track,8,#99ff00,0x0440,#424200
36,3,86,animated_track,9,#4cff00,0x6330,#3a3a00
36,4,87,animated_track,10,#00ff00,0x0330,#313100
36,5,12,static,,#54a9fe,0x35af,#52adff
36,6,13,static,,#fefefe,0x7fff,#ffffff
36,7,14,static,,#0a4784,0x6048,#084a84
36,8,15,static,,#062f65,0x4036,#083163
36,9,22,static,,#061b58,0x7015,#08195a
36,10,23,static,,#121b43,0x2114,#101942
36,11,28,static,,#002165,0x0026,#002163
36,12,50,static,,#bababa,0x7bbb,#bdbdbd
36,13,53,static,,#020f1d,0x0012,#001021
36,14,54,static,,#01050c,0x3000,#000808
36,15,69,static,,#878787,0x0888,#848484
37,0,0,transparent,,#000000,0x0000,#000000
37,1,84,animated_track,7,#e5ff00,0x6440,#4a4a00
37,2,85,animated_track,8,#99ff00,0x0440,#424200
37,3,86,animated_track,9,#4cff00,0x6330,#3a3a00
37,4,87,animated_track,10,#00ff00,0x0330,#313100
37,5,88,animated_track,11,#00ff4c,0x6220,#292900
37,6,14,static,,#0a4784,0x6048,#084a84
37,7,15,static,,#062f65,0x4036,#083163
37,8,16,static,,#092d63,0x6026,#082963
37,9,23,static,,#121b43,0x2114,#101942
37,10,28,static,,#002165,0x0026,#002163
37,11,50,static,,#bababa,0x7bbb,#bdbdbd
37,12,53,static,,#020f1d,0x0012,#001021
37,13,54,static,,#01050c,0x3000,#000808
37,14,68,static,,#2d5a87,0x6258,#295a84
37,15,69,static,,#878787,0x0888,#848484
38,0,0,transparent,,#000000,0x0000,#000000
38,1,79,animated_track,2,#ff0066,0x6660,#6b6b00
38,2,80,animated_track,3,#ff0019,0x0660,#636300
38,3,81,animated_track,4,#ff3300,0x6550,#5a5a00
38,4,82,animated_track,5,#ff8000,0x0550,#525200
38,5,83,animated_track,6,#ffcc00,0x0550,#525200
38,6,84,animated_track,7,#e5ff00,0x6440,#4a4a00
38,7,16,static,,#092d63,0x6026,#082963
38,8,19,static,,#3a66be,0x536b,#3a63bd
38,9,23,static,,#121b43,0x2114,#101942
38,10,24,static,,#980000,0x0900,#940000
38,11,25,static,,#dc0000,0x4d00,#de0000
38,12,50,static,,#bababa,0x7bbb,#bdbdbd
38,13,54,static,,#01050c,0x3000,#000808
38,14,56,static,,#750000,0x0700,#730000
38,15,57,static,,#510000,0x0500,#520000
39,0,0,transparent,,#000000,0x0000,#000000
39,1,1,static,,#ba6363,0x4b66,#bd6363
39,2,2,static,,#983232,0x0933,#943131
39,3,3,static,,#872d2d,0x3822,#842929
39,4,4,static,,#872409,0x1820,#842108
39,5,5,static,,#651b14,0x2611,#631910
39,6,6,static,,#cb7979,0x7c77,#ce7b7b
39,7,7,static,,#98473c,0x3943,#944a3a
39,8,8,static,,#561707,0x3510,#521908
39,9,20,static,,#3f1f07,0x1420,#422108
39,10,24,static,,#980000,0x0900,#940000
39,11,25,static,,#dc0000,0x4d00,#de0000
39,12,26,static,,#a94f43,0x4a54,#ad5242
39,13,27,static,,#2f0000,0x0300,#310000
39,14,41,static,,#651b00,0x2610,#631900
39,15,48,static,,#430000,0x0400,#420000
40,0,0,transparent,,#000000,0x0000,#000000
40,1,1,static,,#ba6363,0x4b66,#bd6363
40,2,2,static,,#983232,0x0933,#943131
40,3,3,static,,#872d2d,0x3822,#842929
40,4,4,static,,#872409,0x1820,#842108
40,5,6,static,,#cb7979,0x7c77,#ce7b7b
40,6,7,static,,#98473c,0x3943,#944a3a
40,7,8,static,,#561707,0x3510,#521908
40,8,20,static,,#3f1f07,0x1420,#422108
40,9,25,static,,#dc0000,0x4d00,#de0000
40,10,26,static,,#a94f43,0x4a54,#ad5242
40,11,27,static,,#2f0000,0x0300,#310000
40,12,41,static,,#651b00,0x2610,#631900
40,13,48,static,,#430000,0x0400,#420000
40,14,49,static,,#651400,0x0610,#631000
40,15,0,static,,#000000,0x0000,#000000
41,0,0,transparent,,#000000,0x0000,#000000
41,1,1,static,,#ba6363,0x4b66,#bd6363
41,2,3,static,,#872d2d,0x3822,#842929
41,3,4,static,,#872409,0x1820,#842108
41,4,6,static,,#cb7979,0x7c77,#ce7b7b
41,5,7,static,,#98473c,0x3943,#944a3a
41,6,13,static,,#fefefe,0x7fff,#ffffff
41,7,15,static,,#062f65,0x4036,#083163
41,8,27,static,,#2f0000,0x0300,#310000
41,9,32,static,,#001654,0x2015,#001952
41,10,33,static,,#3ab0dc,0x73ad,#3aadde
41,11,34,static,,#a94343,0x4a44,#ad4242
41,12,36,static,,#983c5b,0x3935,#943a5a
41,13,37,static,,#761700,0x2710,#731900
41,14,41,static,,#651b00,0x2610,#631900
41,15,0,static,,#000000,0x0000,#000000
42,0,0,transparent,,#000000,0x0000,#000000
42,1,1,static,,#ba6363,0x4b66,#bd6363
42,2,5,static,,#651b14,0x2611,#631910
42,3,6,static,,#cb7979,0x7c77,#ce7b7b
42,4,7,static,,#98473c,0x3943,#944a3a
42,5,8,static,,#561707,0x3510,#521908
42,6,13,static,,#fefefe,0x7fff,#ffffff
42,7,20,static,,#3f1f07,0x1420,#422108
42,8,25,static,,#dc0000,0x4d00,#de0000
42,9,26,static,,#a94f43,0x4a54,#ad5242
42,10,27,static,,#2f0000,0x0300,#310000
42,11,37,static,,#761700,0x2710,#731900
42,12,41,static,,#651b00,0x2610,#631900
42,13,48,static,,#430000,0x0400,#420000
42,14,49,static,,#651400,0x0610,#631000
42,15,0,static,,#000000,0x0000,#000000
43,0,0,transparent,,#000000,0x0000,#000000
43,1,1,static,,#ba6363,0x4b66,#bd6363
43,2,6,static,,#cb7979,0x7c77,#ce7b7b
43,3,7,static,,#98473c,0x3943,#944a3a
43,4,9,static,,#dc7584,0x4d78,#de7384
43,5,10,static,,#875151,0x0855,#845252
43,6,11,static,,#3c1400,0x4310,#3a1000
43,7,13,static,,#fefefe,0x7fff,#ffffff
43,8,17,static,,#6f88ba,0x768b,#6b8cbd
43,9,18,static,,#005476,0x0057,#005273
43,10,21,static,,#873f2d,0x1842,#844229
43,11,23,static,,#121b43,0x2114,#101942
43,12,26,static,,#a94f43,0x4a54,#ad5242
43,13,27,static,,#2f0000,0x0300,#310000
43,14,29,static,,#3e1000,0x0410,#421000
43,15,31,static,,#4365a9,0x146a,#4263ad
44,0,0,transparent,,#000000,0x0000,#000000
44,1,1,static,,#ba6363,0x4b66,#bd6363
44,2,6,static,,#cb7979,0x7c77,#ce7b7b
44,3,9,static,,#dc7584,0x4d78,#de7384
44,4,13,static,,#fefefe,0x7fff,#ffffff
