x,y,tile,palette,source_visible_colours,output_visible_colours,marker_colours,changed_pixels
0,0,1,77,0,0,0,0
1,0,1,77,0,0,0,0
2,0,2,32,5,5,0,0
3,0,3,73,10,10,0,0
4,0,4,56,8,8,0,0
5,0,5,58,3,3,0,0
6,0,6,54,4,4,0,0
7,0,7,54,10,10,0,0
8,0,8,40,3,3,0,0
9,0,9,58,1,1,0,0
10,0,10,44,2,2,0,0
11,0,11,40,7,7,0,0
12,0,12,54,13,13,0,0
13,0,13,58,1,1,0,0
14,0,14,19,15,15,0,0
15,0,15,53,13,13,0,0
16,0,16,52,7,7,0,0
17,0,17,40,4,4,0,0
18,0,18,76,2,2,0,0
19,0,19,76,2,2,0,0
0,1,1,77,0,0,0,0
1,1,1,77,0,0,0,0
2,1,20,73,10,10,0,0
3,1,21,52,7,7,0,0
4,1,22,73,10,10,0,0
5,1,23,60,5,5,0,0
6,1,24,55,11,11,0,0
7,1,25,20,16,15,0,4
8,1,26,27,15,15,0,0
9,1,27,34,7,7,0,0
10,1,28,55,13,13,0,0
11,1,29,31,18,15,0,9
12,1,30,30,18,15,0,9
13,1,31,71,9,9,0,0
14,1,32,73,11,11,0,0
15,1,33,73,11,11,0,0
16,1,34,73,10,10,0,0
17,1,35,56,7,7,0,0
18,1,36,71,6,6,0,0
19,1,37,71,6,6,0,0
0,2,38,77,1,1,0,0
1,2,39,77,1,1,0,0
2,2,40,52,13,13,0,0
3,2,41,52,6,6,0,0
4,2,42,56,8,8,0,0
5,2,43,71,11,11,0,0
6,2,44,43,14,14,0,0
7,2,45,55,11,11,0,0
8,2,46,55,10,10,0,0
9,2,47,55,6,6,0,0
10,2,48,23,5,5,0,0
11,2,49,55,9,9,0,0
12,2,50,43,11,11,0,0
13,2,51,33,18,15,0,5
14,2,52,73,10,10,0,0
15,2,53,73,10,10,0,0
16,2,54,73,11,11,0,0
17,2,55,73,10,10,0,0
18,2,56,58,6,6,0,0
19,2,57,58,6,6,0,0
0,3,58,47,7,7,0,0
1,3,59,47,6,6,0,0
2,3,60,28,15,15,0,0
3,3,61,41,14,14,0,0
4,3,62,75,10,10,0,0
5,3,63,44,14,14,0,0
6,3,64,16,10,10,0,0
7,3,65,67,12,12,0,0
8,3,66,58,1,1,0,0
9,3,67,58,2,2,0,0
10,3,68,36,7,7,0,0
11,3,69,23,6,6,0,0
12,3,70,16,9,9,0,0
13,3,71,16,17,15,0,12
14,3,72,48,14,14,0,0
15,3,73,23,19,15,0,9
16,3,74,21,15,15,0,0
17,3,75,46,14,14,0,0
18,3,76,77,2,2,0,0
19,3,77,77,2,2,0,0
0,4,78,47,7,7,0,0
1,4,79,47,14,14,0,0
2,4,80,17,15,15,0,0
3,4,81,26,19,15,0,41
4,4,82,78,9,9,0,0
5,4,83,72,11,11,0,0
6,4,84,72,8,8,0,0
7,4,85,75,6,6,0,0
8,4,86,58,1,1,0,0
9,4,87,58,1,1,0,0
10,4,88,58,3,3,0,0
11,4,89,23,6,6,0,0
12,4,90,57,9,9,0,0
13,4,91,78,4,4,0,0
14,4,92,78,8,8,0,0
15,4,93,18,17,15,0,6
16,4,94,16,11,11,0,0
17,4,95,25,19,15,0,14
18,4,96,77,2,2,0,0
19,4,97,77,2,2,0,0
0,5,98,44,5,5,0,0
1,5,99,47,8,8,0,0
2,5,100,40,5,5,0,0
3,5,101,42,8,8,0,0
4,5,102,16,11,11,0,0
5,5,103,72,11,11,0,0
6,5,104,75,4,4,0,0
7,5,105,73,11,11,0,0
8,5,106,73,11,11,0,0
9,5,107,73,11,11,0,0
10,5,108,56,7,7,0,0
11,5,109,56,8,8,0,0
12,5,110,57,13,13,0,0
13,5,111,57,9,9,0,0
14,5,112,22,21,15,0,19
15,5,113,42,12,12,0,0
16,5,114,42,14,14,0,0
17,5,115,77,9,9,0,0
18,5,116,48,5,5,0,0
19,5,117,77,2,2,0,0
0,6,118,25,9,9,0,0
1,6,119,16,9,9,0,0
2,6,120,16,11,11,0,0
3,6,121,16,11,11,0,0
4,6,122,40,7,7,0,0
5,6,123,67,11,11,0,0
6,6,124,71,5,5,0,0
7,6,125,73,11,11,0,0
8,6,126,73,11,11,0,0
9,6,127,56,11,11,0,0
10,6,128,73,9,9,0,0
11,6,129,56,8,8,0,0
12,6,130,45,7,7,0,0
