index,red,green,blue,rgb,role,source_rgb
0,0,0,0,#000000,original,
1,186,99,99,#ba6363,original,
2,152,50,50,#983232,original,
3,135,45,45,#872d2d,original,
4,135,36,9,#872409,original,
5,101,27,20,#651b14,original,
6,203,121,121,#cb7979,original,
7,152,71,60,#98473c,original,
8,86,23,7,#561707,original,
9,220,117,132,#dc7584,original,
10,135,81,81,#875151,original,
11,60,20,0,#3c1400,original,
12,84,169,254,#54a9fe,original,
13,254,254,254,#fefefe,original,
14,10,71,132,#0a4784,original,
15,6,47,101,#062f65,original,
16,9,45,99,#092d63,original,
17,111,136,186,#6f88ba,original,
18,0,84,118,#005476,original,
19,58,102,190,#3a66be,original,
20,63,31,7,#3f1f07,original,
21,135,63,45,#873f2d,original,
22,6,27,88,#061b58,original,
23,18,27,67,#121b43,original,
24,152,0,0,#980000,original,
25,220,0,0,#dc0000,original,
26,169,79,67,#a94f43,original,
27,47,0,0,#2f0000,original,
28,0,33,101,#002165,original,
29,62,16,0,#3e1000,original,
30,135,152,254,#8798fe,original,
31,67,101,169,#4365a9,original,
32,0,22,84,#001654,original,
33,58,176,220,#3ab0dc,original,
34,169,67,67,#a94343,original,
35,118,86,0,#765600,original,
36,152,60,91,#983c5b,original,
37,118,23,0,#761700,original,
38,220,88,102,#dc5866,original,
39,84,45,0,#542d00,original,
40,118,71,63,#76473f,original,
41,101,27,0,#651b00,original,
42,67,31,31,#431f1f,original,
43,152,40,40,#982828,original,
44,237,142,110,#ed8e6e,original,
45,254,101,0,#fe6500,original,
46,152,91,60,#985b3c,original,
47,3,10,0,#030a00,original,
48,67,0,0,#430000,original,
49,101,20,0,#651400,original,
50,186,186,186,#bababa,original,
51,118,118,0,#767600,original,
52,110,110,0,#6e6e00,original,
53,2,15,29,#020f1d,original,
54,1,5,12,#01050c,original,
55,27,47,88,#1b2f58,original,
56,117,0,0,#750000,original,
57,81,0,0,#510000,original,
58,36,0,0,#240000,original,
59,102,102,0,#666600,original,
60,94,94,0,#5e5e00,original,
61,86,86,0,#565600,original,
62,79,79,0,#4f4f00,original,
63,71,71,0,#474700,original,
64,63,63,0,#3f3f00,original,
65,55,55,0,#373700,original,
66,47,47,0,#2f2f00,original,
67,39,39,0,#272700,original,
68,45,90,135,#2d5a87,original,
69,135,135,135,#878787,original,
70,31,31,0,#1f1f00,original,
71,23,23,0,#171700,original,
72,15,15,0,#0f0f00,original,
73,50,0,0,#320000,original,
74,84,0,0,#540000,original,
75,101,0,0,#650000,original,
76,118,0,0,#760000,original,
