ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: demo-001-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 55

0000 0001 0002 0002 0002 0002 0002 0002 0002 0002 0002 0003 0002 0002 0002 0002 0002 0002 0002 0002 0002 0004 0005 0002 0002 0002 0002 0002 0002 0002 0002 0002
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009
0006 000C 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 000D 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 000E 000F 000B 0008
0006 0010 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0011 0012 000F 000B
0006 0013 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 000E 000F 0014 0008 0009 000A 0015 0016 0009 000A 000B 0008 0009 000A 000B 0011 0017 000A
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0018 0017 000A 000B 0008 0009 0018 0019 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009
0006 000C 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008
0006 0010 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 001A 0009 000A 000B
0006 0013 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A
0006 0007 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009
0006 000C 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 0009 000A 000B 0008 001B 000A 000B 0008
