level,unique_playfield_tiles,unique_motion_object_tiles,occupied_motion_object_cells,connected_motion_object_groups,packed_motion_object_atlas_tiles
demo-001,55,34,35,5,128
level-001,38,105,150,20,576
level-002,39,73,99,22,288
level-003,41,83,175,39,384
level-004,43,82,127,19,288
level-005,60,85,157,22,576
level-006,41,92,145,24,384
level-007,48,194,356,25,1600
level-008,45,90,206,25,544
level-009,58,140,299,26,1376
level-010,66,196,313,19,1024
level-011,53,159,244,33,800
level-012,55,91,182,26,512
level-013,55,163,256,26,800
level-014,47,263,505,8,1248
level-015,66,126,211,30,832
level-016,70,142,239,21,992
level-017,69,123,187,33,448
level-018,39,179,347,31,960
level-019,59,167,308,29,992
level-020,34,67,273,29,1600
level-021,58,179,300,20,768
level-022,40,149,325,14,896
level-023,48,193,389,20,1280
level-024,52,168,323,29,864
level-025,77,148,210,39,736
level-026,27,133,309,19,832
level-027,57,147,302,32,992
level-028,45,143,246,26,704
level-029,36,137,349,5,1184
level-030,62,139,255,30,736
level-031,45,115,188,26,480
level-032,52,203,424,20,1280
level-033,81,139,226,25,704
level-034,28,176,474,7,992
level-035,54,247,475,23,1376
level-036,59,190,343,17,1088
level-037,61,117,201,23,1056
level-038,54,116,192,32,512
level-039,60,129,215,24,960
level-040,50,223,337,21,1056
level-041,64,154,226,27,640
level-042,61,86,143,36,320
level-043,49,159,262,26,640
level-044,75,235,336,25,1184
level-045,72,98,146,34,384
level-046,61,162,265,32,832
level-047,49,161,245,20,1120
level-048,57,199,322,25,1632
level-049,66,151,243,24,672
level-050,46,130,187,35,480
level-051,57,159,252,35,928
level-052,71,160,271,34,864
level-053,67,123,180,30,512
level-054,58,101,171,34,448
level-055,58,133,244,27,672
level-056,45,90,141,23,480
level-057,48,128,318,25,2144
level-058,50,197,374,28,1344
level-059,62,112,209,31,576
level-060,65,143,230,23,800
level-061,19,140,380,22,1344
level-062,56,123,216,30,704
level-063,36,91,163,25,416
level-064,61,158,246,31,576
level-065,50,153,228,18,672
level-066,55,119,225,37,608
level-067,46,165,328,24,1184
level-068,65,223,362,30,1248
level-069,65,189,318,28,1248
level-070,57,145,296,31,1152
level-071,93,125,163,25,512
level-072,76,177,296,24,1152
level-073,57,124,192,33,832
level-074,87,182,278,34,928
level-075,70,148,228,25,960
level-076,83,116,197,35,608
level-077,76,90,133,18,384
level-078,48,123,261,30,704
level-079,40,80,179,25,608
level-080,59,147,235,22,800
level-081,63,125,179,22,608
level-082,82,172,284,22,1248
level-083,52,197,291,17,1024
level-084,76,93,129,26,352
level-085,59,170,277,24,992
level-086,57,178,257,32,640
level-087,58,242,367,28,1408
level-088,64,163,231,23,992
level-089,88,181,306,26,1216
level-090,53,155,209,21,736
level-091,56,101,168,26,384
level-092,66,132,187,30,352
level-093,84,213,386,29,1408
level-094,62,125,197,27,800
level-095,65,161,232,33,704
level-096,64,147,239,33,608
level-097,73,205,322,21,1184
level-098,47,213,405,19,1600
level-099,54,153,237,29,832
level-100,72,91,135,24,384
level-101,74,142,257,12,864
level-102,46,136,382,5,1216
level-103,56,37,44,10,224
secret-room-01,69,109,189,19,736
secret-room-02,97,93,226,15,768
treasure-room-01,54,88,279,31,704
treasure-room-02,22,63,537,10,1152
treasure-room-03,52,103,332,31,864
treasure-room-04,47,63,305,22,800
treasure-room-05,29,65,558,13,1568
treasure-room-06,55,142,518,8,1408
treasure-room-07,73,152,426,22,1248
treasure-room-08,36,95,572,6,1376
treasure-room-09,50,97,381,29,1440
treasure-room-10,57,137,591,5,1184
treasure-room-11,55,76,372,48,864
