ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-007.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1600
UNIQUE_PIXEL_TILES: 194
CONNECTED_OBJECT_GROUPS: 25

0020 0021 0000 0000 0000 0000 0000 002A 002B 002C 0000 002E 002F 0000 0000 0032 0033 0034 0000 0000 0000 0000 0323 0324 0325 0000 0328 0329 032A 0000 0000 0000
0040 0041 0042 0000 0047 0048 0049 004A 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0000 0340 0341 0342 0343 0344 0345 0000 0348 0349 034A 0000 0000 0000
0000 0000 0000 0000 0000 0000 0069 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0368 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0089 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0388 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 00A9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03A8 0000 0000 0000 0000 0000
00C3 00C4 00C5 0000 0000 0000 00C9 00CA 00CB 0000 0000 00CE 00CF 00D0 0000 0000 0000 00D4 00D5 00D6 0000 0000 0000 0000 03C6 03C7 03C8 03C9 03CA 0000 0000 0000
0000 00E4 00E5 00E6 00E7 00E8 00E9 00EA 00EB 00EC 00ED 00EE 00EF 00F0 00F1 00F2 00F3 00F4 00F5 00F6 0000 0000 0000 0000 0000 0000 03E8 0000 0000 0000 0000 03ED
0103 0000 0000 0000 0107 0108 0109 010A 010B 0000 0000 010E 010F 0110 0000 0112 0113 0114 0000 0116 0117 0000 0000 0000 0000 0407 0408 0409 040A 040B 040C 040D
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0130 0000 0000 0000 0000 0000 0136 0000 0000 0000 0000 0000 0000 0000 0429 0000 0000 0000 0000
032E 032F 0330 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0150 0000 0000 0000 0000 0000 0156 0157 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0332
034E 034F 0350 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0170 0000 0000 0000 0000 0000 0176 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0351 0352
0000 0000 0000 0000 0000 0000 0335 0336 0337 0000 0000 0000 0000 0190 0000 0000 0000 0000 0000 0196 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
033B 033C 033D 0000 0000 0000 0355 0356 0357 0000 0000 0000 0000 0000 01B1 0000 0000 0000 01B5 01B6 01B7 0000 0000 0000 0000 01BC 0000 0000 0000 0000 033E 033F
0000 0000 0000 0000 0373 0374 0375 0376 0377 0378 0379 037A 0000 0000 0000 0000 0000 0000 0000 0000 01D7 01D8 01D9 01DA 01DB 01DC 0000 0000 0000 0000 0000 0000
0460 0461 0462 0000 0393 0394 0395 0396 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01F6 01F7 0000 0000 0000 0000 01FC 01FD 01FE 0000 0000 0000 0000
0480 0481 0482 0000 0000 0000 03B5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0463 0000 0000 0216 0000 0000 0000 0000 0000 021C 021D 0000 0000 0000 0465 0466
04A0 04A1 04A2 0000 0000 0000 03D5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0483 0484 0000 0236 0000 0000 0000 0000 0000 0000 023D 0000 0000 0000 0485 0486
0000 0000 0000 0000 0000 0000 03F5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0256 0000 0000 0000 0000 0000 025C 025D 0000 0000 0000 0000 0000
0467 0468 0469 0000 0000 0000 0415 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0276 0277 0000 0000 0000 0000 027C 0000 0000 0000 0000 0000 046F
0000 0000 0000 0000 0000 0000 0435 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0297 0298 0299 029A 029B 0000 0000 0000 048C 048D 048E 048F
0470 0471 0000 0000 0000 0000 0455 0456 0457 0000 0000 0000 0000 0472 0473 0474 0000 02B4 02B5 02B6 02B7 02B8 0000 0000 0000 0000 04AA 04AB 04AC 0000 04AE 04AF
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0492 0000 0000 0000 0000 0000 02D6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0475 0476 0477 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04B2 0000 0000 0000 0000 0000 02F6 0000 0000 0000 0000 0000 0000 0478 0000 0000 0000 0479 047A
0495 0496 0497 0000 0000 0000 0000 04E7 0000 0000 0000 0000 0000 04D2 0000 0000 0000 0000 0000 0316 0000 0000 0000 0000 0000 0000 0498 0000 0000 0000 0499 049A
0000 0000 0000 0000 0000 0000 0506 0507 0508 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0521 0000 0000 0000 0525 0526 0527 0528 0000 0000 052B 052C 052D 052E 052F 0000 0531 0532 0533 0000 0000 0000 0000 04F6 04F7 04F8 0000 0000 0000 0000 0000
0540 0541 0542 0543 0544 0545 0546 0000 0548 0549 054A 054B 054C 054D 0000 054F 0550 0551 0552 0000 0000 0000 0000 0000 0000 0000 0518 0519 051A 051B 051C 0000
0560 0561 0562 0000 0000 0565 0566 0567 0000 0000 0000 056B 056C 056D 056E 0000 0000 0000 0572 0573 0574 0575 0000 0000 0000 0000 0538 0539 053A 0000 053C 053D
