ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-008.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 544
UNIQUE_PIXEL_TILES: 90
CONNECTED_OBJECT_GROUPS: 25

0020 0021 0022 0000 0000 0000 0000 0000 0023 0024 0025 0026 0027 0028 0029 002A 002B 002C 0000 0000 0000 002D 002E 002F 0000 0000 0000 0000 0000 0000 0030 0000
0040 0041 0042 0000 0000 0000 0000 0000 0043 0044 0045 0046 0047 0048 0049 004A 004B 004C 0000 0000 0000 004D 004E 004F 0000 0000 0000 0000 0000 0000 0050 0051
0060 0061 0062 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0032 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0033 0034 0035 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0038 0039
0052 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0053 0054 0055 0000 0000 0000 0000 0000 0000 0000 0000 0000 0056 0057 0058 0059
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 003A 003B 003C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 003D 003E 003F 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 005A 005B 005C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0083 0084 0085 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 00A3 00A4 00A5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0086 0087 0088 0000 0000 0000 0000 0000 0000
00C0 00C1 00C2 00C3 00C4 00C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00A6 00A7 00A8 0000 0000 0000 0000 0000 0000
00E0 00E1 00E2 00E3 00E4 00E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0089 008A 008B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00A9 00AA 00AB 0000 008C 008D 008E 0000 0000 0000 0000 0000 0000 0000 0000 0000
008F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00AC 00AD 00AE 0000 0000 0000 0000 0000 0091 0092 0093 0094
00AF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B1 00B2 00B3 00B4
00CF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D3 00D4
00EF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0095 0096 0097 0000 0000 0000 0000 0000 0000 00F0 00F1 00F2 00F3 00F4
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0098 0099 009A 0000 0000 0000 0000 00B5 00B6 00B7 0000 0000 0000 0000 0000 0000 0110 0111 0112 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B8 00B9 00BA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
009B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0125 0126
