ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-010.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1024
UNIQUE_PIXEL_TILES: 196
CONNECTED_OBJECT_GROUPS: 19

0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0028 0029 002A 002B 002C 002D 002E 002F 0030 0031 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0032 0000 0000 0000 0000 0000 0000 0044 0045 0046 0047 0048 0049 004A 004B 004C 004D 004E 004F 0050 0051 0000 0000 0000 0000 0000 0000 0000 0000 0000 0039 003A
0052 0000 0000 0000 0000 0062 0063 0064 0065 0066 0067 0000 0069 006A 006B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0056 0057 0058 0059 005A
0000 0000 0000 0000 0081 0082 0083 0084 0085 0086 0000 0000 0089 008A 008B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0076 0077 0078 0000 0000
0000 0000 0000 00A0 00A1 00A2 00A3 0000 0000 0000 0000 0000 0000 00AA 00AB 00AC 0000 0000 0000 0000 0000 0000 0000 0000 0093 0094 0095 0096 0000 0000 0000 0000
0000 0000 0000 00C0 00C1 00C2 00C3 0000 0000 0000 0000 0000 0000 00CA 00CB 00CC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 00E0 00E1 00E2 00E3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 003B 003C 003D 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0100 0101 0102 0000 0000 0105 0106 0107 0000 0000 0000 0000 0000 0000 0000 0000 0000 005B 005C 005D 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0120 0121 0122 0123 0124 0125 0126 0127 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0141 0142 0143 0144 0145 0000 0000 0000 0000 0000 0000 0000 0000 0000 0160 0161 0162 0000 0163 0164 0165 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0167 0168 0169 016A 0000 016C 016D 016E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0186 0187 0188 0189 018A 018B 018C 018D 018E 018F 0000 0000 0170 0171 0172 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 01AA 01AB 01AC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 01C9 01CA 01CB 01CC 01CD 0000 0000 0000 0000 0000 0000 0000 0173 0174 0175 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0176 0000 0000 0000 017A
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0196 0197 0198 0199 0000
0000 0000 0000 0000 0204 0205 0206 0207 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B7 01B8 01B9 0000
