ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: level-014-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 47

0000 0001 0002 0003 0001 0002 0003 0001 0002 0002 0002 0002 0002 0002 0003 0001 0002 0002 0002 0004 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002 0002
0005 0006 0007 0008 0009 000A 0008 000B 000C 000A 0007 000D 000C 000A 0008 000B 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D
0005 000E 000F 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007
0010 0011 0009 000A 0007 000D 0012 000F 0007 000D 000C 0013 0014 000D 000C 000A 0007 0015 0016 000A 0007 0015 0016 000A 0007 000D 000C 000A 0007 0015 0016 0017
0005 0018 000D 000C 000A 0007 0019 0009 000A 0007 000D 0019 001A 0007 000D 000C 000A 001B 001C 000C 000A 0019 000B 000C 000A 001D 001E 000C 000A 0019 000B 000C
0005 001F 0014 000D 0012 000F 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 0008 0020 000D 000C 000A 0007 000D 000C 0019 0020 000D 000C 000A 0007 000D
0010 0011 001A 0007 0019 0009 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 0015 0021 000F 0007 000D 000C 000A 0007 000D 000C 000A 0007
0005 001C 000C 000A 0007 000D 000C 000A 0007 000D 000C 0013 0014 000D 000C 000A 0007 000D 000C 000A 0022 0023 0009 000A 0007 000D 000C 000A 0007 000D 000C 000A
0005 0018 000D 0012 000F 0007 000D 000C 000A 0007 000D 0019 0024 0014 000D 0012 000F 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C
0005 0006 0007 001B 0025 000A 0007 0015 0021 000F 0007 000D 0019 001A 0007 0019 0009 000A 0007 000D 000C 0013 0014 000D 0012 000F 0007 000D 000C 0013 0014 000D
0005 0025 000A 0008 000B 000C 000A 0022 0023 0009 000A 0007 000D 000C 000A 0007 0015 0016 000A 0007 000D 001B 0006 0007 0019 0009 000A 0007 000D 0019 001A 0007
0005 001C 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0019 000B 000C 000A 0007 0005 0025 000A 0007 0015 0016 000A 0007 000D 000C 000A
0005 0018 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0008 000B 000C 000A 001B 001C 000C 000A 0007 000D 000C
0005 0006 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 0012 000F 0007 000D 0012 0026 0014 000D 000C 000A 0007 000D 000C 0008 0020 000D 000C 000A 0007 000D
0005 0025 000A 0007 000D 000C 000A 0007 0015 0016 000A 001D 0027 0009 000A 0007 0022 0023 001A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0017
0005 001C 000C 000A 0007 000D 000C 0013 0027 000B 000C 0019 0020 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 001D 0028 0016 000A
0005 0018 000D 000C 000A 001D 001E 0019 001A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 001D 001E 000C 000A 0007 000D 000C 0022 0023 000B 000C
0005 0006 0007 000D 0012 0027 0020 000D 000C 000A 0007 000D 0012 000F 0007 0015 0016 000A 0007 000D 000C 0019 0020 000D 000C 000A 0007 000D 000C 000A 0007 000D
0005 0025 000A 0007 0019 0009 000A 0007 000D 000C 000A 0007 0019 0009 0013 0027 000B 000C 000A 0007 000D 000C 000A 0007 000D 000C 0013 0014 000D 000C 000A 0007
0005 001C 000C 000A 0007 000D 000C 000A 0007 0015 0016 000A 0007 000D 0019 001A 0007 000D 000C 000A 0007 000D 0012 000F 0007 0015 0027 001A 0007 000D 000C 000A
0005 0018 000D 000C 000A 0007 000D 000C 000A 0019 000B 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 0019 0009 000A 0019 000B 000C 000A 0007 000D 000C
0005 0006 0007 000D 000C 0013 0014 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 0015 0016 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D
0005 0025 000A 0007 000D 0019 001A 0007 000D 000C 000A 0007 000D 000C 0013 0014 000D 000C 0013 0027 000B 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007
0005 001C 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 0019 0024 0014 000D 0019 001A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 0017
0005 0018 000D 000C 000A 0007 000D 000C 000A 001D 001E 000C 000A 0007 000D 0019 001A 0007 000D 000C 000A 001D 001E 000C 0013 0014 000D 000C 0013 0014 000D 000C
0005 0006 0007 000D 0012 000F 0007 000D 0012 0027 0020 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 001B 0018 000D 0019 001A 0007 000D 0019 0024 0014 000D
0005 0025 000A 0007 0019 0009 000A 0007 0019 0009 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 0008 001A 0007 000D 000C 000A 0007 0015 0027 001A 0007
0005 001C 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 001D 0028 0016 000A 0007 000D 0012 0026 0014 000D 000C 000A 0007 000D 000C 000A 0019 000B 000C 000A
0005 0018 000D 0012 000F 0007 000D 000C 000A 001D 001E 000C 0022 0023 000B 000C 000A 0007 0022 0023 001A 0007 000D 000C 0013 0014 000D 000C 000A 0007 000D 000C
0005 0006 0007 0019 0029 000F 0007 000D 000C 0019 0020 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 0019 0024 0014 000D 000C 000A 0007 000D
0005 0017 000A 0007 0019 0009 000A 0007 000D 000C 000A 0007 000D 000C 000A 0007 000D 000C 000A 001D 001E 000C 000A 0007 000D 0019 001A 0007 000D 000C 000A 0007
002A 002B 0021 0026 002C 0028 0021 0026 002C 0028 0021 0026 002C 0028 0017 0026 002C 0028 0021 002D 002E 0017 0021 0026 002C 0028 0021 0026 002C 0028 0021 0017
