ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-024.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 864
UNIQUE_PIXEL_TILES: 168
CONNECTED_OBJECT_GROUPS: 29

0000 0000 0000 0000 0000 0020 0021 0022 0023 0024 0000 0000 0000 0026 0027 0000 0000 0000 0000 0028 0029 002A 002B 002C 0000 002D 002E 002F 0030 0031 0000 0000
0034 0035 0000 0000 0000 0040 0041 0042 0043 0044 0000 0000 0045 0046 0047 0000 0000 0000 0000 0048 0049 004A 004B 004C 0000 004D 004E 004F 0050 0051 0052 0053
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0067 0068 0000 006A 006B 006C 006D 006E 0000 0000 0000 00E0 00E1 00E2 00E3 00E4 00E5 00E6 00E7 00E8 00E9 00EA 00EB 0000 0000
0000 0000 0000 0000 0000 0000 0086 0087 0088 0000 008A 008B 008C 008D 008E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A0 00A1 00A2 00A3 00A4 00A5 00A6 00A7 00A8 00A9 00AA 0000 0000 0000 0000 00AF 00B0 00B1 00B2 00B3 00B4 00B5 00B6 00B7 00B8 00B9 00BA 00BB 00BC 00BD 00BE 00BF
00C0 00C1 00C2 00C3 00C4 00C5 00C6 00C7 00C8 00C9 00CA 0000 0000 0000 0000 00CF 00D0 00D1 00D2 00D3 00D4 00D5 00D6 00D7 00D8 00D9 00DA 00DB 00DC 00DD 00DE 00DF
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00ED 00EE 00EF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00F7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 010D 010E 010F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F8 00F9
0117 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 012D 012E 012F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0118 0119
0000 0000 0000 0000 00FA 00FB 00FC 0000 0000 0000 0000 014D 014E 014F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 011A 011B 011C 0000 0000 0000 0000 016D 016E 016F 0170 0171 0172 0000 0242 0243 0244 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 013A 013B 013C 0000 0000 0000 018C 018D 018E 0000 0000 0000 0000 0000 0262 0263 0264 0265 0266 0000 0000 0247 0248 0249 0000 0000 0000 0000
0000 0000 0000 0000 015A 015B 015C 0000 0000 0000 01AC 01AD 01AE 0000 0000 0000 0280 0281 0282 0000 0000 0000 0000 0000 0000 0267 0268 0269 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01CD 01CE 01CF 01D0 0000 02A0 02A1 02A2 0000 0000 0000 024A 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 024C 024D 024E 0000 0000 01EC 01ED 01EE 01EF 01F0 0000 0000 0000 0000 0000 0000 0000 026A 026B 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 026C 026D 026E 0000 0000 0000 0000 0000 0000 0000 0211 0212 0213 0214 0215 0216 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0250 0251 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0231 0232 0233 0234 0235 0236 0000 0000 0000 0000 0000 0000 0255 0256 0257 0000 0000
026F 0270 0271 0272 0273 0274 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0275 0276 0277 0000 0000
028F 0290 0291 0000 0000 0000 0000 0000 0258 0259 025A 025B 0000 0000 0000 025D 025E 025F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0278 0279 027A 027B 0000 0000 027C 027D 027E 027F 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C0 02C1 02C2 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E0 02E1 02E2 02E3 02E4
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0302 0303 0304
0000 0000 0000 0000 0000 0000 02C6 02C7 0000 0000 02C9 0000 0000 0000 02CB 02CC 02CD 0000 02CE 02CF 02D0 0000 0000 0000 0000 0000 0000 0320 0321 0322 0000 0000
0000 0000 0000 0000 0000 02E5 02E6 02E7 0000 02E8 02E9 02EA 0000 0000 02EB 02EC 02ED 0000 02EE 02EF 02F0 02F1 02F2 0000 0000 0000 0000 0340 0341 0342 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 030C 030D 0000 0000 0000 0310 0311 0312 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 032B 032C 032D 0000 0000 0000 0330 0331 0332 0000 0000 0000 0000 02D3 02D4 02D5 0000 0000
0000 0000 0000 0000 02D8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02F3 02F4 02F5 0000 0000
02D9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0316 0317
02F9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02DA 02DB 02DC 0000 0000 0000 0000 0000 0000 02DD 02DE 02DF 0000 0000 0000 0000 0000 0335 0336 0337
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02FA 02FB 02FC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0355 0356 0357
