ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-026.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 832
UNIQUE_PIXEL_TILES: 133
CONNECTED_OBJECT_GROUPS: 19

0000 0000 0020 0000 0022 0000 0000 0024 0025 0026 0000 0027 0028 0029 002A 002B 0000 002C 002D 002E 002F 0000 0031 0032 0033 0034 0035 0000 0036 0037 0038 0039
0000 0000 0040 0000 0042 0000 0043 0044 0045 0046 0000 0047 0048 0049 004A 004B 0000 004C 004D 004E 004F 0000 0051 0052 0053 0054 0055 0000 0056 0057 0058 0059
0000 0000 0060 0000 0062 0000 0063 0064 0065 0066 0000 0000 0068 0069 006A 0000 0000 006C 006D 006E 006F 0000 0071 0072 0073 0074 0075 0000 0076 0000 0000 0079
003A 0000 0080 0081 0082 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 008C 008D 008E 008F 0090 0000 0000 0000 0000 0000 0000 0096 0097 0098 0099
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A0 00A1 00A2 00A3 00A4 00A5 00A6 00A7 00A8 00A9 00AA 00AB 00AC 00AD 00AE 00AF 00B0 00B1 00B2 00B3 00B4 00B5 00B6 00B7 00B8 00B9 00BA 00BB 00BC 00BD 00BE 00BF
00C0 00C1 00C2 00C3 00C4 00C5 00C6 00C7 00C8 00C9 00CA 00CB 00CC 00CD 00CE 00CF 00D0 00D1 00D2 00D3 00D4 00D5 00D6 00D7 00D8 00D9 00DA 00DB 00DC 00DD 0000 0000
00E0 00E1 00E2 00E3 00E4 00E5 00E6 00E7 00E8 00E9 00EA 00EB 00EC 00ED 00EE 00EF 00F0 00F1 00F2 00F3 00F4 00F5 00F6 00F7 00F8 00F9 00FA 00FB 00FC 00FD 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 010A 010B 010C 010D 010E 0000 0110 0111 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0140 0141 0000 0000 0142 0143 0144 0000 0000 0129 012A 012B 012C 012D 012E 012F 0130 0131 0000 0000 0000 0145 0146 0147 0000 0148 0149 014A 014B 0000 0000 014C
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0173 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
