ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-028.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 704
UNIQUE_PIXEL_TILES: 143
CONNECTED_OBJECT_GROUPS: 26

0000 0000 0000 0020 0021 0022 0023 0024 0025 0000 0026 0027 0028 0029 002A 0000 002B 002C 002D 002E 002F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0040 0041 0042 0043 0044 0045 0000 0046 0047 0048 0049 004A 0000 004B 004C 004D 004E 004F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0030 0000 0000
0000 0033 0034 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0050 0051 0000
0052 0053 0054 0000 0000 0000 0000 0035 0036 0037 0038 0039 003A 003B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0072 0073 0074 0000 0000 0000 0000 0055 0056 0057 0058 0059 005A 005B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0092 0093 0094 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00B2 00B3 00B4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 003C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00C0 00C1 00C2 00C3 00C4 00C5 00C6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00E0 00E1 00E2 00E3 00E4 00E5 00E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00C7 00C8 00C9 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CA 00CB 00CC 0000 0000 0000 0000 0000 0000 0000 0000 00E7 00E8 00E9 0000 0000
00CD 00CE 00CF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EA 00EB 00EC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00ED 00EE 00EF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D3 0000 0000 0000
0000 0000 0000 0110 0111 0112 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D7 00D8 00D9 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0130 0131 0132 0000 0000 0000 0000 0160 0161 0162 0000 0000 0000 0000 0000 0000 0000 0000 00F7 00F8 00F9 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0180 0181 0182 0000 0000 0000 0000 0000 0000 0000 0116 0117 0118 0119 011A 011B 011C 0000 0000 0000 0000 0000
0164 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A0 01A1 01A2 01A3 0000 0000 0000 0000 0134 0135 0136 0137 0138 0139 013A 013B 013C 0000 0000 0000 0169 016A
0184 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C0 01C1 01C2 0000 0000 0000 0000 0000 0154 0155 0156 0000 0000 0000 0000 0000 0000 0000 0000 0000 0189 018A
01A4 01A5 01A6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A9 01AA
