ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-041.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 640
UNIQUE_PIXEL_TILES: 154
CONNECTED_OBJECT_GROUPS: 27

0000 0020 0021 0022 0000 0000 0000 0025 0026 0027 0000 0000 0000 0000 0000 0000 0000 002C 002D 002E 0000 0000 0000 0000 0030 0031 0032 0033 0034 0000 0000 0000
0000 0040 0041 0042 0000 0000 0000 0045 0046 0047 0048 0049 004A 0000 0000 0000 0000 004C 004D 004E 004F 0000 0000 0000 0050 0051 0052 0053 0054 0000 0000 0000
0000 0000 0000 0000 0000 0063 0064 0065 0000 0000 0000 0000 0000 0000 0000 0000 006B 006C 006D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0083 0084 0085 0000 0000 0000 0000 0035 0036 0037 0000 008B 008C 008D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0038 0039 003A 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0058 0059 005A 0000
0000 0000 0000 0000 0000 0000 0000 003B 003C 003D 0000 0000 0000 0000 00A2 00A3 00A4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00C2 00C3 00C4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00AA 00AB
00C5 00C6 00C7 00C8 00C9 0000 0000 0000 0000 0000 0000 0000 00E0 00E1 00E2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CA 00CB
00E5 00E6 00E7 00E8 00E9 0000 0000 0000 0000 0000 0000 0000 0100 0101 0102 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0105 0106 0107 0000 0000 0000 0000 0000 0000 0000 0000 0000 0120 0121 0122 0000 0000 0000 0000 0000 0000 0000 0000 00AC 0000 0000 0000 0000 0000 0000 0000 0000
0125 0126 0127 0000 0000 0000 0000 0000 0000 0000 0000 0000 0140 0141 0142 0143 0144 0000 0000 0000 0000 0000 0000 00CC 00CD 0000 0000 0000 0000 0000 00AE 00AF
0145 0000 0000 0000 0000 0000 0000 00B0 00B1 00B2 0000 0000 0000 0000 0162 0163 0164 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CE 00CF
0000 0000 0000 0000 0000 0000 0000 00D0 00D1 00D2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B3 00B4 00B5 0000 0000 00B6 00B7 00B8 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B9 00BA 00BB 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D3 00D4 00D5 0000 0000 00D6 00D7 00D8 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D9 00DA 00DB 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 00BC 00BD 00BE 0000 0000 0000 0000 0000 0180 0181 0182 0000 0000 0000 0000 0184 0185 0186 0000 018C 018D 018E 018F 0190 0000 0000 0000
0000 0000 0000 0000 0000 00DC 00DD 00DE 0000 0000 0000 0000 0000 01A0 01A1 01A2 0000 0000 0000 0000 01A4 01A5 01A6 0000 01AC 01AD 01AE 01AF 01B0 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C3 01C4 01C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E3 01E4 01E5 01E6 01E7 01E8 01E9 01EA 01EB 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0209 020A 020B 0000 0000 0000 0000
0191 0192 0193 0000 0000 0000 0000 0195 0196 0000 0000 0197 0198 0199 019A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
