ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-043.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 640
UNIQUE_PIXEL_TILES: 159
CONNECTED_OBJECT_GROUPS: 26

0020 0021 0022 0023 0024 0025 0000 0000 0026 0027 0028 0029 002A 0000 0000 002B 002C 002D 0000 0000 0000 0000 0000 0032 0033 0034 0000 0036 0037 0038 0039 003A
0040 0041 0042 0043 0044 0045 0000 0000 0046 0047 0048 0049 004A 0000 0000 004B 004C 004D 004E 004F 0000 0000 0000 0052 0053 0054 0000 0056 0057 0058 0059 005A
0060 0061 0062 0063 0064 0000 0000 0000 0066 0000 0000 0000 006A 0000 0000 0000 006C 006D 006E 006F 0000 0070 0071 0072 0000 0074 0075 0076 0000 0078 0079 007A
0080 0081 0082 0083 0084 0000 003B 0000 0000 0000 003C 0000 0000 0000 003D 0000 0000 008D 008E 008F 0000 0090 0091 0092 0000 0094 0095 0096 0000 0098 0099 009A
00A0 00A1 00A2 00A3 00A4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B1 00B2 00B3 0000 0000 0000 00B7 00B8 00B9 0000
0000 0000 0000 0000 0000 0000 003E 0000 0000 003F 0000 00E0 0000 00E1 0000 00E2 0000 0000 0000 0000 0000 0000 00D1 00D2 00D3 0000 0000 0000 00D7 00D8 00D9 0000
0000 00E8 00E9 00EA 00EB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0102 0103 0104 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0107 0108 0109 010A 010B 0000 0000 0000 0000 0000 00EC 0000 00ED 0000 0000 0122 0123 0124 0125 0126 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0144 0145 0146 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 00F0 00F1 00F2 00F3 00F4 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F7 00F8 00F9 00FA 00FB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0112 0113 0114 0000 0000 0000 0000 0000 0000 0000 0000 0000 0117 0118 0119 011A 011B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
012F 0130 0131 0132 0133 0134 0135 0136 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A0 01A1 01A2 01A3 01A4 01A5 01A6
014F 0150 0151 0152 0153 0154 0155 0156 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C0 01C1 01C2 01C3 01C4 01C5 01C6
016F 0170 0171 0172 0173 0174 0175 0176 0000 0000 0000 0000 0000 0000 0000 0000 01A7 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E1 01E2 01E3 01E4 01E5 01E6
018F 0190 0191 0192 0193 0194 0195 0196 0000 0000 0000 0000 0000 0000 0000 0000 01C7 01C8 0000 0000 0000 0000 0000 0000 0000 0200 0201 0202 0203 0204 0205 0206
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 01AA 01AB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B1 01B2 01B3 01B4 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 01C9 01CA 01CB 01CC 01CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D0 01D1 01D2 01D3 01D4 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 01E9 01EA 01EB 01EC 01ED 0000 0000 0000 0000 0000 0000 0000 0000 0000 01EF 01F0 0000 0000 0000 0000 01F5 01F6 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 020E 020F 0210 0000 0000 0000 0214 0215 0216 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B7 0000 0000 0000 0000 0000 022E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 024E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 026E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B8
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B9 01BA 01BB 01BC 01BD 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01D9 01DA 01DB 01DC 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01BE 0000 0000 0000 0000 0000 0000 01F9 01FA 01FB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01DE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01FE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
