ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-059.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 576
UNIQUE_PIXEL_TILES: 112
CONNECTED_OBJECT_GROUPS: 31

0000 0021 0000 0023 0024 0025 0026 0027 0000 0000 0000 0000 0000 0000 0028 0029 002A 0000 0000 0000 0000 0000 0000 002B 002C 002D 002E 002F 0000 0030 0031 0032
0000 0041 0042 0043 0044 0045 0046 0047 0000 0000 0000 0034 0035 0000 0048 0049 004A 0000 0036 0037 0038 0000 0000 004B 004C 004D 004E 004F 0000 0050 0051 0052
0060 0061 0062 0000 0000 0000 0000 0000 0000 0000 0053 0054 0055 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0080 0081 0082 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0039 003A 003B 0000 0000 0000 0000 0000 0000 003C 003D 003E 0000 0000 0000 0000 0000 0000 0000 0000
0000 003F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00A0 00A1 00A2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 00A4 00A5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00A6 00A7 00A8 0000 00A9 0000 0000 0000 0000 0000 0000
00C3 00C4 00C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00C6 00C7 00C8 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00AA 00AB 00AC 0000 0000 0000 0000 0000 0000 0000 00AD 0000 0000 0000
0000 0000 00AE 00AF 00B0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CA 00CB 00CC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 00B1 00B2 00B3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B4 00B5 00B6 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B7 0000 0000 0000 0000 00B8 00B9 00BA 0000 0000 0000 0000 00D4 00D5 00D6 0000 0000
0000 0000 0000 0000 0000 0000 00BB 00BC 00BD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D8 00D9 00DA 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00E0 00E1 00E2 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00E6 00E7 00E8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0100 0101 0102 0103 0104 0105 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0106 0107 0108 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0121 0122 0123 0124 0125 0000 0000 0000
00E9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00ED 00EE 00EF 0000 0000 0000 0000 0000 0000 0000 00F0 00F1
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F2 00F3 00F4 0000 0000 0000 010C 010D 010E 010F 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0112 0113 0114 0000 0000 0000 012C 012D 012E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00F5 00F6 00F7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 014A 014B 014C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0115 0116 0117 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 016A 016B 016C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0135 0136 0137 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 018B 018C 018D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0155 0156 0157 0000 0000 0000 0000 0000 0000 0000 00F8 00F9 00FA 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0175 0176 0177 0000 0000 0000 0000 0000 0000 0000 0118 0119 011A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0195 0196 0197 0000 0000 0000 0000 0000 0000 0000 0138 0139 013A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
01B5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0158 0159 015A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00FD 00FE
01D5 01D6 01D7 0000 0000 0000 0000 0000 0000 0000 0178 0179 017A 0000 0200 0201 0202 0203 0204 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 011D 011E
01F5 01F6 01F7 0000 0000 0000 0000 0000 0000 0000 0198 0199 019A 0000 0220 0221 0222 0223 0224 0000 0000 0000 0000 0000 0000 0000 0000 0000 013B 013C 013D 013E
