ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-074.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 928
UNIQUE_PIXEL_TILES: 182
CONNECTED_OBJECT_GROUPS: 34

0020 0021 0022 0000 0000 0000 0000 0000 0000 0025 0026 0027 0000 0000 0000 0000 0000 0000 0000 0000 0000 0029 002A 002B 002C 002D 002E 0000 0000 002F 0030 0031
0040 0041 0042 0000 0000 0000 0000 0043 0044 0045 0046 0047 0048 0000 0000 0000 0000 0035 0036 0037 0000 0049 004A 004B 004C 004D 004E 0000 0000 004F 0050 0051
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0053 0054 0000 0000 0000 0000 0069 006A 006B 0000 0000 0000 0000 0000 0000 0000 0071
0000 0000 0000 0038 0039 003A 0000 0000 0000 0000 0000 0000 0000 0000 0072 0073 0074 0000 0000 0000 0000 0089 008A 008B 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0059 005A 005B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A0 0000 0000 0000 0000 0000 0000 00A7 00A8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00AC 0000
00C0 00C1 00C2 00C3 00C4 00C5 00C6 00C7 00C8 00C9 00CA 00CB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00E0 00E1 00E2 00E3 00E4 00E5 00E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00AD
0000 0000 0000 0000 0104 0105 0106 0000 0000 00AE 00AF 00B0 0000 0000 0000 0000 0000 0000 0000 00B2 00B3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 00CE 00CF 00D0 0000 0000 0000 0000 0000 0000 00D1 00D2 00D3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 00B4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B5 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D5 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 00B7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00BC 00BD 0000 0000 00D6 00D7 00D8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00BF
00DC 00DD 0000 0000 00F6 00F7 00F8 00F9 00FA 00FB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0120 0000 0000 0000 0000 0000 0000 00DF
0000 0000 00FE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0121 0000 0000 0000 0000 0000 0000 0000 0140 0000 0123 0124 0000 0000 0000 0000
0000 0000 0000 0000 0000 0126 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0141 0142 0000 0000 0000 0000 0000 0000 0000 0000 0143 0144 0145 0000 0000 0000
0127 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0163 0000 0000 0000 0133 0134
0147 0148 0149 014A 0000 0135 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0136 0137 0138 0000 013A 013B 013C 0000 0183 0000 0000 0000 0153 0154
0167 0168 0169 016A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0156 0157 0158 0159 015A 015B 015C 0000 0000 0000 0000 0000 0173 0174
0187 0188 0000 0000 0000 0000 0000 0000 0000 013D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0190 0000 0000 0193 0194
01A7 01A8 01A9 0000 0000 0000 0000 0000 0000 015D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01AF 01B0 01B1 0000 01B3 01B4
01C7 01C8 01C9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E0 02E1 02E2 02E3 0000 0000 0000 02E5 02E6 0000 02E7 0000 01CF 01D0 01D1 0000 01D3 01D4
01E7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0304 0305 0306 0000 0307 0000 01EF 0000 0000 01F2 01F3 01F4
0207 0000 0000 0000 0000 0000 0000 02E8 0000 0000 0000 0000 0000 0000 02E9 02EA 02EB 02EC 0000 0000 0000 0000 0000 0000 0000 0000 020F 0000 0211 0212 0213 0214
0227 0228 0229 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 030D 030E 030F 0310 0311 0312 0313 0000 0000 0000 0231 0232 0233 0234
0247 0248 0249 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 032D 032E 032F 0330 0331 0332 0333 0000 0000 0250 0251 0252 0253 0254
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02F5 02F6 02F7 0000 0000 0000 034F 0350 0351 0000 0353 0354 0000 0000 0000 0000 0273 0274
02F8 0000 02FA 02FB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 036F 0370 0371 0000 0000 0000 0000 0290 0291 0292 0293 0294
0000 0319 031A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02FC 02FD 02FE 0000 0000 0000 0000 0000 02AD 02AE 02AF 02B0 02B1 02B2 0000 0000
0338 0339 033A 0000 0000 0000 0000 0380 0381 0382 0383 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02CB 02CC 02CD 02CE 02CF 02D0 0000 0000 0000 0000
