ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: level-078.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 704
UNIQUE_PIXEL_TILES: 123
CONNECTED_OBJECT_GROUPS: 30

0000 0021 0022 0023 0024 0025 0000 0026 0027 0028 0029 0000 0000 0000 0000 0000 0000 0000 002B 002C 002D 002E 0000 0000 0030 0031 0032 0033 0034 0035 0036 0037
0040 0041 0042 0043 0044 0045 0000 0046 0047 0048 0049 0000 0000 0000 0000 0000 0000 004A 004B 004C 004D 004E 004F 0000 0050 0051 0052 0053 0054 0055 0056 0057
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0038 0039 003A 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0058 0059 005A 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 00C0 00C1 00C2 00C3 00C4 00C5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 007B 007C 007D 0000 0000 0000 0000 0000
00C6 0000 0000 0000 0000 0000 00E0 00E1 00E2 00E3 00E4 00E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 009B 009C 009D 0000 0000 0000 00C7 00C8
00E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00CE 00CF 00D0 0000 0000 0000 0000 00BD 00BE 00BF 0000 00E7 00E8
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EB 00EC 00ED 00EE 00EF 00F0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 00D3 00D4 00D5 0000 0000 0000 0000 0000 0000 0109 010A 010B 010C 010D 0000 0000 0110 0111 0112 0000 0000 0000 0000 0000 0000 0000 0000
