ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-01.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 704
UNIQUE_PIXEL_TILES: 88
CONNECTED_OBJECT_GROUPS: 31

0000 0020 0021 0022 0000 0024 0025 0026 0027 0028 0029 0000 002B 002C 0000 0000 0000 0000 002F 0030 0031 0000 0000 0000 0000 0000 0034 0035 0036 0000 0000 0000
0000 0040 0041 0042 0043 0044 0045 0046 0047 0048 0049 004A 004B 004C 0000 0000 004D 004E 004F 0050 0051 0000 0000 0000 0052 0053 0054 0055 0056 0000 0000 0000
0000 0000 0000 0000 0063 0064 0065 0000 0000 0000 0000 0000 0000 0000 0000 0000 006D 006E 006F 0000 0000 0000 0000 0000 0072 0073 0074 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0037 0038 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 003F
0057 0058 0059 005A 005B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00E0 00E1 00E2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 005F
0000 0000 0079 007A 007B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0100 0101 0102 0000 0000 00E3 00E4 00E5 0000 00E6 00E7 00E8 0000 0000 0000
0000 0000 0000 0000 009B 009C 009D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0103 0104 0105 0000 0106 0107 0108 0000 0000 0000
0000 0000 0000 0000 00BB 00BC 00BD 00BE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00E9 00EA 0000 0000 0000 00DC 00DD 00DE 0000 0000 00EB 00EC 00ED 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EE
0109 010A 0000 0000 0000 0000 0000 0000 0000 0000 010B 010C 010D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00EF 00F0 00F1 0000 0000 0000 010E
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00F2 00F3 00F4 0000 0000 0000 0000 0000 0000 010F 0110 0111 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0112 0113 0114 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00F5 0000 00F7 00F8 00F9 0000 0000 00FA 00FB 00FC 0000 0120 0000 0122 0123 0124 0000 0000 0125 0126 0127 0000 0128 0000 012A 012B 012C 0000 012D 012E 012F 0000
