ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-03.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 864
UNIQUE_PIXEL_TILES: 103
CONNECTED_OBJECT_GROUPS: 31

0000 0000 0022 0023 0024 0025 0026 0000 0027 0028 0029 002A 002B 002C 002D 002E 002F 0030 0031 0032 0033 0034 0035 0000 0000 0036 0037 0038 0039 003A 0000 0000
0040 0041 0042 0043 0044 0045 0046 0000 0047 0048 0049 004A 004B 004C 004D 004E 004F 0050 0051 0052 0053 0054 0055 0000 0000 0056 0057 0058 0059 005A 0000 0000
0060 0061 0062 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 003B 003C 003D 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00A0 00A1 00A2 0000 0000 0000 0000 00A3 00A4 00A5 0000 0000 0000 0000 0000 005B 005C 005D 0000 0000
0000 0000 0000 0000 0000 00A6 00A7 00A8 0000 0000 0000 0000 00C0 00C1 00C2 0000 0000 0000 0000 00C3 00C4 00C5 0000 0000 0000 0000 0000 0000 007C 007D 007E 0000
0000 0000 0000 0000 0000 00C6 00C7 00C8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 009C 009D 009E 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
00A9 00AA 00AB 0000 0000 0000 0000 0000 00AE 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B0 0000 0000 0000 0000 0000 0000 0000 0000
00C9 00CA 00CB 0000 0000 0000 0000 0000 00CE 00CF 0000 0000 0000 0000 0000 0000 00B9 00BA 00BB 00BC 0000 0000 0000 00D0 00D1 0000 0000 0000 0000 0000 0000 0000
00E9 00EA 00EB 00EC 00ED 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D9 00DA 00DB 00DC 0000 0000 0000 0000 0000 00F2 00F3 00F4 00F5 00F6 00F7 00F8
0109 010A 010B 010C 010D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0112 0113 0114 0115 0116 0117 0118
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0132 0133 0134 0135 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0152 0153 0154 0155 0000 0000 0000
0000 0000 0000 0000 0000 0000 00BD 00BE 00BF 0000 0000 0160 0161 0162 0163 0164 0000 0000 0000 0000 0165 0166 0167 0000 0000 0000 0000 0000 0000 0000 0000 0000
0169 016A 016B 0000 0000 0000 00DD 00DE 00DF 0000 0000 0180 0181 0182 0183 0184 0000 0000 0000 0000 0185 0186 0187 0000 0000 0000 0000 0000 0000 0000 0000 0000
0189 018A 018B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A6 01A7 01A8 0000 0000 0000 0000 0000 0000 0172 0173
01A9 01AA 01AB 01AC 01AD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C6 01C7 01C8 0000 0000 0000 0000 0000 0000 0192 0193
01C9 01CA 01CB 01CC 01CD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01AE 01AF 01B0 0000 01B2 01B3
01E9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0174 0175 0176 0000 0000 0000 0000 0000 0177 0178 0179 017A 0000 0000 0000 01CE 01CF 01D0 01D1 01D2 01D3
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0194 0195 0196 0000 0000 0000 0000 0000 0197 0198 0199 019A 0000 0000 0000 0000 01EF 01F0 01F1 0000 0000
017B 017C 017D 0000 0200 0201 0202 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
019B 019C 019D 0000 0220 0221 0222 0000 0203 0000 0000 0000 0000 0000 0000 0205 0206 0207 0000 0000 0000 0000 0000 0208 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0223 0224 0000 0000 0000 0000 0000 0225 0226 0227 0000 0000 0000 0000 0000 0228 0229 0000 0000 0000 0000 0000 0000 0000
020A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 020B 020C
022A 0000 0000 0000 0000 0000 0000 0000 0000 020D 020E 020F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0210 0211 0212 0000 0000 0000 0000 0000 0000 022B 022C
024A 0000 0000 0000 0215 0216 0217 0000 0000 022D 022E 022F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0230 0231 0232 0000 0000 0000 0000 0000 0000 024B 024C
026A 0000 0000 0000 0235 0236 0237 0000 0000 0000 0000 0000 0000 02C0 02C1 02C2 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C6 02C7 02C8 0000 026B 026C
0000 0000 0253 0254 0255 0000 0000 0000 0000 0000 0000 0000 0000 02E0 02E1 02E2 0000 02C9 02CA 02CB 02CC 02CD 0000 0000 0000 0000 02E6 02E7 02E8 0000 0000 0000
0000 0000 0273 0274 0275 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E9 02EA 02EB 02EC 02ED 0000 0000 0000 0305 0306 0307 0308 0000 0000 0000
0000 0000 0000 0294 0295 0296 0297 0298 0299 029A 029B 029C 029D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0323 0324 0325 0326 0327 0328 0000 0000 0000
0000 0000 0000 02B4 02B5 02B6 02B7 02B8 02B9 02BA 02BB 02BC 02BD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0343 0344 0345 0346 0347 0348 0000 0000 0000
