ATARI GAUNTLET PLAYFIELD 16X16 TILEMAP
SOURCE: treasure-room-05-playfield.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
UNIQUE_TILES: 29

0000 0000 0001 0002 0001 0002 0000 0000 0003 0000 0004 0002 0003 0000 0000 0000 0001 0002 0003 0000 0000 0000 0004 0002 0003 0000 0000 0000 0001 0002 0001 0002
0005 0006 0007 0008 0009 000A 000B 000C 000D 0008 0007 000E 0005 000F 0010 0008 0007 000A 000B 000C 000D 0006 0007 0008 0005 000F 0010 0011 0007 0008 0009 000E
0008 0012 0013 0010 000C 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012 0015 000D 000F 0014
0012 000E 0005 000F 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 0014 0008 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 000D 0006
0013 0014 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012
000D 000F 0014 000E 0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012 0015
000C 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0012 0013 0010
0010 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005 000F
000F 0010 0011 0012 0013 0014 000E 0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E 0005
0005 0006 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E
000E 0012 0013 0010 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 000F 0014
0012 000E 0005 000F 0010 0011 0012 0013 0014 000E 0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012 0015 0014 000A 000B 000C 000D 0006
0013 0014 000E 0005 0006 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 000B 0011 0012
000D 000F 0014 000E 0012 0013 0010 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 000C 0014 000A 0012 0015
000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 0013 0014 000E 0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E 0005 000F 0010 0011 0012 000A 000B
000B 0011 0012 0013 0014 000E 0005 0006 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0005 0006 0012 0015 0014 000A
000A 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 000F 0014 000E 0012 0013 0010 000C 0014
0012 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 0013 0014 000E 0005 0006 0012 0015 0014 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 0011
0015 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012
0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 000D 0006 0012 000E 0005 000F 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0012 0013
000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 0013 0014 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005
0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E 0005 0006 0012 0015 000D 000F 0014 000E 0005 0006 0012 0015 0014 000A 000B 0011 0012 0013 0014 000E
000E 0012 0013 0010 000C 0014 000A 0012 0015 000D 000F 0014 000E 0012 0013 0010 000C 000D 000F 0014 000E 0012 0013 0010 000C 0014 000A 0012 0015 000D 000F 0014
0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006 0012 000E 0005 000F 0010 000C 000D 0006 0012 000E 0005 000F 0010 0011 0012 000A 000B 000C 000D 0006
