ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-09.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 1440
UNIQUE_PIXEL_TILES: 97
CONNECTED_OBJECT_GROUPS: 29

0000 0021 0022 0023 0024 0025 0000 0000 0000 0000 0000 0026 0027 0028 0029 0000 002B 002C 002D 002E 0000 0000 0000 002F 0030 0031 0032 0033 0034 0000 0000 0000
0000 0041 0042 0043 0044 0045 0000 0000 0000 0000 0000 0046 0047 0048 0049 004A 004B 004C 004D 004E 0000 0000 0000 004F 0050 0051 0052 0053 0054 0000 0000 0000
0060 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0035 0036
0080 0000 0000 0000 0000 0000 0000 0000 0000 0037 0038 0039 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0055 0056
00A0 00A1 00A2 0000 003C 0000 0000 0000 0000 0057 0058 0059 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A3 01A4 01A5 0000 0000 0000 0000 0000 0000 0000
00C0 00C1 00C2 0000 005C 0000 0000 0000 0000 0000 0000 0079 007A 007B 0000 0000 0000 0000 0000 01C0 01C1 01C2 01C3 01C4 01C5 0000 0000 0000 0000 0000 0000 0000
00E0 00E1 00E2 0000 0000 0000 0000 0000 0000 0000 0000 0099 009A 009B 0000 0000 0000 0000 0000 01E0 01E1 01E2 0000 0000 0000 0000 0000 0000 0000 0000 01A6 01A7
0100 0101 0102 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01C6 01C7
0120 0121 0122 0000 0000 0000 0000 01A8 01A9 01AA 0000 0000 0000 0000 0000 01AB 01AC 01AD 01AE 01AF 01B0 01B1 01B2 0000 0000 0000 01B3 01B4 01B5 0000 0000 0000
0140 0141 0142 0000 0000 0000 0000 01C8 01C9 01CA 0000 0000 0000 01B6 0000 01CB 01CC 01CD 01CE 01CF 01D0 01D1 01D2 0000 0000 0000 01D3 01D4 01D5 0000 0000 01B8
0160 0161 0162 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01F0 01F1 01F2 0000 0000 0000 0000 0000 0000 0000 01D7 01D8
0180 0181 0182 0000 0000 01B9 01BA 01BB 0000 0000 0280 0281 0282 0000 0000 0000 0000 0000 0000 0000 0210 0211 0212 0000 0000 0000 0000 0000 0000 0000 01F7 01F8
0000 0000 0000 0000 0000 01D9 01DA 01DB 0000 0000 02A0 02A1 02A2 02A3 02A4 0000 0000 0000 0000 0000 0230 0231 0232 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 028E 028F 0000 0000 0000 0000 0000 0000 0000 02C0 02C1 02C2 02C3 02C4 0000 0000 0000 0000 0000 0250 0251 0252 0000 0000 0000 0000 0000 0000 0000 0000 0000
02AD 02AE 02AF 0000 0000 0000 0000 0000 0000 0000 02E0 02E1 02E2 0000 0000 0000 0000 0000 0000 0000 0270 0271 0272 0000 0000 0000 0000 0000 0000 0000 0290 0291
02CD 02CE 02CF 0000 0000 0000 0000 0000 0000 0000 0300 0301 0302 0000 0000 0000 0306 0000 0000 0000 0000 0000 0000 0000 0000 0292 0293 0294 0000 0000 02B0 02B1
02ED 02EE 02EF 0000 0000 0000 0000 0000 0000 0000 0320 0321 0322 0000 0000 0000 0326 0327 0000 0000 0000 0000 0000 0000 0000 02B2 02B3 02B4 0000 0000 0000 02D1
030D 030E 030F 0000 0000 0000 0000 0000 0000 0000 0340 0341 0342 0000 0000 0000 0000 0000 0348 0349 034A 034B 034C 0000 0000 0000 0000 0000 0000 0000 02F0 02F1
032D 032E 032F 0000 0000 0000 0000 0000 0000 0000 0360 0361 0362 0000 0000 0000 0000 0000 0368 0369 036A 036B 036C 0000 0000 0000 0000 0000 0000 0000 0000 0000
034D 034E 034F 0000 0295 0296 0297 0298 0299 0000 0000 0381 0382 0383 0000 0000 0000 0000 0000 0389 038A 038B 0000 0000 029A 029B 029C 0000 0000 0000 0000 0000
036D 036E 036F 0000 02B5 02B6 02B7 02B8 02B9 0000 0000 03A1 03A2 03A3 0000 0000 0000 0000 0000 03A9 03AA 03AB 0000 0000 02BA 02BB 02BC 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03C2 03C3 03C4 03C5 03C6 03C7 03C8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
