ATARI GAUNTLET MOTION OBJECT 16X16 TILEMAP
SOURCE: treasure-room-11.png
GRID: 32 X 32
TILE_SIZE: 16 X 16
ATLAS_TILES: 864
UNIQUE_PIXEL_TILES: 76
CONNECTED_OBJECT_GROUPS: 48

0000 0000 0000 0000 0020 0021 0022 0000 0000 0023 0024 0025 0000 0000 0000 0026 0027 0028 0000 0029 002A 002B 0000 0000 002C 002D 002E 002F 0030 0031 0000 0000
0032 0033 0034 0000 0040 0041 0042 0000 0000 0043 0044 0045 0000 0000 0000 0046 0047 0048 0000 0049 004A 004B 0000 0000 004C 004D 004E 004F 0050 0051 0000 0000
0052 0053 0054 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0038 0039 003A 0000 0000 0000 0000 0000
003B 003C 003D 0000 0000 00A0 00A1 00A2 0000 0000 0000 0000 0000 00A6 00A7 00A8 00A9 00AA 00AB 0000 0000 0000 0000 0000 0058 0059 005A 0000 0000 0000 0000 0000
005B 005C 005D 0000 0000 00C0 00C1 00C2 0000 0000 0000 0000 0000 00C6 00C7 00C8 00C9 00CA 00CB 0000 0000 0075 0076 0077 0000 0000 0000 0000 0000 0000 00AC 00AD
007B 0000 0000 0000 0000 0000 0000 0000 00E3 00E4 00E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0095 0096 0097 0000 0000 00B0 00B1 00B2 0000 00CC 00CD
0000 0000 0000 0000 0000 0000 0000 0000 0103 0104 0105 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00D0 00D1 00D2 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00B6 00B7 00B8 0000 00B9 00BA 00BB 0000 0000 0000 00EE 00EF 00F0 0000 0000 0000 0000 0000
00BC 00BD 00BE 0000 0000 0000 0000 0000 0000 0000 0000 00D3 00D4 00D5 00D6 00D7 00D8 0000 00D9 00DA 00DB 0000 0000 0000 010E 010F 0110 0000 0000 0000 0000 0000
00DC 00DD 00DE 0000 0000 0000 0000 0160 0161 0162 0000 00F3 00F4 00F5 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0163 0164
00FC 00FD 00FE 0000 0000 0000 0000 0180 0181 0182 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0183 0184
011C 011D 011E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0165 0166 0167 0000 0000 0000 0000 0000 0000 0000 0000 0000
013C 013D 013E 0000 0000 0000 0000 0000 0000 0000 0168 0169 016A 0000 0000 016B 016C 016D 0000 0000 0185 0186 0187 0000 0000 016E 016F 0170 0000 0000 0171 0172
015C 015D 015E 0000 0000 0000 0000 0000 0000 0000 0188 0189 018A 0000 0000 018B 018C 018D 0000 0000 0000 0000 0000 0000 0000 018E 018F 0190 0000 0000 0191 0192
0000 0000 0000 0000 0000 0173 0174 0175 0000 0000 0000 0000 0000 0000 0000 0000 01AC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0193 0194 0195 0000 0000 0000 0000 0000 0000 0000 0000 01CC 01CD 0000 0176 0177 0178 0000 0000 0179 017A 017B 0000 0000 0000 0000 0000
017C 017D 017E 0000 0000 0000 0000 0000 0000 0000 01E0 01E1 01E2 0000 0000 0000 0000 0000 0000 0196 0197 0198 0000 0000 0199 019A 019B 0000 0000 0000 0000 0000
019C 019D 019E 0000 0000 0000 0000 0000 0000 0000 0200 0201 0202 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E3 01E4
01BC 0000 0000 0000 0000 01E5 01E6 01E7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0203 0204
0000 0000 0000 0000 0000 0205 0206 0207 0000 0000 0000 0000 01E8 01E9 01EA 0000 0000 0000 0000 0000 01EB 01EC 01ED 0000 0000 0000 01F1 01F2 01F3 0000 0000 0000
01F4 01F5 01F6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0208 0209 020A 0000 0000 0000 0000 0000 020B 020C 020D 0000 0000 0000 0211 0212 0213 0000 01F7 01F8
0214 0215 0216 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0263 0264 0265 0000 0000 0000 0000 022E 022F 0230 0000 0000 0000 0000 0217 0218
0000 0000 0000 0000 0000 0269 026A 026B 0000 026C 026D 026E 0000 0000 0000 0000 0283 0284 0285 0000 0000 0000 0000 024E 024F 0250 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0289 028A 028B 0000 028C 028D 028E 0000 02A0 02A1 02A2 0000 0000 0000 02A6 02A7 02A8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
026F 0270 0271 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02C0 02C1 02C2 0000 0000 0000 02C6 02C7 02C8 0000 0000 0000 0000 0275 0276 0277 0000 0000 0000
028F 0290 0291 0000 0000 0000 0000 0278 0279 027A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0295 0296 0297 0000 027B 027C
