frame_id,source,first_mame_frame,slot,raw_code,decoded_code,atari_width_8px,atari_height_8px,xflip,palette,atlas_x_16px,atlas_y_16px,width_16px,height_16px,pen_1
0,mame-trace,972,48,0x0963,0x0163,3,3,0,1,0,0,2,2,preview_black_alpha_128_and_separate_mask
1,mame-trace,900,595,0x096C,0x016C,3,3,0,1,3,0,2,2,preview_black_alpha_128_and_separate_mask
2,mame-trace,900,393,0x097E,0x017E,3,3,0,1,6,0,2,2,preview_black_alpha_128_and_separate_mask
3,mame-trace,900,682,0x0987,0x0187,3,3,0,1,9,0,2,2,preview_black_alpha_128_and_separate_mask
4,mame-trace,974,721,0x09AB,0x01AB,3,3,0,5,12,0,2,2,preview_black_alpha_128_and_separate_mask
5,mame-trace,900,950,0x09B4,0x01B4,3,3,0,5,15,0,2,2,preview_black_alpha_128_and_separate_mask
6,mame-trace,972,131,0x09BD,0x01BD,3,3,0,5,18,0,2,2,preview_black_alpha_128_and_separate_mask
7,mame-trace,900,121,0x09C6,0x01C6,3,3,0,5,21,0,2,2,preview_black_alpha_128_and_separate_mask
8,mame-trace,972,394,0x09CF,0x01CF,3,3,0,5,24,0,2,2,preview_black_alpha_128_and_separate_mask
9,mame-trace,972,332,0x09D8,0x01D8,3,3,0,5,27,0,2,2,preview_black_alpha_128_and_separate_mask
10,mame-trace,900,262,0x0AFC,0x02FC,2,2,0,1,30,0,1,1,preview_black_alpha_128_and_separate_mask
11,rom-animation-table,-1,-1,0x1112,0x1912,3,3,0,12,0,3,2,2,preview_black_alpha_128_and_separate_mask
12,rom-animation-table,-1,-1,0x1112,0x1912,3,3,0,13,3,3,2,2,preview_black_alpha_128_and_separate_mask
13,rom-animation-table,-1,-1,0x1112,0x1912,3,3,0,14,6,3,2,2,preview_black_alpha_128_and_separate_mask
14,rom-animation-table,-1,-1,0x1112,0x1912,3,3,0,15,9,3,2,2,preview_black_alpha_128_and_separate_mask
15,rom-animation-table,-1,-1,0x111B,0x191B,3,3,0,12,12,3,2,2,preview_black_alpha_128_and_separate_mask
16,rom-animation-table,-1,-1,0x111B,0x191B,3,3,0,13,15,3,2,2,preview_black_alpha_128_and_separate_mask
17,rom-animation-table,-1,-1,0x111B,0x191B,3,3,0,14,18,3,2,2,preview_black_alpha_128_and_separate_mask
18,rom-animation-table,-1,-1,0x111B,0x191B,3,3,0,15,21,3,2,2,preview_black_alpha_128_and_separate_mask
19,rom-animation-table,-1,-1,0x1124,0x1924,3,3,0,12,24,3,2,2,preview_black_alpha_128_and_separate_mask
20,rom-animation-table,-1,-1,0x1124,0x1924,3,3,0,13,27,3,2,2,preview_black_alpha_128_and_separate_mask
21,rom-animation-table,-1,-1,0x1124,0x1924,3,3,0,14,30,3,2,2,preview_black_alpha_128_and_separate_mask
22,rom-animation-table,-1,-1,0x1124,0x1924,3,3,0,15,0,6,2,2,preview_black_alpha_128_and_separate_mask
23,rom-animation-table,-1,-1,0x112D,0x192D,3,3,0,12,3,6,2,2,preview_black_alpha_128_and_separate_mask
24,rom-animation-table,-1,-1,0x112D,0x192D,3,3,0,13,6,6,2,2,preview_black_alpha_128_and_separate_mask
25,rom-animation-table,-1,-1,0x112D,0x192D,3,3,0,14,9,6,2,2,preview_black_alpha_128_and_separate_mask
26,rom-animation-table,-1,-1,0x112D,0x192D,3,3,0,15,12,6,2,2,preview_black_alpha_128_and_separate_mask
27,rom-animation-table,-1,-1,0x1136,0x1936,3,3,0,12,15,6,2,2,preview_black_alpha_128_and_separate_mask
28,rom-animation-table,-1,-1,0x1136,0x1936,3,3,0,13,18,6,2,2,preview_black_alpha_128_and_separate_mask
29,rom-animation-table,-1,-1,0x1136,0x1936,3,3,0,14,21,6,2,2,preview_black_alpha_128_and_separate_mask
30,rom-animation-table,-1,-1,0x1136,0x1936,3,3,0,15,24,6,2,2,preview_black_alpha_128_and_separate_mask
31,rom-animation-table,-1,-1,0x113F,0x193F,3,3,0,12,27,6,2,2,preview_black_alpha_128_and_separate_mask
32,rom-animation-table,-1,-1,0x113F,0x193F,3,3,0,13,30,6,2,2,preview_black_alpha_128_and_separate_mask
