first_frame,slot,raw_code,decoded_code,width,height,xflip,palette,palette_words
900,193,20F6,28F6,3,2,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,771,1A75,1275,3,3,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
900,100,233F,2B3F,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,133,2399,2B99,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,262,0AFC,02FC,2,2,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,457,1D7C,157C,2,3,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
900,682,0987,0187,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,595,096C,016C,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,950,09B4,01B4,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
900,931,1709,1F09,3,3,0,11,"0000 0000 FF00 0000 9F9A EF9A 6909 CA08 F806 8888 BCCF 6F33 7F89 7F83 BF94 DF11"
900,806,2600,2E00,3,3,0,8,"0000 0000 5FC5 9F84 BF96 DF86 FFC0 FFB1 FF9A FF30 FF00 FF55 4F19 9F00 DF11 FFFF"
900,121,09C6,01C6,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
900,161,1648,1E48,3,3,0,13,"0000 0000 4F93 9F84 DF86 FF8A 9FD9 CFC8 FFF6 DFFF FFFF 801F F11D C06F 6F10 4A8F"
900,393,097E,017E,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
900,489,1D94,1594,2,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
900,521,1D82,1582,2,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
900,385,25E4,2DE4,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
901,133,23A2,2BA2,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
903,133,23AB,2BAB,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
905,100,2300,2B00,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
905,133,2390,2B90,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
907,100,2309,2B09,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
907,133,2387,2B87,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
907,193,1651,1E51,3,3,0,13,"0000 0000 4F93 9F84 DF86 FF8A 9FD9 CFC8 FFF6 DFFF FFFF 801F F11D C06F 6F10 4A8F"
909,68,2312,2B12,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
911,68,231B,2B1B,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
911,133,23BD,2BBD,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
913,68,2324,2B24,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
913,133,23B4,2BB4,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
915,68,232D,2B2D,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
917,68,2336,2B36,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
920,193,165A,1E5A,3,3,0,13,"0000 0000 4F93 9F84 DF86 FF8A 9FD9 CFC8 FFF6 DFFF FFFF 801F F11D C06F 6F10 4A8F"
921,164,23CF,2BCF,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
923,164,23C6,2BC6,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
923,68,2348,2B48,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
925,68,2351,2B51,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
927,132,25DB,2DDB,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
927,69,235A,2B5A,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
929,132,23F3,2BF3,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
929,69,2363,2B63,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
931,132,23EA,2BEA,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
931,69,236C,2B6C,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
933,69,2375,2B75,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
935,69,237E,2B7E,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
966,257,1624,1E24,3,3,0,13,"0000 0000 4F93 9F84 DF86 FF8A 9FD9 CFC8 FFF6 DFFF FFFF 801F F11D C06F 6F10 4A8F"
972,131,09BD,01BD,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
972,71,1D7C,157C,1,1,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
972,394,09CF,01CF,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
972,332,09D8,01D8,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
972,112,183F,103F,3,3,0,8,"0000 0000 5FC5 9F84 BF96 DF86 FFC0 FFB1 FF9A FF30 FF00 FF55 4F19 9F00 DF11 FFFF"
972,48,0963,0163,3,3,0,1,"0000 0000 7F84 8F85 AF83 40F7 FF20 FF82 FFC0 FFFF 5F50 81F8 EF88 D79F A17F A00F"
974,781,1D3C,153C,1,1,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
974,721,09AB,01AB,3,3,0,5,"0000 0000 6ABF 8BBF BAAF DCBF FDDF FFFF 5F77 6F99 8FAA 9FBB AFCC CFDD 5BBF FF00"
974,924,1E0D,160D,3,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
992,344,1D86,1586,2,3,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
993,781,1D42,1542,3,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
993,782,1D48,1548,2,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
993,784,1D52,1552,4,2,0,0,"0000 0000 988F A99F C99F FBBF A888 0000 9999 7F8F 711F 5F93 6F84 EF86 F0F0 FFBB"
